"","Cp","AICc","GCV","BIC"
"(Intercept)",-4.94684224453774,-4.97036687759785,-4.97036687759785,-4.01564647548037
"X1321N1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X22RV1_PROSTATE",0,0,0,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",0.778017791185481,0.778017791185481,0.778017791185481,0.389008895592741
"X5637_URINARY_TRACT",0,0,0,0
"X639V_URINARY_TRACT",0.979483934374699,0.979483934374699,0.979483934374699,0.39179357374988
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"X769P_KIDNEY",-0.638871805653204,-0.638871805653204,-0.638871805653204,-0.479153854239903
"X786O_KIDNEY",0,0,0,0
"X8305C_THYROID",0,0,0,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0.488217732164679,0.488217732164679,0.488217732164679,0
"A172_CENTRAL_NERVOUS_SYSTEM",-0.12856085144352,-0.12856085144352,-0.12856085144352,0
"A204_SOFT_TISSUE",0.185827953824879,0.185827953824879,0.185827953824879,0
"A2058_SKIN",1.55333186615135,1.55333186615135,1.55333186615135,0.465999559845406
"A253_SALIVARY_GLAND",0.286259442853623,0.286259442853623,0.286259442853623,0.286259442853623
"A2780_OVARY",2.29870030432059,2.29870030432059,2.29870030432059,1.46280928456765
"A375_SKIN",0.487108615203425,0.487108615203425,0.487108615203425,0.162369538401142
"A549_LUNG",0,0,0,0
"A673_BONE",0,0,0,0
"ACHN_KIDNEY",0,0,0,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.193883803021,1.193883803021,1.193883803021,0
"AN3CA_ENDOMETRIUM",0.840198114630853,0.840198114630853,0.840198114630853,0
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0,0,0,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BFTC909_KIDNEY",0.419021341861384,0.419021341861384,0.419021341861384,0
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BT20_BREAST",-1.05974769003196,-1.05974769003196,-1.05974769003196,0
"BT474_BREAST",0,0,0,0
"BT549_BREAST",0.282450328025945,0.282450328025945,0.282450328025945,0
"BXPC3_PANCREAS",0,0,0,0
"C2BBE1_LARGE_INTESTINE",-1.47901730090586,-1.47901730090586,-1.47901730090586,0
"C32_SKIN",2.13425242558107,2.13425242558107,2.13425242558107,0.284566990077477
"C3A_LIVER",3.28383181523912,3.28383181523912,3.28383181523912,1.82435100846618
"CAKI2_KIDNEY",-0.956399931495768,-0.956399931495768,-0.956399931495768,-0.54651424656901
"CAL12T_LUNG",0,0,0,0
"CAL27_UPPER_AERODIGESTIVE_TRACT",0,0,0,0
"CAL78_BONE",0.770356065332046,0.770356065332046,0.770356065332046,0
"CAL851_BREAST",0.232750695149636,0.232750695149636,0.232750695149636,0
"CALU1_LUNG",0,0,0,0
"CALU3_LUNG",-0.550604995072305,-0.550604995072305,-0.550604995072305,0
"CALU6_LUNG",-0.749810486796741,-0.749810486796741,-0.749810486796741,0
"CAMA1_BREAST",0,0,0,0
"CAPAN2_PANCREAS",0,0,0,0
"CAS1_CENTRAL_NERVOUS_SYSTEM",-0.24545263463671,-0.24545263463671,-0.24545263463671,0
"CCK81_LARGE_INTESTINE",0,0,0,0
"CHL1_SKIN",0.183319010128476,0.183319010128476,0.183319010128476,0
"CHP212_AUTONOMIC_GANGLIA",2.1896203871062,2.1896203871062,2.1896203871062,0.505297012409124
"CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.728872647992315,-0.728872647992315,-0.728872647992315,0
"COLO201_LARGE_INTESTINE",0.45082531348429,0.45082531348429,0.45082531348429,0.150275104494763
"COLO205_LARGE_INTESTINE",1.45362643521924,1.45362643521924,1.45362643521924,0.807570241788467
