"","drugs.i.","a"
"3","17-AAG",0.515380716699198
"4","AEW541",0.322618818866326
"5","AZD0530",0.412535582158359
"6","AZD6244",0.642705086017209
"7","Erlotinib",0.579523758218075
"8","Irinotecan",0.640525255044229
"9","L-685458",0.583666717967842
"10","Lapatinib",0.509339646627925
"11","LBW242",0.261922498808207
"12","Nilotinib",0.837705919540168
"13","Nutlin-3",0.327634026720846
"14","Paclitaxel",0.73342621325663
"15","Panobinostat",0.699176481572159
"16","PD-0325901",0.627984793699066
"17","PD-0332991",0.462071493412302
"18","PF2341066",0.290250284774908
"19","PHA-665752",0.523019731409542
"20","PLX4720",0.408350715741564
"21","RAF265",0.289411192313268
"22","Sorafenib",0.0984878740188728
"23","TAE684",0.265000072768293
"24","TKI258",0.515751378074743
"25","Topotecan",0.468857249727688
"26","ZD-6474",0.420779664715919
