,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,17-AAG,0.410427355,0.515380717,0.398354011,0.423440627,0.503780041,0.593400242,0.401555645,0.514173254,0.536924382,0.477831782,0.477526805,0.457854774
2,AEW541,0.548449851,0.322618819,0.500753329,0.366235638,0.145241422,0.462416451,0.390018033,0.422615362,0.441284776,0.207565335,0.380719902,
3,AZD0530,0.229651997,0.412535582,0.434086747,0.080387694,0.177807449,0.281610563,0.186385544,0.351547956,0.425330786,0.522601016,0.310194533,
4,AZD6244,0.62990629,0.642705086,0.514168974,0.561627897,0.774639189,0.585673476,0.645827301,0.700929566,0.58861881,0.421785514,0.60658821,
5,Erlotinib,0.376859896,0.579523758,0.305088913,0.207543121,0.357230771,0.670874805,0.390231714,0.465802503,0.617511473,0.518720489,0.448938744,
6,Irinotecan,0.501532377,0.640525255,0.748459484,0.711210704,0.712280645,0.616551822,0.761447417,0.680265945,0.342222087,0.614687121,0.632918286,
7,L-685458,0.550686318,0.583666718,0.581997353,0.346074798,0.630294312,0.480868047,0.103543948,0.588865467,0.582373103,0.640588559,0.508895862,
8,Lapatinib,0.42859746,0.509339647,0.493502392,0.627572209,0.433242743,0.469760139,0.490273464,0.478020321,0.307802857,0.501290932,0.473940216,
9,LBW242,0.155915445,0.261922499,0.118231149,0.029198959,0.029735502,0.257673377,0.43175295,-0.161393385,0.1702544,0.289840454,0.158313135,
10,Nilotinib,0.544792059,0.83770592,0.438755639,0.469900741,0.365117222,0.673615943,0.604016336,0.097810661,0.700515933,0.322313675,0.505454413,
11,Nutlin-3,-0.04930015,0.327634027,0.102814982,0.326383021,0.351018468,0.27473352,0.050876366,0.284377827,0.257185305,0.298528253,0.222425162,
12,Paclitaxel,0.689083183,0.733426213,0.76002254,0.526741979,0.693168312,0.58237117,0.595071501,0.397571441,0.444152405,0.450014918,0.587162366,
13,Panobinostat,0.666615161,0.699176482,0.75117068,0.532823965,0.543036189,0.750910527,0.644844762,0.76523198,0.785549598,0.514300266,0.665365961,
14,PD-0325901,0.625844909,0.627984794,0.612349929,0.852450169,0.700622273,0.548579551,0.72754561,0.682064475,0.68519483,0.63310455,0.669574109,
15,PD-0332991,0.31739528,0.462071493,0.469558714,0.498464478,0.543258793,0.394297265,0.34432555,0.702244322,0.51046815,0.475610183,0.471769423,
16,PF2341066,0.469345529,0.290250285,0.577075425,0.392026474,0.440311439,0.386003289,0.411519505,0.450139299,0.19409984,0.626976002,0.423774709,
17,PHA-665752,0.27294031,0.523019731,0.234403552,0.292246049,0.436263063,0.338824333,0.08213605,0.175711603,0.468401412,0.258051215,0.308199732,
18,PLX4720,0.413129775,0.408350716,0.689923238,0.584990536,0.32074657,0.245108987,0.366528179,0.723872623,0.498460903,0.683678235,0.493478976,
19,RAF265,0.501760707,0.289411192,0.355403946,0.477976278,0.339103118,0.564524263,0.289247249,0.334093015,0.408819026,0.57329019,0.413362898,
20,Sorafenib,0.038638646,0.098487874,0.621270585,0.64200981,0.476385275,0.384556711,0.593903309,0.223898759,0.249213008,0.290728087,0.361909206,
21,TAE684,0.476182681,0.265000073,0.623100925,0.441274808,0.307961419,0.458951245,0.639474989,0.424932496,0.501207131,0.519231884,0.465731765,
22,TKI258,0.223664035,0.515751378,0.596488992,0.497188193,0.450420905,0.347794795,0.249133835,0.476361714,0.65040533,0.442452405,0.444966158,
23,Topotecan,0.459159484,0.46885725,0.735144668,0.608667034,0.538375124,0.328220642,0.63258093,0.691618183,0.683596802,0.695031607,0.584125172,
24,ZD-6474,0.510071756,0.420779665,0.199057658,0.367321908,0.435053036,0.048417783,0.267201052,0.431490512,0.485513515,0.566881378,0.373178826,
