"","drugs.i.","a"
"3","17-AAG",0.00406745208956789
"4","AEW541",0.343240082570117
"5","AZD0530",-0.0408664174315936
"6","AZD6244",0.156950345127807
"7","Erlotinib",0.474426279598332
"8","Irinotecan",-0.0474980926610514
"9","L-685458",0.501577389433645
"10","Lapatinib",0.437806615708358
"11","LBW242",-0.043091968612662
"12","Nilotinib",0.343886548554218
"13","Nutlin-3",0.288331265075438
"14","Paclitaxel",0.31707585052786
"15","Panobinostat",0.705703708787329
"16","PD-0325901",0.0487831249076192
"17","PD-0332991",0.425074402486961
"18","PF2341066",0.187557334618672
"19","PHA-665752",0.410451201124834
"20","PLX4720",0.324800651637067
"21","RAF265",0.41751823779771
"22","Sorafenib",0.331053231761952
"23","TAE684",0.263594989770465
"24","TKI258",0.443247762977519
"25","Topotecan",0.494569785182189
"26","ZD-6474",0.143654989593645
