"","X","DRUG","CName","PName","cc_predict...2.","cc_real...2.","Acta_Normal"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",1,"17-AAG","A549_LUNG","A549",1.24104437840211,0.968132825797835,0.968132825797835
"4",2,"17-AAG","CALU6_LUNG","Calu-6",1.24477871886628,1.00802213062584,1.00802213062584
"5",3,"17-AAG","CHL1_SKIN","CHL-1",1.22825448917284,1.16803263749272,1.16803263749272
"6",4,"17-AAG","CHP212_AUTONOMIC_GANGLIA","CHP-212",1.22579538567192,2.41878251209158,2.41878251209158
"7",5,"17-AAG","COLO320_LARGE_INTESTINE","COLO-320",1.23099420948833,0.859473323360512,0.859473323360512
"8",6,"17-AAG","F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","F-36P",1.22082672820609,1.44492657814945,1.44492657814945
"9",7,"17-AAG","FU97_STOMACH","FU97",1.21688194551002,1.95493983273607,1.95493983273607
"10",8,"17-AAG","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA-519",1.23034866060154,0.871129289057007,0.871129289057007
"11",9,"17-AAG","HCC2935_LUNG","HCC2935",1.23342786193723,2.13256379887766,2.13256379887766
"12",10,"17-AAG","HDQP1_BREAST","HDQ-P1",1.23200960082413,2.26874433143171,2.26874433143171
"13",11,"17-AAG","HEP3B217_LIVER","Hep 3B2.1-7",1.22266263345585,1.36327006290901,1.36327006290901
"14",12,"17-AAG","HGC27_STOMACH","HGC-27",1.23126004530723,1.39856173682339,1.39856173682339
"15",13,"17-AAG","HS944T_SKIN","Hs 944.T",1.23848168866334,1.28731201978685,1.28731201978685
"16",14,"17-AAG","IGR39_SKIN","IGR-39",1.23806078978935,0.543596652985505,0.543596652985505
"17",15,"17-AAG","ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","Ishikawa (Heraklio) 02 ER-",1.2389146894285,1.93298776400768,1.93298776400768
"18",16,"17-AAG","KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KASUMI-2",1.22404206980578,1.88338515443259,1.88338515443259
"19",17,"17-AAG","KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KE-97",1.23306101739373,1.41967198580704,1.41967198580704
"20",18,"17-AAG","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KU812",1.232365792139,1.51926573714709,1.51926573714709
"21",19,"17-AAG","MDAMB157_BREAST","MDA-MB-157",1.22388467176635,-0.386549409594774,-0.386549409594774
"22",20,"17-AAG","MDAMB468_BREAST","MDA-MB-468",1.23812983945823,0.71157206974499,0.71157206974499
"23",21,"17-AAG","NCIH1155_LUNG","NCI-H1155",1.22588820402151,1.55539923080623,1.55539923080623
"24",22,"17-AAG","NCIH727_LUNG","NCI-H727",1.22663329853592,0.424252515326395,0.424252515326395
"25",23,"17-AAG","NCIN87_STOMACH","NCI-N87",1.24607182621946,3.00002666815679,3.00002666815679
"26",24,"17-AAG","P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","P31/FUJ",1.22681124884095,0.757159846691281,0.757159846691281
"27",25,"17-AAG","PANC0327_PANCREAS","Panc 03.27",1.2467289157824,1.85987895694466,1.85987895694466
"28",26,"17-AAG","QGP1_PANCREAS","QGP-1",1.21884230654153,1.20759816549582,1.20759816549582
"29",27,"17-AAG","SBC5_LUNG","SBC-5",1.22988233660335,0.77302491111151,0.77302491111151
"30",28,"17-AAG","SKNBE2_AUTONOMIC_GANGLIA","SK-N-BE(2)",1.20512263888981,0.497167056294468,0.497167056294468
"31",29,"17-AAG","SNU16_STOMACH","SNU-16",1.24098280885384,2.42843106147368,2.42843106147368
"32",30,"17-AAG","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SUP-T1",1.23075436868306,0.698426730653943,0.698426730653943
"33",31,"17-AAG","SW900_LUNG","SW 900",1.245820500683,0.699592327223593,0.699592327223593
