"","drugs.i.","a"
"3","AEW541",0.616667742612648
"4","AZD0530",0.832130369863931
"5","AZD6244",0.8007767321697
"6","Erlotinib",0.7543848397547
"7","Irinotecan",0.327028558753677
"8","L-685458",0.661242100744834
"9","Lapatinib",0.554072994799832
"10","LBW242",0.660006819540792
"11","Nilotinib",0.582407683822302
"12","Nutlin-3",0.834108966918207
"13","Paclitaxel",0.340366044648505
"14","Panobinostat",0.603127333409605
"15","PD-0325901",0.883775505215002
"16","PD-0332991",0.844889684971657
"17","PF2341066",0.829615555217774
"18","PHA-665752",0.685874119596692
"19","PLX4720",0.607917911246103
"20","RAF265",0.634845681575212
"21","Sorafenib",0.570402119674192
"22","TAE684",0.738785762605677
"23","TKI258",0.610432963196144
"24","Topotecan",0.59287609004913
"25","X17-AAG",0.338537301945127
"26","ZD-6474",0.82888548224029
