,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.631711892,0.666389952,0.732794645,0.70626823,0.775886073,0.586965838,0.733406095,0.813702943,0.688209192,0.616667743,0.69520026,0.627181152
2,AZD0530,0.773463744,0.860746097,0.868539115,0.748071739,0.689653802,0.63725355,0.757492522,0.808299806,0.881054991,0.83213037,0.785670574,
3,AZD6244,0.850924135,0.851404419,0.843731323,0.827776869,0.862240291,0.893009085,0.895537872,0.870439659,0.861671229,0.800776732,0.855751161,
4,Erlotinib,0.720383465,0.787431331,0.770803221,0.633213586,0.682059446,0.779073107,0.661223914,0.746344052,0.753884845,0.75438484,0.728880181,
5,Irinotecan,0.66440099,0.719680625,0.707440815,0.566756044,0.714942716,0.662678467,0.70985632,0.722478309,0.319954144,0.327028559,0.611521699,
6,L-685458,0.490507341,0.450478014,0.56537421,0.524387951,0.53152374,0.462319433,0.41693262,0.649983225,0.542049801,0.661242101,0.529479844,
7,Lapatinib,0.717751537,0.5002312,0.707969702,0.456682049,0.571322146,0.589034342,0.267467171,0.756203659,0.592169726,0.554072995,0.571290453,
8,LBW242,0.249789107,0.537723665,0.2756606,0.388964182,0.465937502,0.551753128,0.37802306,0.396373053,0.456077131,0.66000682,0.436030825,
9,Nilotinib,0.76156256,0.866877818,0.706220048,0.892125132,0.713671385,0.764094682,0.691482291,0.773749742,0.611268081,0.582407684,0.736345942,
10,Nutlin-3,0.500899104,0.837485562,0.615242115,0.549041647,0.76972738,0.640671631,0.680015857,0.761859161,0.670947841,0.834108967,0.685999927,
11,Paclitaxel,0.428838335,0.613496101,0.327896821,0.519874721,0.410008471,0.488825189,0.3197969,0.29029165,0.391354427,0.340366045,0.413074866,
12,Panobinostat,0.325156297,0.385755396,0.352267112,0.468137234,0.472149644,0.517747149,0.364364074,0.489782588,0.385407017,0.603127333,0.436389385,
13,PD-0325901,0.792161208,0.751710515,0.850205353,0.849749411,0.854404718,0.864778425,0.854674633,0.900911471,0.886111107,0.883775505,0.848848235,
14,PD-0332991,0.657417521,0.445345081,0.679236265,0.722999184,0.856099711,0.79254613,0.645794344,0.907605865,0.519198682,0.844889685,0.707113247,
15,PF2341066,0.756993922,0.708655123,0.644659262,0.787581211,0.636155211,0.614164999,0.681737399,0.714807334,0.629758329,0.829615555,0.700412835,
16,PHA-665752,0.670324031,0.675700697,0.55967198,0.553209262,0.730878407,0.671722221,0.718574798,0.742608272,0.698647776,0.68587412,0.670721156,
17,PLX4720,0.588961457,0.506056216,0.614481486,0.545463133,0.750386056,0.716284611,0.390161387,0.539060809,0.461747352,0.607917911,0.572052042,
18,RAF265,0.624281275,0.67130418,0.646218552,0.390526996,0.694919228,0.657854092,0.643273048,0.602523762,0.563289116,0.634845682,0.612903593,
19,Sorafenib,0.426617397,0.587283911,0.570073618,0.706141659,0.540072097,0.763888462,0.780696854,0.538773828,0.224074841,0.57040212,0.570802479,
20,TAE684,0.65082071,0.733797915,0.684862393,0.767774553,0.459459863,0.512682425,0.54575143,0.76743868,0.703303575,0.738785763,0.656467731,
21,TKI258,0.472589775,0.600718316,0.81374295,0.650117034,0.559942165,0.591464493,0.668742293,0.70590989,0.796487309,0.610432963,0.647014719,
22,Topotecan,0.552014021,0.527806685,0.583039777,0.374247802,0.542230399,0.299491566,0.433176469,0.582376131,0.504971617,0.59287609,0.499223056,
23,X17-AAG,0.31055968,0.326544194,0.304137712,0.408032674,0.405927263,0.608268305,0.319469524,0.324983102,0.337858795,0.338537302,0.368431855,
24,ZD-6474,0.751119748,0.717220741,0.6112615,0.673665859,0.727154439,0.572921143,0.644551715,0.873556994,0.726878154,0.828885482,0.712721578,
