"","X","DRUG","CName","PName","dd_predict...2.","dd_real...2.","Acta_Normal"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",1,"PHA-665752","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.611793402554697,-0.89941837577704,-0.89941837577704
"4",2,"RAF265","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.590240254613191,-0.25561406160415,-0.25561406160415
"5",3,"X17-AAG","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.363813774148686,1.00633849113635,1.00633849113635
"6",1,"LBW242","22RV1_PROSTATE","22Rv1",-0.508908718607066,-0.638188757909099,-0.638188757909099
"7",2,"RAF265","22RV1_PROSTATE","22Rv1",-0.508908718607066,-0.380591916016566,-0.380591916016566
"8",1,"LBW242","42MGBA_CENTRAL_NERVOUS_SYSTEM","42-MG-BA",-0.295289157492426,-0.0626430739621817,-0.0626430739621817
"9",1,"AZD0530","5637_URINARY_TRACT","5637",0.0682564095157038,-0.406040774453912,-0.406040774453912
"10",2,"Sorafenib","5637_URINARY_TRACT","5637",-0.131844796540005,-0.442239023478027,-0.442239023478027
"11",1,"Irinotecan","639V_URINARY_TRACT","639-V",1.84062557700536,2.00195222771194,2.00195222771194
"12",2,"L-685458","639V_URINARY_TRACT","639-V",0.386489920955752,-0.710390989862386,-0.710390989862386
"13",3,"PD-0332991","639V_URINARY_TRACT","639-V",-0.465489567386954,-0.473192087938718,-0.473192087938718
"14",4,"PF2341066","639V_URINARY_TRACT","639-V",-0.190725459247447,-0.326391675527865,-0.326391675527865
"15",5,"PHA-665752","639V_URINARY_TRACT","639-V",-0.359013849206464,-0.716218972710633,-0.716218972710633
"16",6,"Sorafenib","639V_URINARY_TRACT","639-V",-0.257349194476385,-0.683711779490409,-0.683711779490409
"17",1,"AEW541","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",0.399641307107476,0.188024943877435,0.188024943877435
"18",2,"Paclitaxel","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",1.65409582406895,4.09225540928332,4.09225540928332
"19",1,"AZD6244","769P_KIDNEY","769-P",0.255683303842992,-0.549150131060875,-0.549150131060875
"20",2,"Lapatinib","769P_KIDNEY","769-P",0.11298068489906,0.0540460937327267,0.0540460937327267
"21",3,"Nilotinib","769P_KIDNEY","769-P",0.071924283210083,-0.465356688776074,-0.465356688776074
"22",4,"Paclitaxel","769P_KIDNEY","769-P",0.0229764809963374,1.69099696507545,1.69099696507545
"23",5,"PHA-665752","769P_KIDNEY","769-P",-0.0151062270044979,-0.52266518678384,-0.52266518678384
"24",6,"PLX4720","769P_KIDNEY","769-P",-0.193350823858648,-0.737005444869382,-0.737005444869382
"25",7,"TAE684","769P_KIDNEY","769-P",-0.264622948263091,-0.4882153326142,-0.4882153326142
"26",1,"Paclitaxel","8505C_THYROID","8505C",0.773701898898224,2.58643415202617,2.58643415202617
"27",2,"PLX4720","8505C_THYROID","8505C",-0.665655360043316,-0.69491445763204,-0.69491445763204
"28",1,"Nutlin-3","8MGBA_CENTRAL_NERVOUS_SYSTEM","8-MG-BA",0.108716942917067,-0.410249873177647,-0.410249873177647
"29",1,"Erlotinib","A2058_SKIN","A2058",-0.184267361637512,-0.955878578503561,-0.955878578503561
"30",2,"Panobinostat","A2058_SKIN","A2058",-0.185049165208273,1.87218247629096,1.87218247629096
"31",3,"PF2341066","A2058_SKIN","A2058",-0.545257300954709,-0.617790817940233,-0.617790817940233
"32",4,"PHA-665752","A2058_SKIN","A2058",-0.499875105741359,-0.826173582447567,-0.826173582447567
"33",5,"Topotecan","A2058_SKIN","A2058",1.27241459739907,1.08287933254333,1.08287933254333
"34",1,"Lapatinib","A253_SALIVARY_GLAND","A-253",-0.579282352042764,-0.422229615699044,-0.422229615699044
"35",2,"TAE684","A253_SALIVARY_GLAND","A-253",-0.612705493693211,-0.478955315421985,-0.478955315421985
