"","drugs.i.","a"
"3","AEW541",0.540302365031785
"4","AZD0530",0.521182466454845
"5","AZD6244",0.887193518454244
"6","Erlotinib",0.516869775301004
"7","Irinotecan",0.888514649814815
"8","L-685458",0.47520735420985
"9","Lapatinib",0.674530986648382
"10","LBW242",0.334166426305846
"11","Nilotinib",0.351947513835156
"12","Nutlin-3",0.220869572885473
"13","Paclitaxel",0.527628246155996
"14","Panobinostat",0.351385834209492
"15","PD-0325901",0.647085277379117
"16","PD-0332991",0.525960622450567
"17","PF2341066",0.567332020859794
"18","PHA-665752",0.405689449249471
"19","PLX4720",0.142273517688602
"20","RAF265",0.518945375985534
"21","Sorafenib",0.305154130524347
"22","TAE684",0.606288844041766
"23","TKI258",0.474598223257875
"24","Topotecan",0.695449946961988
"25","X17-AAG",0.3955167225895
"26","ZD-6474",0.634518149000118
