,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.540302365,0.41779911,0.525687504,0.547858274,0.61199681,0.380016582,0.682157786,0.631553281,0.562148887,0.394543562,0.529406416,0.515294544
2,AZD0530,0.521182466,0.356030868,0.59575128,0.534317907,0.515725371,0.581985682,0.331774677,0.512335644,0.665917762,0.644164021,0.525918568,
3,AZD6244,0.887193518,0.753412648,0.70967058,0.5682353,0.656712775,0.743787333,0.753424861,0.569520304,0.452338864,0.809613635,0.690390982,
4,Erlotinib,0.516869775,0.615450532,0.633426079,0.459074053,0.594351534,0.66387336,0.489381457,0.663677408,0.580912246,0.670701532,0.588771798,
5,Irinotecan,0.88851465,0.860660813,0.778627796,0.811537229,0.875505624,0.776230726,0.88832448,0.82834959,0.755141323,0.721840435,0.818473267,
6,L-685458,0.475207354,0.358804334,0.505195547,0.441339671,0.420538504,0.539157958,0.519449859,0.440127675,0.504053724,0.542903216,0.474677784,
7,Lapatinib,0.674530987,0.276798154,0.277669791,0.231268963,0.357344484,0.429951791,0.154186965,0.621601029,0.324790766,0.399668762,0.374781169,
8,LBW242,0.334166426,0.422042801,0.217107074,0.338770589,0.209158365,0.283818139,0.20721399,0.234110531,0.340498205,0.348734665,0.293562079,
9,Nilotinib,0.351947514,0.435045217,0.401929232,0.645402742,0.264014744,0.372692672,0.270397581,0.369601875,0.098442717,0.511424718,0.372089901,
10,Nutlin-3,0.220869573,0.58139207,0.474866224,0.433326722,0.697442856,0.43056582,0.518722495,0.602817259,0.542673914,0.636469522,0.513914646,
11,Paclitaxel,0.527628246,0.675639014,0.415376728,0.675244626,0.646210815,0.614863626,0.335043503,0.332369658,0.367689696,0.438199121,0.502826503,
12,Panobinostat,0.351385834,0.462371083,0.394461057,0.533773674,0.39571116,0.484700289,0.429699259,0.522985281,0.420191166,0.606224232,0.460150304,
13,PD-0325901,0.647085277,0.575918197,0.670586451,0.426408684,0.386787691,0.593723999,0.520965071,0.499791535,0.52866607,0.657724247,0.550765722,
14,PD-0332991,0.525960622,0.26414287,0.561916738,0.538241324,0.677571365,0.625441605,0.405556444,0.728180063,0.479051624,0.828417096,0.563447975,
15,PF2341066,0.567332021,0.705493475,0.636949567,0.749365549,0.48914807,0.512764574,0.599562692,0.514218956,0.542551956,0.728789762,0.604617662,
16,PHA-665752,0.405689449,0.543011434,0.223328542,0.313290141,0.5638615,0.4873463,0.545986272,0.424697055,0.599313722,0.383638564,0.449016298,
17,PLX4720,0.142273518,0.134567573,0.451912334,0.012317189,0.402550496,0.526282935,0.172104079,0.18824047,0.209926581,0.271041849,0.251121702,
18,RAF265,0.518945376,0.597893388,0.576249709,0.207444796,0.470589283,0.544427453,0.529031505,0.377350928,0.314508678,0.613278091,0.474971921,
19,Sorafenib,0.305154131,0.482504096,0.627408215,0.678447826,0.469422437,0.730909239,0.806652615,0.281223793,0.269001002,0.33847472,0.498919807,
20,TAE684,0.606288844,0.736339804,0.665393824,0.704208565,0.341532153,0.466719738,0.499373014,0.644625322,0.664579229,0.692308901,0.602136939,
21,TKI258,0.474598223,0.618750719,0.8120712,0.576188814,0.53552196,0.539273961,0.624679907,0.706123247,0.765178064,0.63422329,0.628660938,
22,Topotecan,0.695449947,0.665550757,0.828293437,0.571401605,0.569960924,0.497889645,0.637947143,0.748807339,0.661151123,0.816451528,0.669290345,
23,X17-AAG,0.395516723,0.395049511,0.321628641,0.461846061,0.36843411,0.582159329,0.142694558,0.411334162,0.275309694,0.352920448,0.370689324,
24,ZD-6474,0.634518149,0.60307873,0.30881021,0.515675672,0.680989429,0.39281102,0.467093448,0.752718576,0.53805148,0.690923282,0.558467,
