"","x"
"1",51
"2",2
"3",22
"4",10
"5",6
"6",0
"7",21
"8",12
"9",56
"10",86
"11",1
"12",17
"13",65
"14",54
"15",2
"16",69
"17",0
"18",0
"19",9
"20",18
"21",0
"22",3
"23",2
"24",0
"25",3
"26",7
"27",10
"28",0
"29",3
"30",4
"31",8
"32",0
"33",32
"34",10
"35",3
"36",8
"37",3
"38",8
"39",5
"40",3
"41",25
"42",6
"43",3
"44",2
"45",1
"46",3
"47",8
"48",4
"49",0
"50",0
"51",0
"52",8
"53",15
"54",45
"55",5
"56",1
"57",66
"58",3
"59",40
"60",0
"61",10
"62",4
"63",18
"64",4
"65",3
"66",2
"67",0
"68",8
"69",1
"70",47
"71",59
"72",38
"73",1
"74",0
"75",0
"76",3
"77",0
"78",68
"79",3
"80",0
"81",10
"82",8
"83",1
"84",11
"85",0
"86",0
"87",3
"88",0
"89",0
"90",0
"91",1
"92",10
"93",2
"94",0
"95",4
"96",3
"97",3
"98",29
"99",0
"100",3
"101",2
"102",0
"103",1
"104",3
"105",8
"106",0
"107",3
"108",3
"109",0
"110",1
"111",0
"112",0
"113",0
"114",4
"115",8
"116",1
"117",0
"118",29
"119",47
"120",8
"121",8
"122",2
"123",1
"124",8
"125",1
"126",0
"127",0
"128",10
"129",1
"130",2
"131",14
"132",0
"133",48
"134",1
"135",49
"136",0
"137",17
"138",2
"139",3
"140",0
"141",0
"142",0
"143",10
"144",1
"145",57
"146",2
"147",3
"148",0
"149",7
"150",13
"151",10
"152",0
"153",8
"154",0
"155",32
"156",0
"157",3
"158",0
"159",0
"160",8
"161",14
"162",1
"163",0
"164",3
"165",0
"166",1
"167",0
"168",33
"169",0
"170",3
"171",14
"172",3
"173",1
"174",17
"175",2
"176",3
"177",0
"178",0
"179",0
"180",0
"181",8
"182",8
"183",43
"184",21
"185",0
"186",64
"187",2
"188",3
"189",3
"190",0
"191",0
"192",3
"193",0
"194",8
"195",3
"196",0
"197",8
"198",0
"199",2
"200",0
"201",3
"202",3
"203",4
"204",0
"205",2
"206",0
"207",3
"208",0
"209",60
"210",1
"211",3
"212",2
"213",1
"214",20
"215",3
"216",6
"217",1
"218",80
"219",0
"220",12
"221",81
"222",10
"223",31
"224",3
"225",14
"226",1
"227",10
"228",0
"229",2
"230",3
"231",14
"232",7
"233",4
"234",0
"235",45
"236",0
"237",3
"238",3
"239",1
"240",5
"241",48
"242",0
"243",2
"244",0
"245",0
"246",0
"247",3
"248",54
"249",0
"250",0
"251",8
"252",3
"253",0
"254",8
"255",5
"256",0
"257",2
"258",0
"259",8
"260",0
"261",8
"262",0
"263",0
"264",0
"265",3
"266",1
"267",2
"268",2
"269",54
"270",4
"271",3
"272",48
"273",4
"274",55
"275",3
"276",2
"277",0
"278",8
"279",0
"280",0
"281",4
"282",11
"283",1
"284",0
"285",1
"286",8
"287",0
"288",9
"289",2
"290",0
"291",0
"292",0
"293",0
"294",8
"295",17
"296",0
"297",0
"298",0
"299",0
"300",0
"301",3
"302",10
"303",25
"304",40
"305",0
"306",23
"307",0
"308",3
"309",2
"310",49
"311",59
"312",3
"313",0
"314",77
"315",0
"316",37
"317",3
"318",2
"319",29
"320",0
"321",5
"322",0
"323",32
"324",0
"325",22
"326",2
"327",0
"328",1
"329",49
"330",60
"331",0
"332",1
"333",4
"334",2
"335",3
"336",31
"337",8
"338",52
"339",3
"340",0
"341",1
"342",2
"343",0
"344",47
"345",0
"346",3
"347",0
"348",1
"349",6
"350",8
"351",1
"352",0
"353",2
"354",3
"355",7
"356",0
"357",29
"358",3
"359",43
"360",35
"361",0
"362",3
"363",3
"364",1
"365",10
"366",1
"367",0
"368",69
"369",3
"370",0
"371",2
"372",1
"373",12
"374",0
"375",14
"376",0
"377",10
"378",0
"379",3
"380",7
"381",3
"382",0
"383",0
"384",0
"385",5
"386",3
"387",1
"388",8
"389",4
"390",2
"391",14
"392",3
"393",20
"394",23
"395",3
"396",47
"397",2
"398",3
"399",8
"400",0
"401",4
"402",81
"403",1
"404",3
"405",0
"406",0
"407",0
"408",0
"409",8
"410",19
"411",0
"412",0
"413",3
"414",25
"415",14
"416",0
"417",0
"418",12
"419",0
"420",5
"421",8
"422",21
"423",0
"424",21
"425",10
"426",22
"427",28
"428",2
"429",0
"430",2
"431",1
"432",14
"433",0
"434",0
"435",0
"436",14
"437",3
"438",42
"439",0
"440",0
"441",83
"442",2
"443",0
"444",3
"445",14
"446",3
"447",0
"448",3
"449",8
"450",4
"451",3
"452",14
"453",3
"454",45
"455",8
"456",3
"457",11
"458",75
"459",3
"460",0
"461",0
"462",4
"463",2
"464",3
"465",0
"466",0
"467",3
"468",3
"469",3
"470",3
"471",8
"472",0
"473",14
"474",29
"475",3
"476",12
"477",0
"478",0
"479",17
"480",4
"481",0
"482",4
"483",3
"484",0
"485",0
"486",8
"487",0
"488",0
"489",10
"490",0
"491",19
"492",8
"493",8
"494",0
"495",10
"496",17
"497",0
"498",0
"499",37
"500",0
"501",3
"502",3
"503",19
"504",1
"505",0
"506",3
"507",32
"508",29
"509",0
"510",14
"511",15
"512",0
"513",0
"514",14
"515",14
"516",0
"517",0
"518",11
"519",0
"520",13
"521",0
"522",0
"523",10
"524",3
"525",2
"526",3
"527",3
"528",3
"529",8
"530",6
"531",3
"532",7
"533",38
"534",0
"535",3
"536",0
"537",17
"538",0
"539",37
"540",4
"541",0
"542",0
"543",0
"544",0
"545",18
"546",0
"547",3
"548",8
"549",59
"550",5
"551",14
"552",42
"553",10
"554",0
"555",0
"556",68
"557",3
"558",10
"559",3
"560",59
"561",8
"562",0
"563",8
"564",0
"565",14
"566",0
"567",71
"568",49
"569",8
"570",8
"571",0
"572",0
"573",9
"574",0
"575",0
"576",0
"577",0
"578",1
"579",3
"580",0
"581",3
"582",0
"583",14
"584",0
"585",1
"586",0
"587",0
"588",0
"589",10
"590",0
"591",24
"592",37
"593",0
"594",6
"595",8
"596",3
"597",0
"598",0
"599",44
"600",0
"601",3
"602",0
"603",11
"604",2
"605",14
"606",17
"607",0
"608",10
"609",0
"610",4
"611",3
"612",10
"613",0
"614",3
"615",0
"616",14
"617",8
"618",0
"619",8
"620",3
"621",49
"622",5
"623",4
"624",3
"625",0
"626",0
"627",3
"628",14
"629",10
"630",0
"631",7
"632",3
"633",0
"634",18
"635",3
"636",18
"637",0
"638",0
"639",0
"640",9
"641",3
"642",8
"643",32
"644",3
"645",0
"646",14
"647",32
"648",49
"649",0
"650",3
"651",8
"652",3
"653",3
"654",0
"655",0
"656",50
"657",59
"658",0
"659",8
"660",0
"661",8
"662",8
"663",14
"664",25
"665",3
"666",3
"667",0
"668",0
"669",11
"670",8
"671",19
"672",4
"673",1
"674",3
"675",0
"676",6
"677",0
"678",8
"679",18
"680",20
"681",0
"682",0
"683",0
"684",0
"685",0
"686",1
"687",14
"688",14
"689",0
"690",3
"691",3
"692",43
"693",3
"694",8
"695",2
"696",0
"697",0
"698",25
"699",5
"700",7
"701",0
"702",1
"703",0
"704",0
"705",2
"706",0
"707",0
"708",0
"709",0
"710",3
"711",3
"712",49
"713",0
"714",0
"715",3
"716",1
"717",8
"718",0
"719",8
"720",1
"721",14
"722",1
"723",0
"724",8
"725",0
"726",0
"727",0
"728",0
"729",0
"730",3
"731",2
"732",0
"733",3
"734",3
"735",0
"736",0
"737",1
"738",1
"739",59
"740",3
"741",8
"742",4
"743",15
"744",0
"745",89
"746",3
"747",14
"748",0
"749",18
"750",1
"751",2
"752",8
"753",3
"754",11
"755",0
"756",0
"757",5
"758",3
"759",0
"760",4
"761",0
"762",0
"763",0
"764",0
"765",31
"766",2
"767",4
"768",0
"769",4
"770",1
"771",0
"772",3
"773",0
"774",4
"775",3
"776",8
"777",14
"778",1
"779",3
"780",82
"781",0
"782",3
"783",51
"784",3
"785",0
"786",0
"787",38
"788",3
"789",7
"790",3
"791",6
"792",15
"793",83
"794",0
"795",0
"796",3
"797",0
"798",14
"799",0
"800",8
"801",0
"802",49
"803",4
"804",1
"805",0
"806",11
"807",0
"808",8
"809",3
"810",0
"811",1
"812",3
"813",7
"814",0
"815",8
"816",8
"817",3
"818",3
"819",10
"820",0
"821",0
"822",2
"823",3
"824",6
"825",3
"826",0
"827",14
"828",0
"829",6
"830",14
"831",3
"832",1
"833",0
"834",9
"835",47
"836",0
"837",8
"838",50
"839",1
"840",29
"841",3
"842",13
"843",3
"844",3
"845",7
"846",1
"847",4
"848",83
"849",2
"850",3
"851",0
"852",6
"853",1
"854",3
"855",0
"856",3
"857",83
"858",0
"859",3
"860",3
"861",0
"862",0
"863",0
"864",3
"865",0
"866",11
"867",0
"868",2
"869",0
"870",1
"871",43
"872",1
"873",1
"874",1
"875",0
"876",0
"877",16
"878",3
"879",6
"880",0
"881",10
"882",5
"883",25
"884",0
"885",4
"886",8
"887",3
"888",59
"889",14
"890",0
"891",0
"892",1
"893",3
"894",3
"895",12
"896",8
"897",49
"898",3
"899",1
"900",3
"901",3
"902",0
"903",25
"904",1
"905",68
"906",3
"907",13
"908",5
"909",0
"910",35
"911",21
"912",0
"913",0
"914",14
"915",0
"916",7
"917",3
"918",0
"919",25
"920",49
"921",29
"922",1
"923",0
"924",0
"925",0
"926",8
"927",9
"928",0
"929",3
"930",0
"931",0
"932",4
"933",11
"934",3
"935",32
"936",14
"937",0
"938",3
"939",0
"940",0
"941",8
"942",3
"943",0
"944",0
"945",0
"946",0
"947",8
"948",46
"949",0
"950",0
"951",0
"952",0
"953",3
"954",0
"955",29
"956",0
"957",0
"958",0
"959",1
"960",0
"961",3
"962",8
"963",0
"964",0
"965",11
"966",2
"967",3
"968",3
"969",3
"970",0
"971",31
"972",3
"973",25
"974",1
"975",0
"976",0
"977",3
"978",5
"979",0
"980",18
"981",2
"982",2
"983",44
"984",8
"985",0
"986",29
"987",4
"988",0
"989",30
"990",23
"991",0
"992",0
"993",5
"994",6
"995",59
"996",3
"997",40
"998",0
"999",13
"1000",4
"1001",0
"1002",8
"1003",2
"1004",5
"1005",8
"1006",4
"1007",0
"1008",2
"1009",0
"1010",8
"1011",3
"1012",10
"1013",0
"1014",4
"1015",15
"1016",0
"1017",0
"1018",32
"1019",10
"1020",8
"1021",3
"1022",0
"1023",69
"1024",3
"1025",2
"1026",1
"1027",0
"1028",3
"1029",2
"1030",0
"1031",0
"1032",0
"1033",8
"1034",0
"1035",0
"1036",49
"1037",3
"1038",10
"1039",3
"1040",0
"1041",5
"1042",2
"1043",0
"1044",41
"1045",28
"1046",0
"1047",0
"1048",82
"1049",0
"1050",53
"1051",41
"1052",2
"1053",4
"1054",11
"1055",0
"1056",1
"1057",0
"1058",1
"1059",2
"1060",17
"1061",70
"1062",2
"1063",10
"1064",0
"1065",3
"1066",6
"1067",0
"1068",0
"1069",0
"1070",6
"1071",0
"1072",75
"1073",2
"1074",0
"1075",2
"1076",0
"1077",0
"1078",27
"1079",15
"1080",4
"1081",15
"1082",0
"1083",19
"1084",21
"1085",37
"1086",17
"1087",57
"1088",39
"1089",15
"1090",0
"1091",41
"1092",89
"1093",0
"1094",2
"1095",2
"1096",2
"1097",0
"1098",27
"1099",23
"1100",0
"1101",2
"1102",0
"1103",27
"1104",2
"1105",54
"1106",81
"1107",3
"1108",5
"1109",1
"1110",15
"1111",50
"1112",4
"1113",0
"1114",45
"1115",32
"1116",1
"1117",0
"1118",1
"1119",1
"1120",0
"1121",49
"1122",1
"1123",5
"1124",2
"1125",23
"1126",1
"1127",30
"1128",4
"1129",49
"1130",16
"1131",17
"1132",2
"1133",0
"1134",0
"1135",24
"1136",0
"1137",1
"1138",26
"1139",20
"1140",41
"1141",0
"1142",4
"1143",0
"1144",25
"1145",2
"1146",22
"1147",37
"1148",2
"1149",7
"1150",20
"1151",20
"1152",18
"1153",2
"1154",2
"1155",5
"1156",2
"1157",5
"1158",1
"1159",51
"1160",23
"1161",15
"1162",67
"1163",23
"1164",23
"1165",4
"1166",42
"1167",20
"1168",4
"1169",0
"1170",4
"1171",26
"1172",4
"1173",26
"1174",85
"1175",40
"1176",75
"1177",16
"1178",33
"1179",39
"1180",0
"1181",7
"1182",0
"1183",1
"1184",0
"1185",1
"1186",0
"1187",7
"1188",43
"1189",17
"1190",7
"1191",2
"1192",9
"1193",28
"1194",27
"1195",78
"1196",18
"1197",59
"1198",4
"1199",0
"1200",2
"1201",1
"1202",5
"1203",0
"1204",68
"1205",26
"1206",0
"1207",1
"1208",1
"1209",15
"1210",70
"1211",12
"1212",44
"1213",45
"1214",3
"1215",5
"1216",24
"1217",0
"1218",0
"1219",7
"1220",6
"1221",3
"1222",4
"1223",4
"1224",66
"1225",1
"1226",11
"1227",28
"1228",53
"1229",32
"1230",6
"1231",0
"1232",0
"1233",0
"1234",0
"1235",33
"1236",2
"1237",16
"1238",51
"1239",4
"1240",24
"1241",38
"1242",4
"1243",18
"1244",15
"1245",3
"1246",45
"1247",57
"1248",26
"1249",55
"1250",0
"1251",1
"1252",11
"1253",20
"1254",0
"1255",2
"1256",5
"1257",5
"1258",42
"1259",16
"1260",76
"1261",6
"1262",1
"1263",80
"1264",0
"1265",6
"1266",42
"1267",26
"1268",41
"1269",0
"1270",1
"1271",1
"1272",0
"1273",0
"1274",6
"1275",15
"1276",0
"1277",8
"1278",17
"1279",7
"1280",0
"1281",0
"1282",1
"1283",32
"1284",15
"1285",50
"1286",0
"1287",11
"1288",0
"1289",42
"1290",15
"1291",33
"1292",15
"1293",4
"1294",10
"1295",1
"1296",0
"1297",76
"1298",39
"1299",1
"1300",10
"1301",2
"1302",19
"1303",21
"1304",2
"1305",0
"1306",0
"1307",0
"1308",23
"1309",3
"1310",7
"1311",75
"1312",0
"1313",55
"1314",0
"1315",8
"1316",2
"1317",0
"1318",1
"1319",39
"1320",46
"1321",74
"1322",2
"1323",7
"1324",1
"1325",21
"1326",4
"1327",32
"1328",9
"1329",8
"1330",1
"1331",0
"1332",2
"1333",0
"1334",52
"1335",0
"1336",2
"1337",1
"1338",5
"1339",2
"1340",65
"1341",0
"1342",28
"1343",34
"1344",1
"1345",7
"1346",39
"1347",2
"1348",4
"1349",0
"1350",6
"1351",17
"1352",4
"1353",47
"1354",1
"1355",0
"1356",47
"1357",22
"1358",88
"1359",2
"1360",27
"1361",61
"1362",5
"1363",0
"1364",20
"1365",26
"1366",52
"1367",42
"1368",30
"1369",5
"1370",44
"1371",9
"1372",0
"1373",0
"1374",0
"1375",6
"1376",1
"1377",28
"1378",26
"1379",0
"1380",15
"1381",47
"1382",6
"1383",17
"1384",24
"1385",0
"1386",1
"1387",2
"1388",28
"1389",7
"1390",1
"1391",24
"1392",17
"1393",5
"1394",0
"1395",11
"1396",76
"1397",26
"1398",5
"1399",45
"1400",45
"1401",0
"1402",48
"1403",8
"1404",31
"1405",10
"1406",31
"1407",20
"1408",21
"1409",60
"1410",54
"1411",6
"1412",0
"1413",0
"1414",5
"1415",0
"1416",2
"1417",0
"1418",1
"1419",2
"1420",2
"1421",0
"1422",4
"1423",22
"1424",2
"1425",5
"1426",16
"1427",0
"1428",54
"1429",0
"1430",33
"1431",0
"1432",4
"1433",10
"1434",0
"1435",13
"1436",2
"1437",7
"1438",12
"1439",9
"1440",68
"1441",34
"1442",0
"1443",0
"1444",9
"1445",5
"1446",25
"1447",1
"1448",0
"1449",5
"1450",2
"1451",36
"1452",5
"1453",23
"1454",77
"1455",4
"1456",1
"1457",0
"1458",2
"1459",53
"1460",5
"1461",2
"1462",0
"1463",2
"1464",55
"1465",11
"1466",0
"1467",66
"1468",15
"1469",1
"1470",1
"1471",13
"1472",85
"1473",5
"1474",4
"1475",1
"1476",9
"1477",7
"1478",1
"1479",5
"1480",86
"1481",1
"1482",35
"1483",0
"1484",46
"1485",0
"1486",0
"1487",56
"1488",21
"1489",0
"1490",0
"1491",47
"1492",0
"1493",0
"1494",13
"1495",22
"1496",27
"1497",15
"1498",15
"1499",15
"1500",6
"1501",29
"1502",4
"1503",7
"1504",0
"1505",0
"1506",0
"1507",6
"1508",1
"1509",2
"1510",39
"1511",0
"1512",65
"1513",5
"1514",34
"1515",17
"1516",22
"1517",0
"1518",77
"1519",3
"1520",5
"1521",18
"1522",1
"1523",52
"1524",27
"1525",0
"1526",1
"1527",52
"1528",5
"1529",1
"1530",32
"1531",1
"1532",1
"1533",39
"1534",5
"1535",0
"1536",16
"1537",77
"1538",4
"1539",28
"1540",0
"1541",0
"1542",0
"1543",5
"1544",39
"1545",0
"1546",2
"1547",2
"1548",0
"1549",1
"1550",5
"1551",2
"1552",50
"1553",0
"1554",5
"1555",22
"1556",20
"1557",0
"1558",32
"1559",1
"1560",1
"1561",32
"1562",0
"1563",0
"1564",79
"1565",58
"1566",4
"1567",28
"1568",0
"1569",7
"1570",5
"1571",5
"1572",1
"1573",3
"1574",19
"1575",8
"1576",9
"1577",3
"1578",1
"1579",31
"1580",22
"1581",0
"1582",2
"1583",72
"1584",26
"1585",11
"1586",0
"1587",0
"1588",0
"1589",2
"1590",70
"1591",6
"1592",47
"1593",2
"1594",14
"1595",6
"1596",5
"1597",0
"1598",0
"1599",5
"1600",31
"1601",0
"1602",54
"1603",57
"1604",0
"1605",5
"1606",5
"1607",13
"1608",0
"1609",0
"1610",83
"1611",1
"1612",5
"1613",4
"1614",1
"1615",0
"1616",24
"1617",5
"1618",0
"1619",86
"1620",56
"1621",39
"1622",3
"1623",54
"1624",6
"1625",28
"1626",3
"1627",0
"1628",2
"1629",6
"1630",15
"1631",47
"1632",0
"1633",78
"1634",4
"1635",0
"1636",3
"1637",1
"1638",34
"1639",1
"1640",7
"1641",17
"1642",1
"1643",0
"1644",81
"1645",0
"1646",60
"1647",7
"1648",1
"1649",27
"1650",1
"1651",0
"1652",9
"1653",1
"1654",5
"1655",0
"1656",0
"1657",41
"1658",29
"1659",4
"1660",25
"1661",64
"1662",0
"1663",6
"1664",5
"1665",49
"1666",1
"1667",1
"1668",2
"1669",64
"1670",0
"1671",25
"1672",85
"1673",3
"1674",31
"1675",7
"1676",11
"1677",0
"1678",0
"1679",29
"1680",38
"1681",0
"1682",61
"1683",26
"1684",4
"1685",17
"1686",13
"1687",4
"1688",23
"1689",6
"1690",6
"1691",0
"1692",31
"1693",0
"1694",0
"1695",3
"1696",0
"1697",4
"1698",1
"1699",0
"1700",12
"1701",6
"1702",55
"1703",41
"1704",2
"1705",27
"1706",9
"1707",3
"1708",3
"1709",8
"1710",4
"1711",30
"1712",1
"1713",11
"1714",1
"1715",8
"1716",2
"1717",12
"1718",1
"1719",21
"1720",1
"1721",1
"1722",20
"1723",1
"1724",0
"1725",9
"1726",4
"1727",7
"1728",82
"1729",0
"1730",4
"1731",3
"1732",3
"1733",13
"1734",23
"1735",0
"1736",0
"1737",87
"1738",0
"1739",1
"1740",7
"1741",0
"1742",0
"1743",19
"1744",0
"1745",5
"1746",5
"1747",45
"1748",28
"1749",11
"1750",87
"1751",6
"1752",78
"1753",1
"1754",4
"1755",0
"1756",0
"1757",69
"1758",2
"1759",26
"1760",0
"1761",6
"1762",4
"1763",22
"1764",16
"1765",13
"1766",3
"1767",31
"1768",2
"1769",5
"1770",16
"1771",80
"1772",1
"1773",45
"1774",0
"1775",0
"1776",36
"1777",0
"1778",41
"1779",23
"1780",8
"1781",6
"1782",69
"1783",44
"1784",19
"1785",70
"1786",0
"1787",16
"1788",5
"1789",72
"1790",63
"1791",5
"1792",2
"1793",66
"1794",15
"1795",0
"1796",16
"1797",5
"1798",15
"1799",0
"1800",16
"1801",0
"1802",2
"1803",15
"1804",46
"1805",0
"1806",15
"1807",1
"1808",5
"1809",35
"1810",4
"1811",48
"1812",53
"1813",2
"1814",45
"1815",1
"1816",4
"1817",0
"1818",0
"1819",67
"1820",44
"1821",67
"1822",5
"1823",8
"1824",12
"1825",53
"1826",0
"1827",1
"1828",65
"1829",61
"1830",0
"1831",17
"1832",4
"1833",2
"1834",39
"1835",4
"1836",11
"1837",0
"1838",7
"1839",2
"1840",68
"1841",4
"1842",13
"1843",1
"1844",9
"1845",15
"1846",4
"1847",1
"1848",76
"1849",3
"1850",0
"1851",67
"1852",28
"1853",11
"1854",8
"1855",0
"1856",11
"1857",1
"1858",5
"1859",1
"1860",4
"1861",1
"1862",2
"1863",2
"1864",3
"1865",1
"1866",13
"1867",40
"1868",80
"1869",0
"1870",1
"1871",1
"1872",15
"1873",5
"1874",9
"1875",15
"1876",8
"1877",63
"1878",0
"1879",44
"1880",57
"1881",42
"1882",37
"1883",45
"1884",0
"1885",1
"1886",39
"1887",67
"1888",0
"1889",20
"1890",6
"1891",0
"1892",16
"1893",2
"1894",5
"1895",17
"1896",6
"1897",0
"1898",9
"1899",5
"1900",24
"1901",0
"1902",2
"1903",0
"1904",2
"1905",56
"1906",3
"1907",3
"1908",2
"1909",61
"1910",0
"1911",0
"1912",4
"1913",0
"1914",2
"1915",58
"1916",9
"1917",1
"1918",17
"1919",30
"1920",0
"1921",20
"1922",67
"1923",35
"1924",3
"1925",0
"1926",67
"1927",9
"1928",39
"1929",35
"1930",2
"1931",21
"1932",21
"1933",36
"1934",2
"1935",3
"1936",0
"1937",0
"1938",8
"1939",57
"1940",23
"1941",2
"1942",1
"1943",5
"1944",89
"1945",27
"1946",30
"1947",1
"1948",12
"1949",15
"1950",5
"1951",6
"1952",33
"1953",7
"1954",4
"1955",1
"1956",2
"1957",73
"1958",0
"1959",0
"1960",7
"1961",6
"1962",1
"1963",0
"1964",0
"1965",22
"1966",1
"1967",2
"1968",52
"1969",72
"1970",22
"1971",0
"1972",2
"1973",86
"1974",3
"1975",2
"1976",9
"1977",22
"1978",0
"1979",47
"1980",0
"1981",0
"1982",2
"1983",2
"1984",16
"1985",7
"1986",45
"1987",1
"1988",20
"1989",0
"1990",0
"1991",22
"1992",1
"1993",0
"1994",20
"1995",4
"1996",20
"1997",10
"1998",3
"1999",56
"2000",26
"2001",3
"2002",55
"2003",0
"2004",22
"2005",9
"2006",2
"2007",32
"2008",69
"2009",4
"2010",4
"2011",72
"2012",11
"2013",1
"2014",26
"2015",34
"2016",22
"2017",3
"2018",10
"2019",81
"2020",23
"2021",0
"2022",4
"2023",5
"2024",2
"2025",0
"2026",13
"2027",1
"2028",68
"2029",7
"2030",51
"2031",44
"2032",23
"2033",0
"2034",4
"2035",2
"2036",0
"2037",28
"2038",44
"2039",2
"2040",2
"2041",13
"2042",27
"2043",10
"2044",1
"2045",22
"2046",0
"2047",0
"2048",6
"2049",3
"2050",29
"2051",5
"2052",1
"2053",4
"2054",3
"2055",43
"2056",0
"2057",2
"2058",2
"2059",7
"2060",5
"2061",0
"2062",0
"2063",0
"2064",1
"2065",56
"2066",28
"2067",62
"2068",4
"2069",31
"2070",4
"2071",27
"2072",59
"2073",1
"2074",3
"2075",0
"2076",63
"2077",16
"2078",21
"2079",1
"2080",0
"2081",3
"2082",0
"2083",18
"2084",49
"2085",0
"2086",1
"2087",8
"2088",22
"2089",9
"2090",30
"2091",56
"2092",2
"2093",2
"2094",6
"2095",32
"2096",36
"2097",0
"2098",10
"2099",2
"2100",24
"2101",5
"2102",0
"2103",1
"2104",27
"2105",9
"2106",3
"2107",12
"2108",7
"2109",35
"2110",6
"2111",5
"2112",24
"2113",9
"2114",11
"2115",24
"2116",33
"2117",5
"2118",1
"2119",0
"2120",48
"2121",10
"2122",2
"2123",3
"2124",55
"2125",0
"2126",15
"2127",2
"2128",15
"2129",3
"2130",2
"2131",4
"2132",4
"2133",0
"2134",23
"2135",68
"2136",1
"2137",11
"2138",4
"2139",4
"2140",21
"2141",3
"2142",3
"2143",0
"2144",24
"2145",45
"2146",20
"2147",0
"2148",80
"2149",34
"2150",5
"2151",39
"2152",0
"2153",6
"2154",26
"2155",15
"2156",7
"2157",4
"2158",6
"2159",24
"2160",20
"2161",0
"2162",1
"2163",42
"2164",2
"2165",50
"2166",1
"2167",0
"2168",3
"2169",7
"2170",0
"2171",84
"2172",1
"2173",6
"2174",6
"2175",11
"2176",3
"2177",2
"2178",43
"2179",3
"2180",2
"2181",4
"2182",33
"2183",25
"2184",4
"2185",0
"2186",0
"2187",0
"2188",5
"2189",7
"2190",0
"2191",0
"2192",8
"2193",2
"2194",45
"2195",7
"2196",34
"2197",1
"2198",3
"2199",11
"2200",0
"2201",10
"2202",2
"2203",2
"2204",0
"2205",2
"2206",6
"2207",50
"2208",11
"2209",4
"2210",12
"2211",1
"2212",0
"2213",4
"2214",19
"2215",4
"2216",50
"2217",7
"2218",21
"2219",37
"2220",3
"2221",4
"2222",0
"2223",4
"2224",2
"2225",0
"2226",83
"2227",6
"2228",0
"2229",61
"2230",0
"2231",41
"2232",83
"2233",2
"2234",9
"2235",37
"2236",0
"2237",0
"2238",18
"2239",55
"2240",0
"2241",2
"2242",73
"2243",7
"2244",6
"2245",7
"2246",0
"2247",6
"2248",0
"2249",4
"2250",1
"2251",16
"2252",34
"2253",0
"2254",1
"2255",1
"2256",0
"2257",2
"2258",2
"2259",4
"2260",0
"2261",0
"2262",51
"2263",0
"2264",2
"2265",18
"2266",83
"2267",4
"2268",29
"2269",16
"2270",36
"2271",65
"2272",0
"2273",75
"2274",8
"2275",53
"2276",27
"2277",0
"2278",2
"2279",13
"2280",0
"2281",0
"2282",46
"2283",0
"2284",0
"2285",33
"2286",69
"2287",47
"2288",0
"2289",0
"2290",54
"2291",0
"2292",2
"2293",0
"2294",0
"2295",20
"2296",2
"2297",15
"2298",6
"2299",0
"2300",1
"2301",1
"2302",1
"2303",21
"2304",82
"2305",10
"2306",1
"2307",58
"2308",0
"2309",19
"2310",7
"2311",1
"2312",3
"2313",25
"2314",5
"2315",12
"2316",30
"2317",1
"2318",17
"2319",2
"2320",2
"2321",10
"2322",15
"2323",11
"2324",0
"2325",5
"2326",1
"2327",3
"2328",0
"2329",4
"2330",0
"2331",6
"2332",3
"2333",50
"2334",2
"2335",0
"2336",32
"2337",33
"2338",11
"2339",1
"2340",27
"2341",4
"2342",51
"2343",0
"2344",0
"2345",3
"2346",56
"2347",0
"2348",0
"2349",17
