"","x"
"1","GO:0000027"
"2","GO:0000060"
"3","GO:0000154"
"4","GO:0000226"
"5","GO:0001510"
"6","GO:0001541"
"7","GO:0001558"
"8","GO:0001666"
"9","GO:0001819"
"10","GO:0001953"
"11","GO:0001959"
"12","GO:0001960"
"13","GO:0001961"
"14","GO:0002230"
"15","GO:0002573"
"16","GO:0002676"
"17","GO:0002753"
"18","GO:0002791"
"19","GO:0002793"
"20","GO:0002831"
"21","GO:0002863"
"22","GO:0002922"
"23","GO:0003012"
"24","GO:0003148"
"25","GO:0003151"
"26","GO:0003208"
"27","GO:0003229"
"28","GO:0003281"
"29","GO:0006213"
"30","GO:0006336"
"31","GO:0006513"
"32","GO:0006525"
"33","GO:0006576"
"34","GO:0006595"
"35","GO:0006596"
"36","GO:0006750"
"37","GO:0006751"
"38","GO:0006874"
"39","GO:0006875"
"40","GO:0006893"
"41","GO:0006907"
"42","GO:0006936"
"43","GO:0007019"
"44","GO:0007026"
"45","GO:0007031"
"46","GO:0007032"
"47","GO:0007041"
"48","GO:0007171"
"49","GO:0007184"
"50","GO:0007204"
"51","GO:0007548"
"52","GO:0007569"
"53","GO:0008333"
"54","GO:0008406"
"55","GO:0008584"
"56","GO:0008585"
"57","GO:0008608"
"58","GO:0008655"
"59","GO:0009064"
"60","GO:0009163"
"61","GO:0009306"
"62","GO:0009309"
"63","GO:0009408"
"64","GO:0009451"
"65","GO:0009880"
"66","GO:0009896"
"67","GO:0010001"
"68","GO:0010107"
"69","GO:0010591"
"70","GO:0010592"
"71","GO:0010639"
"72","GO:0010742"
"73","GO:0010743"
"74","GO:0010745"
"75","GO:0010762"
"76","GO:0010823"
"77","GO:0010862"
"78","GO:0010866"
"79","GO:0010867"
"80","GO:0010874"
"81","GO:0010875"
"82","GO:0010878"
"83","GO:0010883"
"84","GO:0010884"
"85","GO:0010885"
"86","GO:0010888"
"87","GO:0010954"
"88","GO:0010955"
"89","GO:0010971"
"90","GO:0014855"
"91","GO:0015693"
"92","GO:0016049"
"93","GO:0016601"
"94","GO:0018108"
"95","GO:0018212"
"96","GO:0019068"
"97","GO:0019076"
"98","GO:0019079"
"99","GO:0019184"
"100","GO:0019432"
"101","GO:0021781"
"102","GO:0022602"
"103","GO:0022612"
"104","GO:0030048"
"105","GO:0030157"
"106","GO:0030206"
"107","GO:0030308"
"108","GO:0030316"
"109","GO:0030323"
"110","GO:0030324"
"111","GO:0030501"
"112","GO:0030540"
"113","GO:0030879"
"114","GO:0030903"
"115","GO:0030968"
"116","GO:0030970"
"117","GO:0031055"
"118","GO:0031109"
"119","GO:0031110"
"120","GO:0031111"
"121","GO:0031114"
"122","GO:0031167"
"123","GO:0031290"
"124","GO:0031293"
"125","GO:0031346"
"126","GO:0031349"
"127","GO:0032232"
"128","GO:0032330"
"129","GO:0032332"
"130","GO:0032354"
"131","GO:0032369"
"132","GO:0032370"
"133","GO:0032371"
"134","GO:0032373"
"135","GO:0032374"
"136","GO:0032376"
"137","GO:0032479"
"138","GO:0032480"
"139","GO:0032481"
"140","GO:0032526"
"141","GO:0032527"
"142","GO:0032543"
"143","GO:0032602"
"144","GO:0032606"
"145","GO:0032607"
"146","GO:0032608"
"147","GO:0032637"
"148","GO:0032640"
"149","GO:0032642"
"150","GO:0032647"
"151","GO:0032648"
"152","GO:0032677"
"153","GO:0032680"
"154","GO:0032722"
"155","GO:0032727"
"156","GO:0032728"
"157","GO:0032757"
"158","GO:0032760"
"159","GO:0032886"
"160","GO:0032941"
"161","GO:0032956"
"162","GO:0032970"
"163","GO:0033158"
"164","GO:0033160"
"165","GO:0033209"
"166","GO:0033280"
"167","GO:0033344"
"168","GO:0033598"
"169","GO:0034063"
"170","GO:0034080"
"171","GO:0034103"
"172","GO:0034250"
"173","GO:0034340"
"174","GO:0034377"
"175","GO:0034380"
"176","GO:0034501"
"177","GO:0034508"
"178","GO:0034599"
"179","GO:0034605"
"180","GO:0034612"
"181","GO:0034620"
"182","GO:0034629"
"183","GO:0034698"
"184","GO:0034724"
"185","GO:0034976"
"186","GO:0035855"
"187","GO:0035890"
"188","GO:0035891"
"189","GO:0036035"
"190","GO:0036257"
"191","GO:0036258"
"192","GO:0036293"
"193","GO:0038083"
"194","GO:0039528"
"195","GO:0039529"
"196","GO:0039702"
"197","GO:0042058"
"198","GO:0042059"
"199","GO:0042063"
"200","GO:0042219"
"201","GO:0042255"
"202","GO:0042273"
"203","GO:0042304"
"204","GO:0042307"
"205","GO:0042401"
"206","GO:0042698"
"207","GO:0042990"
"208","GO:0042991"
