"","drugs.i.","a"
"3","AEW541",0.649148812182522
"4","AZD0530",0.50527861994922
"5","AZD6244",0.548673946102536
"6","Erlotinib",0.331083843675268
"7","Irinotecan",0.603853697310835
"8","L-685458",0.816918790450269
"9","Lapatinib",0.228473457368857
"10","LBW242",0.641006409957365
"11","Nilotinib",0.807909393037054
"12","Nutlin-3",0.611207846172663
"13","Paclitaxel",0.202956979943778
"14","Panobinostat",0.529118692347446
"15","PD-0325901",0.537902238371698
"16","PD-0332991",0.468961071923923
"17","PF2341066",0.499646649389792
"18","PHA-665752",0.600030199035283
"19","PLX4720",0.119220029276447
"20","RAF265",0.745727623917801
"21","Sorafenib",0.787392593839917
"22","TAE684",0.477849123081644
"23","TKI258",0.551362688164027
"24","Topotecan",0.501221517956955
"25","X17-AAG",0.212273576446829
"26","ZD-6474",0.250305012096285
