,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.514141223,0.667737451,0.583638869,0.559530284,0.622192575,0.507959733,0.649148812,0.668836228,0.493766073,0.415650405,0.568260165,0.536751144
2,AZD0530,0.576162226,0.504678424,0.593639674,0.648152286,0.430285756,0.697358888,0.50527862,0.430738863,0.69486677,0.671257666,0.575241917,
3,AZD6244,0.266181399,0.382513954,0.244186251,0.340833669,0.285208805,0.152625009,0.548673946,0.372040532,0.199280833,0.532895998,0.33244404,
4,Erlotinib,0.335662052,0.617884096,0.688715714,0.549680972,0.398711706,0.442196632,0.331083844,0.503128428,0.640095145,0.729444484,0.523660307,
5,Irinotecan,0.346982348,0.701056802,0.566503795,0.578381819,0.551812513,0.505495086,0.603853697,0.72776821,0.122785328,0.45161262,0.515625222,
6,L-685458,0.615274053,0.638701878,0.716359141,0.709586025,0.808577809,0.648636819,0.81691879,0.809682448,0.716104216,0.791200503,0.727104168,
7,Lapatinib,0.644339998,0.317160246,0.39740603,0.243438536,0.495143713,0.43570722,0.228473457,0.592863543,0.458264331,0.481901785,0.429469886,
8,LBW242,0.466484681,0.775637339,0.349403921,0.557213951,0.430030674,0.790592489,0.64100641,0.582772847,0.490759761,0.610128004,0.569403008,
9,Nilotinib,0.790621489,0.871397316,0.736455548,0.866834912,0.707882285,0.925933232,0.807909393,0.748913042,0.702749701,0.732304846,0.789100177,
10,Nutlin-3,0.551424066,0.65357286,0.411248116,0.522188819,0.670048363,0.47019658,0.611207846,0.609008085,0.683548915,0.71766614,0.590010979,
11,Paclitaxel,0.351388668,0.411211901,0.373209424,0.547292478,0.515755515,0.452656761,0.20295698,0.236491888,0.38101094,0.366311702,0.383828626,
12,Panobinostat,0.494152598,0.560783131,0.597447449,0.508177747,0.516313353,0.440785436,0.529118692,0.567773469,0.49560837,0.46077787,0.517093812,
13,PD-0325901,0.275305139,0.410237742,0.240987671,0.109783789,0.336419066,0.387606439,0.537902238,0.284333803,0.400336791,0.265688592,0.324860127,
14,PD-0332991,0.795062155,0.598953028,0.762852773,0.778784715,0.805353081,0.789823493,0.468961072,0.908007231,0.733389771,0.806142801,0.744733012,
15,PF2341066,0.729957555,0.755294191,0.512097632,0.605849076,0.556892525,0.392298142,0.499646649,0.484142191,0.598435472,0.724242741,0.585885617,
16,PHA-665752,0.601636857,0.686223761,0.620854036,0.582651668,0.463270214,0.735400471,0.600030199,0.689825881,0.670718016,0.654536737,0.630514784,
17,PLX4720,0.43361862,0.304209899,0.510679253,0.092325037,0.374041241,0.483077858,0.119220029,0.35960931,0.309595257,0.258011487,0.324438799,
18,RAF265,0.66267637,0.666956257,0.729650947,0.54665727,0.709800939,0.789741282,0.745727624,0.733998936,0.712824235,0.696457144,0.6994491,
19,Sorafenib,0.610819787,0.679088722,0.736503872,0.819686466,0.760546449,0.778902936,0.787392594,0.568379393,0.645381327,0.64181058,0.702851213,
20,TAE684,0.603624949,0.755736423,0.489241565,0.594098506,0.421065729,0.408699155,0.477849123,0.677138901,0.523565864,0.719058076,0.567007829,
21,TKI258,0.374827305,0.529177174,0.765507232,0.40389902,0.440075296,0.34423275,0.551362688,0.513029846,0.629278989,0.688205667,0.523959597,
22,Topotecan,0.418963349,0.526030741,0.567451831,0.315328098,0.451116712,-0.010089499,0.501221518,0.477615611,0.532885179,0.602017634,0.438254117,
23,X17-AAG,0.225954602,0.179178502,0.440633685,0.44222228,0.4101525,0.418956435,0.212273576,0.216521026,0.130082972,0.3038742,0.297984978,
24,ZD-6474,0.488150928,0.701056592,0.64738014,0.535391247,0.378032039,0.472393945,0.250305012,0.628153256,0.477570645,0.630025955,0.520845976,
