"","drugs.i.","a"
"3","AEW541",0.556213791516877
"4","AZD0530",0.415665635457173
"5","AZD6244",0.572413184021123
"6","Erlotinib",0.161435340999183
"7","Irinotecan",0.61681276766972
"8","L-685458",0.416850252187467
"9","Lapatinib",0.0898191808133272
"10","LBW242",0.0882225288009166
"11","Nilotinib",0.466716934347807
"12","Nutlin-3",0.629198559182514
"13","Paclitaxel",0.271385583356993
"14","Panobinostat",0.420830763378282
"15","PD-0325901",0.501929696580819
"16","PD-0332991",0.268636762728571
"17","PF2341066",0.583438726264058
"18","PHA-665752",0.241188252476966
"19","PLX4720",0.184105764804968
"20","RAF265",0.376481322644393
"21","Sorafenib",0.748946315812738
"22","TAE684",0.531836782312314
"23","TKI258",0.573389855832487
"24","Topotecan",0.471113854044413
"25","X17-AAG",0.0340818897588471
"26","ZD-6474",-0.0263063516984597
