,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.360794583,0.581994857,0.531466615,0.473938852,0.481093518,0.375013383,0.556213792,0.694486827,0.38128163,0.313570765,0.474985482,0.42344277
2,AZD0530,0.451090325,0.272890497,0.5063213,0.426812586,0.357049683,0.677050052,0.415665635,0.434864838,0.56062216,0.512650853,0.461501793,
3,AZD6244,0.408136819,0.33370067,0.181561471,0.32524994,0.239994982,0.091517241,0.572413184,0.340850612,0.256716038,0.502604002,0.325274496,
4,Erlotinib,0.385321943,0.448344279,0.593097573,0.351573105,0.343315679,0.316641716,0.161435341,0.239410982,0.479918854,0.588122977,0.390718245,
5,Irinotecan,0.5010817,0.519093804,0.49613952,0.629334793,0.748606065,0.568067813,0.616812768,0.760806126,0.229056954,0.452873975,0.552187352,
6,L-685458,0.289999974,0.141144064,0.618429434,0.253415847,0.454394451,0.391248261,0.416850252,0.386918279,0.179872695,0.510687726,0.364296098,
7,Lapatinib,0.635852412,0.281242949,0.335980694,0.245602844,0.340266182,0.327540477,0.089819181,0.539564381,0.364958786,0.405195283,0.356602319,
8,LBW242,0.130277205,0.477793606,0.169112104,0.28284787,0.256890451,0.656262058,0.088222529,0.324479928,0.239949199,0.269210308,0.289504526,
9,Nilotinib,0.590767696,0.621927407,0.321090972,0.456202716,0.444750711,0.421253039,0.466716934,0.460094636,-0.03570255,0.422951634,0.417005319,
10,Nutlin-3,0.361554212,0.672367412,0.449292892,0.473694199,0.682690867,0.540482171,0.629198559,0.650111757,0.645168259,0.733089339,0.583764967,
11,Paclitaxel,0.318854247,0.498189427,0.245002061,0.665616207,0.578007097,0.593526435,0.271385583,0.234591352,0.339312091,0.42374603,0.416823053,
12,Panobinostat,0.295352995,0.381695235,0.469355567,0.434463718,0.511360781,0.219486952,0.420830763,0.394436888,0.30327284,0.528587951,0.395884369,
13,PD-0325901,0.280294994,0.374635973,0.22682596,0.12678507,0.26869559,0.538354519,0.501929697,0.39880515,0.355369997,0.341174469,0.341287142,
14,PD-0332991,0.548411228,0.354736846,0.695240806,0.391977673,0.479016961,0.492207458,0.268636763,0.743903713,0.380500823,0.657508897,0.501214117,
15,PF2341066,0.699852004,0.839921549,0.552750631,0.71319282,0.705859698,0.487420943,0.583438726,0.372121379,0.569423775,0.71993676,0.624391829,
16,PHA-665752,0.34944768,0.590335553,0.21887836,0.534400994,0.443272446,0.551656762,0.241188252,0.5936695,0.51138055,0.492393033,0.452662313,
17,PLX4720,0.379306269,0.270186962,0.381307282,0.164923159,0.326353383,0.461388723,0.184105765,0.258199892,0.269538379,0.176848261,0.287215807,
18,RAF265,0.487056525,0.405156933,0.494430886,0.208504783,0.220948051,0.465097518,0.376481323,0.442616623,0.325918787,0.340614871,0.37668263,
19,Sorafenib,0.138576405,0.454965879,0.500738215,0.600114052,0.351109578,0.524515412,0.748946316,0.26258966,0.154645142,0.311833429,0.404803409,
20,TAE684,0.663543699,0.690080538,0.548889247,0.615481251,0.283932343,0.56455889,0.531836782,0.627097987,0.568198845,0.693692894,0.578731248,
21,TKI258,0.407694759,0.562173594,0.788670018,0.477467779,0.45763181,0.275968303,0.573389856,0.561563368,0.653313875,0.670198519,0.542807188,
22,Topotecan,0.505708661,0.560308922,0.509787281,0.309234821,0.548132185,-0.016476548,0.471113854,0.548313899,0.518956327,0.605482386,0.456056179,
23,X17-AAG,0.31247044,0.285132998,0.323368264,0.41315612,0.150660203,0.418337167,0.03408189,0.263818516,0.292918421,0.329280763,0.282322478,
24,ZD-6474,0.346079065,0.354068332,0.393615767,0.266772885,0.391482361,0.307322082,-0.026306352,0.27293829,0.207917705,0.345151037,0.285904117,
