"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"GO:0000027",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GO:0000060",1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"GO:0000154",1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GO:0000226",0.5,0.5,1,0.5,0.5,0,0.5,1,0.5,0,1,0.5,0.5,1,0,1,0.5,0.5,0.5,0.5,1,1,1,0.5
"GO:0001510",1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0
"GO:0001541",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GO:0001558",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"GO:0001666",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"GO:0001819",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"GO:0001953",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
"GO:0001959",0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0
"GO:0001960",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GO:0001961",1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"GO:0002230",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
"GO:0002573",0.5,0.5,1,0.5,0.5,0,0.5,1,0.5,0.5,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5
"GO:0002676",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GO:0002753",1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"GO:0002791",1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0
"GO:0002793",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GO:0002831",1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
"GO:0002863",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GO:0002922",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GO:0003012",0.5,1,0,1,1,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GO:0003148",0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
"GO:0003151",0.5,0,0.5,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0
"GO:0003208",0.5,0,0.5,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,0.5,1,0,0,0.5,0.5,0.5,0.5,0
"GO:0003229",0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0
"GO:0003281",1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
"GO:0006213",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"GO:0006336",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0006513",1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1
