"","pathways","Freq"
"1","hsa00532",1
"2","hsa00562",1
"3","hsa00565",1
"4","hsa01521",2
"5","hsa01524",2
"6","hsa03050",1
"7","hsa03450",1
"8","hsa04010",3
"9","hsa04014",1
"10","hsa04015",1
"11","hsa04020",1
"12","hsa04022",1
"13","hsa04024",2
"14","hsa04062",1
"15","hsa04066",1
"16","hsa04068",1
"17","hsa04070",1
"18","hsa04071",1
"19","hsa04072",1
"20","hsa04110",3
"21","hsa04114",1
"22","hsa04115",2
"23","hsa04120",2
"24","hsa04142",1
"25","hsa04144",2
"26","hsa04150",1
"27","hsa04151",3
"28","hsa04210",1
"29","hsa04218",2
"30","hsa04260",2
"31","hsa04261",2
"32","hsa04270",1
"33","hsa04310",2
"34","hsa04370",1
"35","hsa04371",1
"36","hsa04380",2
"37","hsa04390",2
"38","hsa04510",2
"39","hsa04520",1
"40","hsa04550",2
"41","hsa04621",3
"42","hsa04622",1
"43","hsa04623",1
"44","hsa04625",3
"45","hsa04630",1
"46","hsa04650",2
"47","hsa04657",1
"48","hsa04658",1
"49","hsa04659",2
"50","hsa04660",3
"51","hsa04662",2
"52","hsa04664",1
"53","hsa04666",1
"54","hsa04722",2
"55","hsa04725",1
"56","hsa04728",1
"57","hsa04750",1
"58","hsa04810",4
"59","hsa04910",2
"60","hsa04914",1
"61","hsa04916",1
"62","hsa04919",2
"63","hsa04921",1
"64","hsa04926",2
"65","hsa04928",1
"66","hsa04931",2
"67","hsa04934",1
"68","hsa04940",1
"69","hsa05016",1
"70","hsa05142",2
"71","hsa05145",1
"72","hsa05152",1
"73","hsa05160",2
"74","hsa05161",5
"75","hsa05162",2
"76","hsa05163",3
"77","hsa05164",2
"78","hsa05165",2
"79","hsa05166",3
"80","hsa05167",2
"81","hsa05168",2
"82","hsa05169",1
"83","hsa05203",1
"84","hsa05205",1
"85","hsa05206",1
"86","hsa05211",1
"87","hsa05212",3
"88","hsa05213",1
"89","hsa05214",3
"90","hsa05215",1
"91","hsa05218",3
"92","hsa05220",2
"93","hsa05222",1
"94","hsa05223",1
"95","hsa05224",3
"96","hsa05225",3
"97","hsa05226",3
"98","hsa05340",1
"99","hsa05410",2
"100","hsa05412",1
"101","hsa05414",2
"102","hsa05418",1
