"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"17-AAG",1,0.492400797440779,0.453464278895822,0.508008209368393,0.492400797440779,0.481734793809709,0.427141091830442,0.453464278895822,0.508008209368393,0.514642531776978,0.453464278895822,0.64009234422679,0.39128611768432,0.453464278895822,0.654613123580687,0.453464278895822,0.508008209368393,0.539609045212406,0.637842865352106,0.678502444370998,0.453464278895822,0.453464278895822,0.453464278895822,0.539609045212406
"AEW541",0.492400797440779,1,0.416488540705301,0.447508424536522,1,0.411567524682039,0.479948495775526,0.416488540705301,0.447508424536522,0.632060546835983,0.416488540705301,0.613317460745861,0.50306114412759,0.416488540705301,0.585793883736715,0.416488540705301,0.447508424536522,0.579349006963318,0.604898147158182,0.529922431353213,0.416488540705301,0.416488540705301,0.416488540705301,0.579349006963318
"AZD0530",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"AZD6244",0.508008209368393,0.447508424536522,0.411381528218074,1,0.447508424536522,0.456246709740709,0.625694395424547,0.411381528218074,1,0.555310600131384,0.411381528218074,0.473030220609789,0.55985162587683,0.411381528218074,0.48242814517422,0.411381528218074,1,0.585334950755492,0.46422610302626,0.430827034592698,0.411381528218074,0.411381528218074,0.411381528218074,0.585334950755492
"Erlotinib",0.492400797440779,1,0.416488540705301,0.447508424536522,1,0.411567524682039,0.479948495775526,0.416488540705301,0.447508424536522,0.632060546835983,0.416488540705301,0.613317460745861,0.50306114412759,0.416488540705301,0.585793883736715,0.416488540705301,0.447508424536522,0.579349006963318,0.604898147158182,0.529922431353213,0.416488540705301,0.416488540705301,0.416488540705301,0.579349006963318
"Irinotecan",0.481734793809709,0.411567524682039,0.529289431417507,0.456246709740709,0.411567524682039,1,0.515510997617576,0.529289431417507,0.456246709740709,0.438274985203411,0.529289431417507,0.515089364349928,0.4835346109296,0.529289431417507,0.442211017832877,0.529289431417507,0.456246709740709,0.5325017712523,0.511190018990588,0.508864624839589,0.529289431417507,0.529289431417507,0.529289431417507,0.5325017712523
"L-685458",0.427141091830442,0.479948495775526,0.375911331038025,0.625694395424547,0.479948495775526,0.515510997617576,1,0.375911331038025,0.625694395424547,0.540426747298006,0.375911331038025,0.485499296522358,0.553207596091393,0.375911331038025,0.5078269354338,0.375911331038025,0.625694395424547,0.591032838815607,0.479999825337163,0.431809868190697,0.375911331038025,0.375911331038025,0.375911331038025,0.591032838815607
"Lapatinib",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"LBW242",0.508008209368393,0.447508424536522,0.411381528218074,1,0.447508424536522,0.456246709740709,0.625694395424547,0.411381528218074,1,0.555310600131384,0.411381528218074,0.473030220609789,0.55985162587683,0.411381528218074,0.48242814517422,0.411381528218074,1,0.585334950755492,0.46422610302626,0.430827034592698,0.411381528218074,0.411381528218074,0.411381528218074,0.585334950755492
"Nilotinib",0.514642531776978,0.632060546835983,0.363689170454907,0.555310600131384,0.632060546835983,0.438274985203411,0.540426747298006,0.363689170454907,0.555310600131384,1,0.363689170454907,0.626195881302397,0.546380285265736,0.363689170454907,0.571566439721403,0.363689170454907,0.555310600131384,0.606454911329574,0.633619536762334,0.508893532329536,0.363689170454907,0.363689170454907,0.363689170454907,0.606454911329574
"Nutlin-3",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"Paclitaxel",0.64009234422679,0.613317460745861,0.42854727805281,0.473030220609789,0.613317460745861,0.515089364349928,0.485499296522358,0.42854727805281,0.473030220609789,0.626195881302397,0.42854727805281,1,0.462869473258558,0.42854727805281,0.635378145015976,0.42854727805281,0.473030220609789,0.490061247853879,0.618724993549005,0.633574373581693,0.42854727805281,0.42854727805281,0.42854727805281,0.490061247853879
"Panobinostat",0.39128611768432,0.50306114412759,0.391191096520438,0.55985162587683,0.50306114412759,0.4835346109296,0.553207596091393,0.391191096520438,0.55985162587683,0.546380285265736,0.391191096520438,0.462869473258558,1,0.391191096520438,0.409391719425703,0.391191096520438,0.55985162587683,0.634198029700948,0.53508370043235,0.384915550553578,0.391191096520438,0.391191096520438,0.391191096520438,0.634198029700948
"PD-0325901",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"PD-0332991",0.654613123580687,0.585793883736715,0.403463131635694,0.48242814517422,0.585793883736715,0.442211017832877,0.5078269354338,0.403463131635694,0.48242814517422,0.571566439721403,0.403463131635694,0.635378145015976,0.409391719425703,0.403463131635694,1,0.403463131635694,0.48242814517422,0.536658689889864,0.568102661757802,0.695172257647464,0.403463131635694,0.403463131635694,0.403463131635694,0.536658689889864
"PF2341066",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"PHA-665752",0.508008209368393,0.447508424536522,0.411381528218074,1,0.447508424536522,0.456246709740709,0.625694395424547,0.411381528218074,1,0.555310600131384,0.411381528218074,0.473030220609789,0.55985162587683,0.411381528218074,0.48242814517422,0.411381528218074,1,0.585334950755492,0.46422610302626,0.430827034592698,0.411381528218074,0.411381528218074,0.411381528218074,0.585334950755492
"PLX4720",0.539609045212406,0.579349006963318,0.409663710295659,0.585334950755492,0.579349006963318,0.5325017712523,0.591032838815607,0.409663710295659,0.585334950755492,0.606454911329574,0.409663710295659,0.490061247853879,0.634198029700948,0.409663710295659,0.536658689889864,0.409663710295659,0.585334950755492,1,0.546818918934612,0.488273890027526,0.409663710295659,0.409663710295659,0.409663710295659,1
"RAF265",0.637842865352106,0.604898147158182,0.431038955320467,0.46422610302626,0.604898147158182,0.511190018990588,0.479999825337163,0.431038955320467,0.46422610302626,0.633619536762334,0.431038955320467,0.618724993549005,0.53508370043235,0.431038955320467,0.568102661757802,0.431038955320467,0.46422610302626,0.546818918934612,1,0.572774534830029,0.431038955320467,0.431038955320467,0.431038955320467,0.546818918934612
"Sorafenib",0.678502444370998,0.529922431353213,0.395462600765794,0.430827034592698,0.529922431353213,0.508864624839589,0.431809868190697,0.395462600765794,0.430827034592698,0.508893532329536,0.395462600765794,0.633574373581693,0.384915550553578,0.395462600765794,0.695172257647464,0.395462600765794,0.430827034592698,0.488273890027526,0.572774534830029,1,0.395462600765794,0.395462600765794,0.395462600765794,0.488273890027526
"TAE684",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"TKI258",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"Topotecan",0.453464278895822,0.416488540705301,1,0.411381528218074,0.416488540705301,0.529289431417507,0.375911331038025,1,0.411381528218074,0.363689170454907,1,0.42854727805281,0.391191096520438,1,0.403463131635694,1,0.411381528218074,0.409663710295659,0.431038955320467,0.395462600765794,1,1,1,0.409663710295659
"ZD-6474",0.539609045212406,0.579349006963318,0.409663710295659,0.585334950755492,0.579349006963318,0.5325017712523,0.591032838815607,0.409663710295659,0.585334950755492,0.606454911329574,0.409663710295659,0.490061247853879,0.634198029700948,0.409663710295659,0.536658689889864,0.409663710295659,0.585334950755492,1,0.546818918934612,0.488273890027526,0.409663710295659,0.409663710295659,0.409663710295659,1
