From	To
51012_at	219348
8778_at	855803
4943_at	852953
996_at	2246
5119_at	852754
7140_at	852531
8846_at	855729
8479_at	854263
58480_at	100505483
5322_at	850581
10737_at	853654
4317_at	856611
6650_at	851384
149685_at	41369
5272_at	852610
10471_at	853967
5036_at	852858
9373_at	855274
54700_at	729082
10936_at	853560
683_at	5009
6345_at	851733
60528_at	100137049
116832_at	228730
5618_at	856823
55801_at	129049
10964_at	853543
64327_at	3613
7485_at	852173
8543_at	854190
1536_at	990
154313_at	32769
8988_at	855588
57597_at	197322
64411_at	127829
9526_at	855157
161003_at	16569
6007_at	852057
5768_at	856691
147081_at	36341
54926_at	203286
81839_at	10891
163227_at	68957
94122_at	17926
10285_at	850720
5326_at	850587
1649_at	54498
7738_at	856142
166379_at	27222
9107_at	855479
7401_at	852229
8446_at	854276
8801_at	855779
57151_at	10123
835_at	11333
9073_at	855491
4217_at	854667
9338_at	855333
10143_at	850902
55466_at	83982
6666_at	851330
6228_at	851856
9135_at	855462
56155_at	89122
7305_at	852373
988_at	634
9038_at	855547
145873_at	10178891
7802_at	856066
57704_at	283643
10351_at	850624
9513_at	855143
8330_at	854394
149175_at	40363
140881_at	74326
7768_at	856077
55200_at	83856
84530_at	645513
4548_at	856372
5784_at	856659
84138_at	101929512
64094_at	23095
4361_at	856561
5626_at	856831
84064_at	7381
146057_at	34220
770_at	2878
3082_at	853529
6868_at	850399
83595_at	55296
10235_at	850807
740_at	3359
93643_at	16876
9158_at	855440
51237_at	1317
4856_at	853059
81931_at	155382
10681_at	853758
55829_at	92935
11127_at	853320
55638_at	7994
9842_at	1466422
8317_at	854424
4115_at	854805
55814_at	26297
9768_at	854922
115024_at	320720
51692_at	54956
5996_at	852093
8360_at	854377
10212_at	850829
5018_at	852884
9467_at	855188
51164_at	100529261
4883_at	853037
4717_at	853204
9388_at	855291
63973_at	10938
55631_at	54497
5077_at	852805
5239_at	852621
149466_at	40938
10171_at	850832
90161_at	57393
6542_at	851503
1347_at	994
254228_at	828462
89778_at	84153
153768_at	35326
51104_at	285958
134145_at	16199
5160_at	852749
150291_at	42487
51138_at	55384
6631_at	851411
11147_at	853295
260425_at	843576
7453_at	852190
5571_at	856868
9655_at	854999
4808_at	853112
727_at	64743
2519_at	1466439
246330_at	823457
112942_at	327744
152831_at	43852
7266_at	852385
10570_at	853876
598_at	1280
64061_at	64771
4144_at	854785
4488_at	856457
7356_at	852278
51142_at	116843
655_at	2798
10667_at	853788
168374_at	13356
8927_at	855664
462_at	4781
116173_at	106639
9762_at	854916
84740_at	149297
5947_at	852135
65217_at	100134445
116_at	5576
85463_at	84820
11216_at	853219
10162_at	850878
93624_at	75750
4956_at	852915
6383_at	851680
1539_at	4893
79871_at	26058
11184_at	853287
162417_at	68971
7189_at	852486
55653_at	54545
257177_at	821930
5352_at	850562
4507_at	856428
55902_at	775
10507_at	853957
54539_at	79747
10194_at	850812
138065_at	16975
5424_at	850488
55959_at	64788
89872_at	55051
7201_at	852452
1745_at	5979
8346_at	854362
6310_at	851742
9354_at	855302
144097_at	44110
55074_at	55228
51299_at	387895
150381_at	42665
112970_at	21763
10544_at	853898
6118_at	851932
84152_at	102724328
8824_at	855755
6883_at	850361
79828_at	50717
57495_at	59348
92949_at	23969
55211_at	100287015
1385_at	7045
6647_at	851381
83893_at	91056
7070_at	852600
150577_at	43054
7932_at	855919
54517_at	2847
8470_at	854255
2013_at	7029
4060_at	854842
245711_at	830313
150000_at	41964
55704_at	7756
255654_at	827936
79758_at	1129
5020_at	852886
4185_at	854731
150678_at	43214
7342_at	852317
51132_at	83933
7156_at	852499
2074_at	2702
10421_at	853975
4481_at	856448
9648_at	854992
84735_at	22907
4542_at	856366
6271_at	851800
55629_at	80818
220108_at	9630
55000_at	254251
60592_at	55670
1488_at	5796
6819_at	850441
8687_at	854018
80341_at	55997
5553_at	856904
55592_at	7976
253461_at	829349
64403_at	89932
8890_at	855727
9402_at	855260
79596_at	780776
10895_at	853612
4091_at	854827
11219_at	853223
57547_at	79735
163115_at	80890
140831_at	73571
151534_at	31456
51479_at	641364
9857_at	851174
11188_at	853292
55611_at	3609
10573_at	853880
54536_at	79969
81493_at	6670
53344_at	79839
9488_at	855166
1428_at	7068
8817_at	855795
1447_at	5689
153478_at	34505
57634_at	388536
146862_at	35916
55584_at	4076
81627_at	84102
9672_at	854972
6492_at	851547
6692_at	851310
220213_at	128553
4775_at	853124
1005_at	1843
1138_at	6574
824_at	9446
10654_at	853777
6504_at	851513
55009_at	84792
10914_at	853585
8539_at	854186
7710_at	856158
84679_at	113612
10493_at	853942
55650_at	10186
4191_at	854737
84973_at	100130086
114880_at	67153
1793_at	8621
83608_at	474354
112950_at	381126
80031_at	102546299
1992_at	2272
85407_at	7746
328_at	168374
166378_at	328845
4163_at	854757
9370_at	855319
60485_at	84919
417_at	5581
112703_at	386655
79613_at	400926
9074_at	855492
153443_at	42590
2205_at	852919
9023_at	855577
56980_at	79956
6406_at	851655
149775_at	41528
115111_at	80287
10051_at	850998
90321_at	10047
64386_at	54878
6240_at	851815
64921_at	55181
57718_at	84168
9626_at	855016
7818_at	856034
430_at	4860
694_at	727897
7066_at	852596
89970_at	100507599
80757_at	349152
4946_at	852956
79412_at	55766
8726_at	854011
1317_at	4486
255738_at	839144
7940_at	855928
929_at	5465
55671_at	29109
9887_at	851160
7439_at	852222
55504_at	83540
7783_at	856092
7769_at	856078
1939_at	7157
9454_at	855222
4239_at	854643
9496_at	855173
6629_at	851409
90416_at	28
9861_at	851180
1134_at	10188
10903_at	853574
5146_at	852734
9465_at	855186
55269_at	55108
6539_at	851500
54212_at	2103
259197_at	821193
54039_at	152404
10651_at	853774
5581_at	856884
10482_at	853976
57212_at	120
57038_at	10093
160364_at	20462
167_at	1983
10243_at	850768
56413_at	9589
6480_at	851582
56647_at	127829
4716_at	853203
79652_at	27437
149465_at	40931
5684_at	856751
9325_at	855365
144486_at	31401
57536_at	646405
57701_at	6335
85289_at	54965
1869_at	7015
135935_at	73458
81628_at	57085
5093_at	852774
5962_at	852104
84957_at	3931
1850_at	4292
81792_at	55219
91181_at	79868
1059_at	4916
5820_at	3799972
54855_at	84277
63982_at	5819
92344_at	20585
84464_at	154214
8454_at	854284
152024_at	31517
5069_at	852798
9985_at	851075
163259_at	100504687
10343_at	850687
112399_at	382034
130749_at	216154
57722_at	64282
10717_at	853700
64769_at	8797
219743_at	23493
8320_at	854384
79624_at	79834
6670_at	851334
246_at	3816
149095_at	40204
9749_at	854878
9984_at	851074
9637_at	855029
57062_at	9141
64943_at	64753
1995_at	7507
90070_at	252995
8038_at	855818
148824_at	39719
9208_at	855394
6580_at	851452
920_at	4820
54059_at	55691
55998_at	8153
10164_at	850880
64110_at	8085
11332_at	851274
93183_at	228812
79866_at	100289410
50863_at	222256
6125_at	851939
6756_at	850384
6924_at	850305
94101_at	109889
146433_at	35090
6356_at	851699
259266_at	821219
10265_at	850745
9911_at	851139
3038_at	853661
7918_at	855951
11309_at	1466534
1123_at	2692
78997_at	115294
5586_at	856889
147463_at	37161
10780_at	853652
58517_at	100507242
83697_at	10777
9344_at	855339
2696_at	854000
56128_at	55125
8021_at	855854
4848_at	853051
1816_at	5922
9702_at	854950
4829_at	853085
11069_at	853406
56938_at	9353
147646_at	37501
9618_at	855056
11254_at	853237
5932_at	851652
191585_at	192081
6017_at	852069
10761_at	853630
11113_at	853356
4065_at	854847
80228_at	101927391
10058_at	850958
154089_at	33389
6865_at	850396
54478_at	122945
5370_at	850530
7157_at	852501
9481_at	855205
9185_at	855416
6699_at	851318
8237_at	854479
89792_at	6242
254394_at	828250
64211_at	25917
115207_at	213452
1235_at	7534
5746_at	856718
55226_at	55521
192669_at	184829
613_at	3852
91775_at	8525
1386_at	5780
10276_at	850756
55750_at	4298
152006_at	38688
55017_at	149175
84230_at	57396
7762_at	856119
101_at	8798
260436_at	843142
84722_at	6543
1652_at	11040
4058_at	854840
91010_at	497259
90956_at	118932
90529_at	100506047
5023_at	852889
10201_at	850818
51023_at	440905
145264_at	32767
7341_at	852316
5007_at	852874
8839_at	855772
115330_at	319929
4867_at	853020
4081_at	854816
8924_at	855661
222584_at	55154
2588_at	854519
83541_at	55252
9778_at	854931
83656_at	79807
8854_at	855739
5695_at	856763
58483_at	100049716
7798_at	856062
2051_at	4255
11321_at	851261
113277_at	65247
6913_at	850345
4957_at	852918
91452_at	9570
64434_at	54989
59343_at	51230
84295_at	162962
1277_at	27237
10950_at	853529
55075_at	81
91754_at	573
57343_at	138255
11260_at	853218
7546_at	856324
245932_at	830788
7251_at	852412
85437_at	53904
4774_at	853123
57223_at	10008
9179_at	855411
79666_at	9532
79917_at	23216
10746_at	853681
10913_at	853584
84766_at	64708
91461_at	115704
146802_at	35808
7216_at	852422
563_at	3593
51701_at	10367
115_at	7057
6603_at	851430
7110_at	852547
8292_at	854445
84284_at	5156
10882_at	853598
84275_at	56172
201725_at	8872
6839_at	850418
4440_at	856502
148789_at	3772382
8318_at	854425
11174_at	853275
8312_at	854420
11189_at	853292
5368_at	850528
5273_at	852611
57678_at	91695
92370_at	56795
1783_at	54453
8028_at	855861
9908_at	851135
8997_at	855598
55544_at	284680
10690_at	853767
200035_at	23399
57107_at	57446
8195_at	854533
8688_at	854019
256126_at	838385
57555_at	650655
9310_at	855350
83869_at	112724
6899_at	850324
773_at	4629
64108_at	131118
8345_at	854361
7127_at	852518
54502_at	5791
11319_at	851260
51085_at	57118
55718_at	55761
65985_at	6120
7443_at	852180
54897_at	4133
146723_at	5740660
7638_at	856222
11096_at	853385
202500_at	3300
11128_at	853322
55892_at	7762
7690_at	856183
167691_at	58800
5147_at	852735
51052_at	23353
54518_at	137682
10735_at	853720
55937_at	3737
92659_at	56508
9731_at	854934
145978_at	34054
6578_at	851450
5973_at	852115
7543_at	856321
57719_at	55182
9975_at	851065
153241_at	40273
63974_at	23245
56999_at	84419
57035_at	9019
80210_at	4137
84657_at	651302
6876_at	850353
7086_at	852571
5162_at	852702
115752_at	226151
55028_at	89891
10097_at	850951
1185_at	3563
9133_at	855460
8654_at	854064
7407_at	852235
245972_at	832191
79755_at	101928550
54801_at	51239
10699_at	853729
