,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,Lapatinib,LBW242,Nilotinib,Nutlin-3,Paclitaxel,Panobinostat,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
hsa00532,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,1,1,1,0
hsa00562,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
hsa00565,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa04810,4,3,4,5,3,3,3,4,5,2,4,4,4,4,2,4,5,2,2,2,4,4,4,2
hsa01524,2,2,2,1,2,0,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2
hsa03050,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa03450,1,3,2,0,3,1,2,2,0,1,2,2,1,2,1,2,0,2,2,1,2,2,2,2
hsa03460,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,2,1,1,1,0
hsa04014,1,4,3,3,4,2,3,3,3,1,3,3,2,3,2,3,3,2,3,1,3,3,3,2
hsa04150,1,4,2,3,4,3,1,2,3,2,2,2,4,2,1,2,3,1,2,0,2,2,2,1
hsa04015,1,3,3,3,3,2,2,3,3,1,3,3,2,3,2,3,3,3,3,2,3,3,3,3
hsa04020,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
hsa04022,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa04024,2,2,1,1,2,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0
hsa04060,1,2,2,1,2,3,3,2,1,2,2,2,2,2,2,2,1,2,1,3,2,2,2,2
hsa04062,1,2,1,1,2,2,1,1,1,1,1,0,2,1,0,1,1,1,1,0,1,1,1,1
hsa04066,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0
hsa04068,1,1,2,1,1,3,2,2,1,3,2,2,2,2,1,2,1,0,1,1,2,2,2,0
hsa04070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
hsa04071,1,2,2,2,2,1,1,2,2,1,2,1,1,2,0,2,2,0,1,2,2,2,2,0
hsa04072,1,2,2,1,2,2,2,2,1,2,2,1,3,2,1,2,1,1,1,1,2,2,2,1
hsa04110,3,2,2,1,2,0,2,2,1,4,2,2,0,2,1,2,1,2,1,3,2,2,2,2
hsa04114,2,1,1,2,1,0,1,1,2,2,1,1,0,1,0,1,2,1,0,1,1,1,1,1
hsa04115,2,2,2,2,2,1,3,2,2,3,2,2,0,2,4,2,2,1,3,2,2,2,2,1
hsa04120,2,1,1,1,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
hsa04142,1,1,0,1,1,0,1,0,1,1,0,2,1,0,1,0,1,1,1,2,0,0,0,1
hsa04144,2,3,3,0,3,3,1,3,0,3,3,2,3,3,1,3,0,2,2,4,3,3,3,2
hsa04151,2,4,3,4,4,5,7,3,4,4,3,4,4,3,4,3,4,5,5,3,3,3,3,5
hsa04390,2,4,1,5,4,1,1,1,5,3,1,2,2,1,2,1,5,3,3,1,1,1,1,3
hsa04210,1,3,2,2,3,0,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
hsa04218,2,2,2,1,2,0,1,2,1,5,2,2,2,2,1,2,1,2,3,1,2,2,2,2
hsa04260,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
hsa04261,2,1,1,2,1,3,1,1,2,1,1,1,1,1,0,1,2,1,0,0,1,1,1,1
hsa04270,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
hsa04310,2,0,0,2,0,1,0,0,2,2,0,2,1,0,0,0,2,2,2,1,0,0,0,2
hsa04370,1,1,2,3,1,2,0,2,3,1,2,1,1,2,1,2,3,0,1,0,2,2,2,0
hsa04371,1,1,1,1,1,2,0,1,1,2,1,0,1,1,1,1,1,2,1,1,1,1,1,2
hsa04380,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1
hsa04510,2,4,3,2,4,3,3,3,2,4,3,4,4,3,3,3,2,2,2,1,3,3,3,2
hsa04550,2,4,3,3,4,2,3,3,3,2,3,3,3,3,1,3,3,4,2,2,3,3,3,4
hsa04520,1,0,2,0,0,3,1,2,0,1,2,1,1,2,1,2,0,2,2,1,2,2,2,2
hsa04621,3,4,2,3,4,3,2,2,3,2,2,3,4,2,3,2,3,1,3,2,2,2,2,1
hsa05161,5,4,3,4,4,4,2,3,4,4,3,4,3,3,3,3,4,2,4,4,3,3,3,2
hsa04622,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
hsa04623,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
hsa04625,3,2,3,2,2,3,0,3,2,1,3,1,0,3,1,3,2,0,2,1,3,3,3,0
hsa04630,1,2,2,2,2,3,2,2,2,3,2,1,3,2,2,2,2,1,2,1,2,2,2,1
hsa04650,2,1,2,2,1,1,1,2,2,2,2,0,2,2,0,2,2,0,1,0,2,2,2,0
hsa04657,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
hsa04658,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2
hsa04659,2,2,3,2,2,1,2,3,2,3,3,2,2,3,2,3,2,3,2,2,3,3,3,3
hsa04660,3,2,3,2,2,2,2,3,2,4,3,1,4,3,0,3,2,1,1,2,3,3,3,1
hsa04662,2,0,2,2,0,2,1,2,2,2,2,1,2,2,1,2,2,0,1,1,2,2,2,0
hsa04664,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1
hsa04666,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0
hsa04722,2,2,3,0,2,1,1,3,0,3,3,1,3,3,1,3,0,1,2,0,3,3,3,1
hsa04725,1,1,2,1,1,2,1,2,1,0,2,1,0,2,1,2,1,1,1,0,2,2,2,1
hsa04728,1,1,1,2,1,3,2,1,2,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1
hsa04750,1,1,2,1,1,1,1,2,1,1,2,1,1,2,0,2,1,2,1,2,2,2,2,2
hsa04910,1,0,4,2,0,0,1,4,2,1,4,1,1,4,0,4,2,0,0,0,4,4,4,0
hsa05214,3,3,4,2,3,2,3,4,2,4,4,3,3,4,3,4,2,1,1,2,4,4,4,1
hsa04914,2,1,2,1,1,0,1,2,1,2,2,1,1,2,1,2,1,2,0,2,2,2,2,2
hsa04916,1,1,2,2,1,2,0,2,2,0,2,1,1,2,0,2,2,1,0,0,2,2,2,1
hsa04919,2,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1
hsa04921,1,2,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
hsa04926,2,2,2,1,2,3,2,2,1,2,2,2,1,2,1,2,1,1,1,0,2,2,2,1
hsa04928,1,1,0,1,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
hsa04931,2,0,1,2,0,3,0,1,2,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0
hsa04934,1,0,0,1,0,1,1,0,1,1,0,2,1,0,1,0,1,1,0,1,0,0,0,1
hsa04940,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1
hsa05016,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
hsa05142,2,1,1,2,1,1,1,1,2,2,1,0,1,1,0,1,2,0,1,0,1,1,1,0
hsa05145,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2
hsa05152,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0
hsa05160,2,3,2,2,3,2,3,2,2,2,2,2,4,2,2,2,2,1,3,2,2,2,2,1
hsa05205,1,4,1,1,4,2,2,1,1,2,1,1,3,1,1,1,1,2,2,1,1,1,1,2
hsa05162,2,3,1,0,3,3,2,1,0,2,1,1,1,1,2,1,0,1,2,1,1,1,1,1
hsa05164,2,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,3,2,1,1,1,1
hsa05165,2,3,2,3,3,3,4,2,3,2,2,4,3,2,3,2,3,4,3,2,2,2,2,4
hsa05166,3,3,1,4,3,3,3,1,4,4,1,3,2,1,3,1,4,4,4,2,1,1,1,4
hsa05167,2,2,2,3,2,1,1,2,3,3,2,3,1,2,2,2,3,2,4,4,2,2,2,2
hsa05168,2,2,1,2,2,3,3,1,2,1,1,2,2,1,2,1,2,2,4,2,1,1,1,2
hsa05203,1,0,1,1,0,2,2,1,1,2,1,1,0,1,2,1,1,2,2,1,1,1,1,2
hsa05224,3,4,2,4,4,3,4,2,4,4,2,5,4,2,4,2,4,4,2,2,2,2,2,4
hsa05206,1,0,1,1,0,0,0,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1
hsa05211,1,3,2,2,3,1,2,2,2,3,2,2,4,2,1,2,2,1,0,1,2,2,2,1
hsa05212,3,2,3,2,2,2,1,3,2,4,3,3,2,3,2,3,2,3,2,2,3,3,3,3
hsa05213,1,2,3,2,2,0,2,3,2,2,3,2,3,3,1,3,2,1,1,1,3,3,3,1
hsa05215,1,2,4,2,2,3,3,4,2,4,4,2,5,4,1,4,2,1,1,1,4,4,4,1
hsa01522,0,1,4,1,1,3,2,4,1,2,4,0,3,4,2,4,1,0,0,0,4,4,4,0
hsa05218,3,2,3,3,2,1,2,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3
hsa05220,2,3,3,2,3,1,3,3,2,3,3,2,3,3,3,3,2,1,0,1,3,3,3,1
hsa05222,1,1,1,0,1,0,0,1,0,2,1,1,1,1,1,1,0,2,0,1,1,1,1,2
hsa05223,1,1,2,1,1,1,1,2,1,2,2,2,3,2,1,2,1,1,0,1,2,2,2,1
hsa01521,2,2,5,2,2,3,3,5,2,4,5,2,5,5,2,5,2,2,0,2,5,5,5,2
hsa05225,3,3,1,2,3,2,3,1,2,4,1,3,4,1,2,1,2,2,2,3,1,1,1,2
hsa05226,3,3,2,5,3,1,2,2,5,4,2,1,5,2,3,2,5,1,3,1,2,2,2,1
hsa05340,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
hsa05410,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
hsa05412,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
hsa05414,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
hsa05418,1,2,2,0,2,1,0,2,0,0,2,0,0,2,1,2,0,0,0,0,2,2,2,0
hsa00280,0,1,1,1,1,0,0,1,1,0,1,1,0,1,2,1,1,1,0,0,1,1,1,1
hsa00330,0,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2
hsa00480,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1
hsa00531,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
hsa00563,0,1,1,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,2,1,1,1,1
hsa00601,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0
hsa00830,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa04012,0,3,5,3,3,3,2,5,3,3,5,3,3,5,1,5,3,1,0,1,5,5,5,1
hsa01523,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0
hsa03022,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
hsa04010,3,7,7,6,7,3,5,7,6,6,7,5,4,7,4,7,6,5,3,4,7,7,7,5
hsa04140,0,1,2,2,1,0,0,2,2,1,2,0,1,2,0,2,2,0,0,0,2,2,2,0
hsa04217,0,1,0,1,1,0,0,0,1,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0
hsa04340,0,1,0,2,1,0,1,0,2,1,0,1,2,0,2,0,2,1,1,1,0,0,0,1
hsa04360,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0
hsa04514,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
hsa04611,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0
hsa04620,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1
hsa04668,0,1,1,1,1,2,1,1,1,2,1,0,2,1,2,1,1,1,1,0,1,1,1,1
hsa04713,0,1,1,1,1,2,1,1,1,0,1,0,0,1,0,1,1,2,1,0,1,1,1,2
hsa04723,0,1,1,0,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
hsa04726,0,1,1,1,1,3,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
hsa04912,0,1,2,1,1,2,0,2,1,1,2,0,0,2,1,2,1,0,1,0,2,2,2,0
