"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"17-AAG",1,0.699168269229189,0.570493576012635,0.672917984969465,0.699168269229189,0.4392400101027,0.611213817399674,0.570493576012635,0.672917984969465,0.704395703853598,0.570493576012635,0.72083793810861,0.615154702453215,0.570493576012635,0.617833838600471,0.570493576012635,0.672917984969465,0.557309173364712,0.60364797316922,0.640725948692322,0.570493576012635,0.570493576012635,0.570493576012635,0.557309173364712
"AEW541",0.699168269229189,1,0.672028142349438,0.735256873098971,1,0.524988311816805,0.734498689702484,0.672028142349438,0.735256873098971,0.734307402192778,0.672028142349438,0.781238932428842,0.748395770910692,0.672028142349438,0.720771891555831,0.672028142349438,0.735256873098971,0.658742757523635,0.674616716349116,0.622347576501047,0.672028142349438,0.672028142349438,0.672028142349438,0.658742757523635
"AZD0530",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"AZD6244",0.672917984969465,0.735256873098971,0.623356124224535,1,0.735256873098971,0.469804030416564,0.62920516681604,0.623356124224535,1,0.65044157240468,0.623356124224535,0.728060809257137,0.645781099329,0.623356124224535,0.676037113944734,0.623356124224535,1,0.573688097232791,0.617979970221618,0.521970450576847,0.623356124224535,0.623356124224535,0.623356124224535,0.573688097232791
"Erlotinib",0.699168269229189,1,0.672028142349438,0.735256873098971,1,0.524988311816805,0.734498689702484,0.672028142349438,0.735256873098971,0.734307402192778,0.672028142349438,0.781238932428842,0.748395770910692,0.672028142349438,0.720771891555831,0.672028142349438,0.735256873098971,0.658742757523635,0.674616716349116,0.622347576501047,0.672028142349438,0.672028142349438,0.672028142349438,0.658742757523635
"Irinotecan",0.4392400101027,0.524988311816805,0.449217541949756,0.469804030416564,0.524988311816805,1,0.522583897964499,0.449217541949756,0.469804030416564,0.432285810997056,0.449217541949756,0.465137373096849,0.458803757758966,0.449217541949756,0.486904265313589,0.449217541949756,0.469804030416564,0.368253184276192,0.462082212452047,0.34193723413046,0.449217541949756,0.449217541949756,0.449217541949756,0.368253184276192
"L-685458",0.611213817399674,0.734498689702484,0.576351842362589,0.62920516681604,0.734498689702484,0.522583897964499,1,0.576351842362589,0.62920516681604,0.68001154999289,0.576351842362589,0.729424894636705,0.665281843120364,0.576351842362589,0.71404845399292,0.576351842362589,0.62920516681604,0.672048880545221,0.566083052164932,0.596072918591732,0.576351842362589,0.576351842362589,0.576351842362589,0.672048880545221
"Lapatinib",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"LBW242",0.672917984969465,0.735256873098971,0.623356124224535,1,0.735256873098971,0.469804030416564,0.62920516681604,0.623356124224535,1,0.65044157240468,0.623356124224535,0.728060809257137,0.645781099329,0.623356124224535,0.676037113944734,0.623356124224535,1,0.573688097232791,0.617979970221618,0.521970450576847,0.623356124224535,0.623356124224535,0.623356124224535,0.573688097232791
"Nilotinib",0.704395703853598,0.734307402192778,0.67095637820018,0.65044157240468,0.734307402192778,0.432285810997056,0.68001154999289,0.67095637820018,0.65044157240468,1,0.67095637820018,0.720082587722111,0.757876108208284,0.67095637820018,0.696297711716203,0.67095637820018,0.65044157240468,0.627035684292358,0.577292852714242,0.604063307039938,0.67095637820018,0.67095637820018,0.67095637820018,0.627035684292358
