"","drugs.i.","a"
"3","AEW541",0.596910448352419
"4","AZD0530",0.716547291942687
"5","AZD6244",0.301253196107531
"6","Erlotinib",0.513966869554391
"7","Irinotecan",0.38578465406282
"8","L-685458",0.709155476643301
"9","Lapatinib",0.435757681143215
"10","LBW242",0.480134882695616
"11","Nilotinib",0.587884642950758
"12","Nutlin-3",0.658601961123155
"13","Paclitaxel",0.209649332737619
"14","Panobinostat",0.563153764917915
"15","PD-0325901",0.47635423671853
"16","PD-0332991",0.704049684521392
"17","PF2341066",0.593457476688782
"18","PHA-665752",0.658034189573108
"19","PLX4720",0.323075333426016
"20","RAF265",0.619867767386561
"21","Sorafenib",0.741057453087382
"22","TAE684",0.544498385243989
"23","TKI258",0.675257872217246
"24","Topotecan",0.54185220578544
"25","X17-AAG",0.402663933639568
"26","ZD-6474",0.409694886460779
