,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.612639999,0.584444147,0.558487562,0.610127165,0.694504674,0.491857868,0.692099278,0.684013652,0.596910448,0.523271954,0.604835675,0.522372265
2,AZD0530,0.531250629,0.365847321,0.595078084,0.54232561,0.402129224,0.698733471,0.524459292,0.461561674,0.716547292,0.678357112,0.551628971,
3,AZD6244,0.403811218,0.322316951,0.239517354,0.406880816,0.233167206,0.123674544,0.558480224,0.41881885,0.301253196,0.552900216,0.356082058,
4,Erlotinib,0.360799612,0.511456035,0.690287297,0.439134165,0.286609458,0.326576586,0.369187273,0.438556111,0.51396687,0.578802879,0.451537629,
5,Irinotecan,0.378119297,0.690029439,0.613180906,0.665908756,0.536490517,0.433894895,0.689137416,0.657833105,0.385784654,0.297344149,0.534772314,
6,L-685458,0.715435614,0.747936355,0.771046615,0.825314324,0.8055688,0.711136754,0.744670899,0.734083068,0.709155477,0.809236671,0.757358458,
7,Lapatinib,0.653487305,0.275129505,0.416739461,0.259020286,0.480359249,0.466463531,0.210679184,0.511180706,0.435757681,0.451546173,0.416036308,
8,LBW242,0.323533222,0.635913583,0.311374702,0.413178822,0.488315556,0.759820262,0.522902952,0.438056398,0.480134883,0.525135762,0.489836614,
9,Nilotinib,0.821612934,0.786227037,0.671674252,0.870195801,0.773890016,0.758625996,0.79370711,0.713313888,0.587884643,0.774896166,0.755202784,
10,Nutlin-3,0.51436397,0.64507869,0.42065199,0.472475193,0.719158197,0.506072638,0.586840853,0.594931181,0.658601961,0.744460597,0.586263527,
11,Paclitaxel,0.203815644,0.357680519,0.232881911,0.600085,0.47585508,0.472716821,0.169449888,0.177083598,0.209649333,0.445278349,0.334449614,
12,Panobinostat,0.268358576,0.399331097,0.469340976,0.471174891,0.286719254,0.375953015,0.367032424,0.462522981,0.563153765,0.420172993,0.408375997,
13,PD-0325901,0.265915605,0.365449936,0.293238303,0.118052515,0.332364124,0.407198933,0.553258166,0.304983815,0.476354237,0.298318,0.341513363,
14,PD-0332991,0.682659808,0.756955033,0.813944889,0.715736661,0.774416633,0.825555411,0.613133686,0.920789495,0.704049685,0.838455951,0.764569725,
15,PF2341066,0.640915584,0.772758395,0.484138635,0.631934953,0.581433677,0.360930092,0.492030494,0.425919027,0.593457477,0.756567344,0.574008568,
16,PHA-665752,0.519519846,0.631150871,0.579577462,0.534726686,0.491876025,0.689375307,0.372236532,0.63635632,0.65803419,0.783776672,0.589662991,
17,PLX4720,0.500225532,0.324602091,0.441968026,0.181759361,0.467986473,0.561123324,0.219551999,0.304953231,0.323075333,0.296256751,0.362150212,
18,RAF265,0.688821378,0.725902823,0.713576084,0.597461393,0.687526157,0.733955291,0.754386993,0.65086514,0.619867767,0.742413046,0.691477607,
19,Sorafenib,0.585002608,0.665335481,0.752388712,0.820935345,0.666447119,0.847093055,0.889128285,0.485547737,0.741057453,0.585034003,0.70379698,
20,TAE684,0.616039735,0.641569337,0.500615259,0.561380719,0.317328268,0.411203735,0.441472779,0.610147219,0.544498385,0.710191619,0.535444706,
21,TKI258,0.368336672,0.473876115,0.749373242,0.469212158,0.442243059,0.362392092,0.548396314,0.484114796,0.675257872,0.715788657,0.528899098,
22,Topotecan,0.379953585,0.506674555,0.508392967,0.323070089,0.421290534,0.052418821,0.504418937,0.496819254,0.541852206,0.589237737,0.432412869,
23,X17-AAG,0.411347452,0.347911575,0.374297275,0.342773266,0.193056824,0.374417894,0.263319574,0.188172619,0.402663934,0.27895127,0.317691168,
24,ZD-6474,0.393795412,0.620895354,0.440044429,0.488967127,0.460674177,0.439444621,0.170399395,0.493257274,0.409694886,0.572098632,0.448927131,
