"","X","DRUG","CName","PName","dd_predict...2.","dd_real...2.","Acta_Normal"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",1,"PHA-665752","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.73028074352527,-0.89941837577704,-0.89941837577704
"4",2,"RAF265","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.414891072720614,-0.25561406160415,-0.25561406160415
"5",3,"X17-AAG","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.44207027018094,1.00633849113635,1.00633849113635
"6",1,"LBW242","22RV1_PROSTATE","22Rv1",-0.172954152780758,-0.638188757909099,-0.638188757909099
"7",2,"RAF265","22RV1_PROSTATE","22Rv1",-0.220667576607199,-0.380591916016566,-0.380591916016566
"8",1,"LBW242","42MGBA_CENTRAL_NERVOUS_SYSTEM","42-MG-BA",-0.156734150757382,-0.0626430739621817,-0.0626430739621817
"9",1,"AZD0530","5637_URINARY_TRACT","5637",-0.295769902859441,-0.406040774453912,-0.406040774453912
"10",2,"Sorafenib","5637_URINARY_TRACT","5637",-0.13441258519121,-0.442239023478027,-0.442239023478027
"11",1,"Irinotecan","639V_URINARY_TRACT","639-V",0.207102575636055,2.00195222771194,2.00195222771194
"12",2,"L-685458","639V_URINARY_TRACT","639-V",-0.241544570197552,-0.710390989862386,-0.710390989862386
"13",3,"PD-0332991","639V_URINARY_TRACT","639-V",-0.241544570197552,-0.473192087938718,-0.473192087938718
"14",4,"PF2341066","639V_URINARY_TRACT","639-V",-0.0690625025457072,-0.326391675527865,-0.326391675527865
"15",5,"PHA-665752","639V_URINARY_TRACT","639-V",-0.31198091100083,-0.716218972710633,-0.716218972710633
"16",6,"Sorafenib","639V_URINARY_TRACT","639-V",-0.422015669388351,-0.683711779490409,-0.683711779490409
"17",1,"AEW541","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",0.4105938443456,0.188024943877435,0.188024943877435
"18",2,"Paclitaxel","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",0.423180312868017,4.09225540928332,4.09225540928332
"19",1,"AZD6244","769P_KIDNEY","769-P",-0.617521000335893,-0.549150131060875,-0.549150131060875
"20",2,"Lapatinib","769P_KIDNEY","769-P",0.20632399893275,0.0540460937327267,0.0540460937327267
"21",3,"Nilotinib","769P_KIDNEY","769-P",-0.428641326600754,-0.465356688776074,-0.465356688776074
"22",4,"Paclitaxel","769P_KIDNEY","769-P",-0.372848471530288,1.69099696507545,1.69099696507545
"23",5,"PHA-665752","769P_KIDNEY","769-P",-0.617521000335893,-0.52266518678384,-0.52266518678384
"24",6,"PLX4720","769P_KIDNEY","769-P",-0.17382626447936,-0.737005444869382,-0.737005444869382
"25",7,"TAE684","769P_KIDNEY","769-P",0.20632399893275,-0.4882153326142,-0.4882153326142
"26",1,"Paclitaxel","8505C_THYROID","8505C",-0.558059764400816,2.58643415202617,2.58643415202617
"27",2,"PLX4720","8505C_THYROID","8505C",-0.720815245074591,-0.69491445763204,-0.69491445763204
"28",1,"Nutlin-3","8MGBA_CENTRAL_NERVOUS_SYSTEM","8-MG-BA",-0.0878799839288728,-0.410249873177647,-0.410249873177647
"29",1,"Erlotinib","A2058_SKIN","A2058",-0.407843941842099,-0.955878578503561,-0.955878578503561
"30",2,"Panobinostat","A2058_SKIN","A2058",-0.228939624983578,1.87218247629096,1.87218247629096
"31",3,"PF2341066","A2058_SKIN","A2058",-0.376401014244199,-0.617790817940233,-0.617790817940233
"32",4,"PHA-665752","A2058_SKIN","A2058",-0.0616218632470097,-0.826173582447567,-0.826173582447567
"33",5,"Topotecan","A2058_SKIN","A2058",-0.376401014244199,1.08287933254333,1.08287933254333
"34",1,"Lapatinib","A253_SALIVARY_GLAND","A-253",-0.179275757406672,-0.422229615699044,-0.422229615699044
"35",2,"TAE684","A253_SALIVARY_GLAND","A-253",-0.179275757406672,-0.478955315421985,-0.478955315421985
