"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"17-AAG",1,0.362544425544628,0.136233042992723,0.243152496794342,0.362544425544628,0.0955646292087163,0.249484653037712,0.136233042992723,0.243152496794342,0.339630091939841,0.136233042992723,0.297132444073138,0.213113275023693,0.136233042992723,0.143945708502555,0.136233042992723,0.243152496794342,0.0554691326444494,0.15527891806731,0.253458600013546,0.136233042992723,0.136233042992723,0.136233042992723,0.0554691326444494
"AEW541",0.362544425544628,1,0.157026642604752,0.326739677757643,1,0.105839763978696,0.278378638977945,0.157026642604752,0.326739677757643,0.357020363056125,0.157026642604752,0.363546375697991,0.372015508313974,0.157026642604752,0.227677712382395,0.157026642604752,0.326739677757643,0.102475330727678,0.203280096529198,0.183578570458649,0.157026642604752,0.157026642604752,0.157026642604752,0.102475330727678
"AZD0530",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"AZD6244",0.243152496794342,0.326739677757643,0.134282095821041,1,0.326739677757643,0.0148149237411701,0.132098486346944,0.134282095821041,1,0.195158788518464,0.134282095821041,0.34781961479335,0.110175446180745,0.134282095821041,0.220196526419234,0.134282095821041,1,0.0880029121196066,0.158182008992073,0.0194462254416599,0.134282095821041,0.134282095821041,0.134282095821041,0.0880029121196066
"Erlotinib",0.362544425544628,1,0.157026642604752,0.326739677757643,1,0.105839763978696,0.278378638977945,0.157026642604752,0.326739677757643,0.357020363056125,0.157026642604752,0.363546375697991,0.372015508313974,0.157026642604752,0.227677712382395,0.157026642604752,0.326739677757643,0.102475330727678,0.203280096529198,0.183578570458649,0.157026642604752,0.157026642604752,0.157026642604752,0.102475330727678
"Irinotecan",0.0955646292087163,0.105839763978696,-0.0891676449050057,0.0148149237411701,0.105839763978696,1,0.126525280610754,-0.0891676449050057,0.0148149237411701,-0.0223871756846809,-0.0891676449050057,-0.0265968977249245,-0.0226638264748143,-0.0891676449050057,0.0497149170739211,-0.0891676449050057,0.0148149237411701,-0.112156805323447,0.031726270018296,-0.0242488513984199,-0.0891676449050057,-0.0891676449050057,-0.0891676449050057,-0.112156805323447
"L-685458",0.249484653037712,0.278378638977945,-0.0247853261939898,0.132098486346944,0.278378638977945,0.126525280610754,1,-0.0247853261939898,0.132098486346944,0.207841600023573,-0.0247853261939898,0.210494741923745,0.164930197479053,-0.0247853261939898,0.185557480771773,-0.0247853261939898,0.132098486346944,0.205292717492661,0.0100758672720766,0.191782282185722,-0.0247853261939898,-0.0247853261939898,-0.0247853261939898,0.205292717492661
"Lapatinib",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"LBW242",0.243152496794342,0.326739677757643,0.134282095821041,1,0.326739677757643,0.0148149237411701,0.132098486346944,0.134282095821041,1,0.195158788518464,0.134282095821041,0.34781961479335,0.110175446180745,0.134282095821041,0.220196526419234,0.134282095821041,1,0.0880029121196066,0.158182008992073,0.0194462254416599,0.134282095821041,0.134282095821041,0.134282095821041,0.0880029121196066
"Nilotinib",0.339630091939841,0.357020363056125,0.154277110673788,0.195158788518464,0.357020363056125,-0.0223871756846809,0.207841600023573,0.154277110673788,0.195158788518464,1,0.154277110673788,0.341809096128041,0.324377221159685,0.154277110673788,0.254418400169689,0.154277110673788,0.195158788518464,0.222361367277294,0.113523087255298,0.178165993711858,0.154277110673788,0.154277110673788,0.154277110673788,0.222361367277294
