"","drugs.i.","a"
"3","AEW541",0.325757163968605
"4","AZD0530",0.523015315830885
"5","AZD6244",0.441384461513051
"6","Erlotinib",0.540362035831709
"7","Irinotecan",0.344103806751841
"8","L-685458",0.643450344294517
"9","Lapatinib",0.386019854445388
"10","LBW242",0.257270645672417
"11","Nilotinib",0.482899756473637
"12","Nutlin-3",0.714318875063505
"13","Paclitaxel",0.483082550188205
"14","Panobinostat",0.560663641289774
"15","PD-0325901",0.30772764763807
"16","PD-0332991",0.680295011871983
"17","PF2341066",0.74186026128558
"18","PHA-665752",0.520962283324997
"19","PLX4720",0.159418349175187
"20","RAF265",0.504324078865305
"21","Sorafenib",0.299233495060176
"22","TAE684",0.686682004437593
"23","TKI258",0.672675624784364
"24","Topotecan",0.609090511440253
"25","X17-AAG",0.413282155843552
"26","ZD-6474",0.41073532039634
