,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,AEW541,0.327694809,0.47812724,0.558096435,0.470681696,0.43287552,0.33566352,0.616030619,0.624039832,0.436469097,0.325757164,0.460543593,0.430516641
2,AZD0530,0.448328346,0.247802874,0.515480516,0.40486367,0.35496702,0.666472511,0.425531535,0.429678999,0.562323145,0.523015316,0.457846393,
3,AZD6244,0.387637604,0.304280051,0.155360205,0.333700492,0.283081392,0.098989748,0.547193221,0.406984712,0.292206175,0.441384462,0.325081806,
4,Erlotinib,0.232238341,0.364677052,0.587242883,0.387097748,0.294003657,0.276561629,0.15206749,0.420462833,0.51893187,0.540362036,0.377364554,
5,Irinotecan,0.47798329,0.645958496,0.468040606,0.589613236,0.635695808,0.461083261,0.586681383,0.773427249,0.072573827,0.344103807,0.505516096,
6,L-685458,0.435972049,0.31959227,0.561672276,0.38558005,0.447010152,0.389776583,0.538585662,0.505280678,0.466378063,0.643450344,0.469329813,
7,Lapatinib,0.625485798,0.28229286,0.328061539,0.251982662,0.355400396,0.330080953,0.090885356,0.534474727,0.359720128,0.386019854,0.354440427,
8,LBW242,0.155286233,0.487305578,0.202165984,0.316364518,0.310372521,0.644592772,0.165252837,0.345369,0.284353937,0.257270646,0.316833403,
9,Nilotinib,0.636217025,0.612215995,0.29205579,0.51350314,0.393115486,0.543457173,0.479350948,0.400574619,0.143028346,0.482899756,0.449641828,
10,Nutlin-3,0.357742947,0.679984506,0.437636232,0.479786496,0.675833708,0.553015544,0.628228996,0.663743911,0.641599715,0.714318875,0.583189093,
11,Paclitaxel,0.512542539,0.612167001,0.194458335,0.524333524,0.45809559,0.610608337,0.344970218,0.27363396,0.269042203,0.48308255,0.428293426,
12,Panobinostat,0.352469516,0.413652706,0.470196101,0.425672944,0.370578588,0.321577704,0.382473626,0.4652357,0.375760623,0.560663641,0.413828115,
13,PD-0325901,0.261161838,0.368866246,0.219905765,0.092363221,0.208076667,0.497408168,0.480304352,0.377467668,0.312362627,0.307727648,0.31256442,
14,PD-0332991,0.473169616,0.300111755,0.521846669,0.550113375,0.558031032,0.495611689,0.334786099,0.648609638,0.399467665,0.680295012,0.496204255,
15,PF2341066,0.706379666,0.845843225,0.573996768,0.733951321,0.715384744,0.492381598,0.580661779,0.350313867,0.567459068,0.741860261,0.63082323,
16,PHA-665752,0.371713755,0.555822027,0.243981985,0.542909583,0.437856194,0.545763246,0.238955898,0.616491167,0.549616819,0.520962283,0.462407296,
17,PLX4720,0.410118978,0.30827537,0.38939345,0.228528109,0.372149156,0.518804296,0.119907635,0.316594332,0.243928504,0.159418349,0.306711818,
18,RAF265,0.434331496,0.479754106,0.557480188,0.41455833,0.323260385,0.628233987,0.478448428,0.348813085,0.259554727,0.504324079,0.442875881,
19,Sorafenib,0.193214877,0.26834217,0.311871547,0.277681284,0.268254548,0.484862008,0.570324601,0.085446743,0.150461331,0.299233495,0.29096926,
20,TAE684,0.663123985,0.669285898,0.550068341,0.596596577,0.30652318,0.561859892,0.536501205,0.636260986,0.573629501,0.686682004,0.578053157,
21,TKI258,0.426823699,0.555075378,0.782036671,0.490841911,0.455355827,0.256712932,0.566625868,0.546325503,0.655346239,0.672675625,0.540781965,
22,Topotecan,0.497866432,0.554485022,0.510040001,0.323360681,0.558148714,-0.029881767,0.480340825,0.548070936,0.504781363,0.609090511,0.455630272,
23,X17-AAG,0.40334479,0.340434002,0.431052215,0.452223979,0.53430847,0.575846209,0.300082876,0.384773004,0.340929477,0.413282156,0.417627718,
24,ZD-6474,0.378343785,0.513650488,0.125722105,0.32896495,0.333259928,0.257476826,-0.058216992,0.051669645,0.21680967,0.41073532,0.255841573,
