"","x"
"antiquewhite4",0.0743083338751216
"bisque4",-0.176545278305457
"black",0.0580498085579175
"blue",-0.0467886449680716
"blue2",0.131967086238584
"brown",0.00882496963422489
"brown2",0.0589407753992969
"brown4",0.0194897888369025
"coral",0.0544918317220554
"coral1",0.129175749866819
"coral2",0.0187424514886581
"cyan",0.0265982733339429
"darkgreen",0.0283585371708435
"darkgrey",0.0196806169926165
"darkmagenta",0.101164415513821
"darkolivegreen",0.0588038392700669
"darkolivegreen4",0.011290150658526
"darkorange",0.0833647182844474
"darkorange2",0.0204693146763671
"darkred",0.0136908592914203
"darkseagreen3",0.0232769586395665
"darkseagreen4",0.0862116519882417
"darkslateblue",0.0802292928778371
"darkturquoise",0.111556857767845
"darkviolet",0.0634198429986842
"firebrick4",0.0360942393328598
"floralwhite",0.0405800187397068
"green",0.15376370543106
"greenyellow",0.0717350200926825
"grey60",0.166209088975775
"honeydew",0.0236333715240869
"honeydew1",0.142295597779882
"indianred4",0.0627920433804264
"ivory",0.069812413918596
"lavenderblush2",0.00945338109004716
"lavenderblush3",0.129350588365739
"lightcoral",0.115468059750925
"lightcyan",0.0123262933144603
"lightcyan1",0.0861018920132761
"lightgreen",-0.0256406792631964
"lightpink3",0.0708705150975961
"lightpink4",0.0199765362339575
"lightsteelblue",0.000354595116356563
"lightsteelblue1",0.13106990778655
"lightyellow",-0.0181972264863012
"magenta",-0.0155001749317854
"magenta4",-0.0128258433017106
"maroon",0.077157775351924
"mediumorchid",0.0275667956429866
"mediumpurple2",0.0746609364106975
"mediumpurple3",0.0297446369500647
"midnightblue",0.00629997411648024
"navajowhite1",-0.0343621247496442
"navajowhite2",0.0890887474762345
"orange",-0.204421317448651
"orangered3",0.0161686932106058
"orangered4",-0.0537420622570739
"paleturquoise",-0.0521602693437593
"palevioletred2",0.022032397133047
"palevioletred3",0.0501448924778392
"pink",-0.0419814318608875
"plum",0.0295637002556406
"plum1",0.0480298711903222
"plum2",-0.127432061440683
"plum3",-0.00510203726663302
"purple",-0.0780646297334738
"red",-0.196881034828987
"royalblue",0.0662304931528218
"saddlebrown",-0.0381310262941802
"salmon",-0.200215952345646
"salmon2",0.0538221712119378
"salmon4",0.134728152990653
"sienna3",0.0257344144906742
"skyblue",0.00294030960376641
"skyblue1",0.0410590734026139
"skyblue2",-0.113522818314999
"skyblue3",-0.0102379537191572
"steelblue",0.03896661300187
"tan",0.0944572962720684
"thistle",0.0433104444430594
"thistle1",-0.0407335644316874
"thistle2",-0.0145969603353457
"thistle3",0.0263056108737359
"turquoise",0.0157868691373859
"violet",0.00900426514253947
"white",0.0549674376918291
"yellow",0.0473346611218655
"yellow4",0.117838796254309
"yellowgreen",0.129009883180291
