"","x"
"antiquewhite4","X116225_at"
"bisque4","X64321_at"
"black","X5354_at"
"blue","X1292_at"
"blue2","X8602_at"
"brown","X164656_at"
"brown2","X64895_at"
"brown4","X55601_at"
"coral","X9478_at"
"coral1","X83746_at"
"coral2","X51081_at"
"cyan","X221391_at"
"darkgreen","X51637_at"
"darkgrey","X118424_at"
"darkmagenta","X708_at"
"darkolivegreen","X2193_at"
"darkolivegreen4","X7257_at"
"darkorange","X29079_at"
"darkorange2","X5001_at"
"darkred","X100507463_at"
"darkseagreen3","X6706_at"
"darkseagreen4","X55801_at"
"darkslateblue","X58509_at"
"darkturquoise","X9221_at"
"darkviolet","X9491_at"
"firebrick4","X84146_at"
"floralwhite","X84294_at"
"green","X4998_at"
"greenyellow","X6036_at"
"grey60","X79574_at"
"honeydew","X144809_at"
"honeydew1","X29960_at"
"indianred4","X55140_at"
"ivory","X270_at"
"lavenderblush2","X84991_at"
"lavenderblush3","X23398_at"
"lightcoral","X55671_at"
"lightcyan","X5476_at"
"lightcyan1","X3735_at"
"lightgreen","X51747_at"
"lightpink3","X79094_at"
"lightpink4","X25980_at"
"lightsteelblue","X8409_at"
"lightsteelblue1","X81556_at"
"lightyellow","X2993_at"
"magenta","X26509_at"
"magenta4","X7553_at"
"maroon","X23172_at"
"mediumorchid","X5469_at"
"mediumpurple2","X498_at"
"mediumpurple3","X157247_at"
"midnightblue","X79833_at"
"navajowhite1","X387694_at"
"navajowhite2","X51634_at"
"orange","X148266_at"
"orangered3","X11011_at"
"orangered4","X1058_at"
"paleturquoise","X6631_at"
"palevioletred2","X6346_at"
"palevioletred3","X741_at"
"pink","X400258_at"
"plum","X9733_at"
"plum1","X3853_at"
"plum2","X6928_at"
"plum3","X29093_at"
"purple","X28727_at"
"red","X1995_at"
"royalblue","X54870_at"
"saddlebrown","X4068_at"
"salmon","X333_at"
"salmon2","X3576_at"
"salmon4","X7323_at"
"sienna3","X221302_at"
"skyblue","X80308_at"
"skyblue1","X58493_at"
"skyblue2","X7562_at"
"skyblue3","X149998_at"
"steelblue","X5536_at"
"tan","X338_at"
"thistle","X134218_at"
"thistle1","X51193_at"
"thistle2","X4654_at"
"thistle3","X55660_at"
"turquoise","X10320_at"
"violet","X4250_at"
"white","X65993_at"
"yellow","X6692_at"
"yellow4","X6122_at"
"yellowgreen","X84811_at"
