"","Var1","Freq"
"1","0",4400
"2","1",1570
"3","2",1300
"4","3",1201
"5","4",1024
"6","5",651
"7","6",588
"8","7",486
"9","8",465
"10","9",331
"11","10",288
"12","11",247
"13","12",229
"14","13",226
"15","14",212
"16","15",188
"17","16",183
"18","17",155
"19","18",155
"20","19",141
"21","20",141
"22","21",139
"23","22",133
"24","23",124
"25","24",121
"26","25",119
"27","26",116
"28","27",113
"29","28",110
"30","29",110
"31","30",104
"32","31",103
"33","32",98
"34","33",94
"35","34",94
"36","35",90
"37","36",90
"38","37",90
"39","38",86
"40","39",86
"41","40",81
"42","41",81
"43","42",76
"44","43",75
"45","44",74
"46","45",73
"47","46",73
"48","47",73
"49","48",71
"50","49",71
"51","50",69
"52","51",69
"53","52",67
"54","53",67
"55","54",66
"56","55",66
"57","56",66
"58","57",62
"59","58",60
"60","59",58
"61","60",58
"62","61",57
"63","62",55
"64","63",55
"65","64",55
"66","65",53
"67","66",53
"68","67",52
"69","68",52
"70","69",51
"71","70",51
"72","71",51
"73","72",49
"74","73",48
"75","74",48
"76","75",47
"77","76",47
"78","77",47
"79","78",46
"80","79",44
"81","80",43
"82","81",42
"83","82",40
"84","83",39
"85","84",38
"86","85",38
"87","86",34
"88","87",34
"89","88",32
"90","89",30
