"","hub","cors","p_value"
"antiquewhite4","X116225_at",0.0743083338751216,0.100392024733404
"bisque4","X64321_at",-0.176545278305457,8.53289592141324e-05
"black","X5354_at",0.0580498085579175,0.199566593250389
"blue","X1292_at",-0.0467886449680716,0.301308355300808
"blue2","X8602_at",0.131967086238584,0.00342728525000976
"brown","X164656_at",0.0088249696342249,0.845507325252199
"brown2","X64895_at",0.0589407753992969,0.192742100728143
"brown4","X55601_at",0.0194897888369024,0.666930966296778
"coral","X9478_at",0.0544918317220554,0.228573298983
"coral1","X83746_at",0.129175749866819,0.00418152654486602
"coral2","X51081_at",0.0187424514886581,0.678977673878605
"cyan","X221391_at",0.0265982733339429,0.556949828748531
"darkgreen","X51637_at",0.0283585371708435,0.531140696836646
"darkgrey","X118424_at",0.0196806169926166,0.663868429389241
"darkmagenta","X708_at",0.101164415513821,0.0251300173660407
"darkolivegreen","X2193_at",0.058803839270067,0.193779716137554
"darkolivegreen4","X7257_at",0.011290150658526,0.80313817686549
"darkorange","X29079_at",0.0833647182844474,0.0652043855807591
"darkorange2","X5001_at",0.0204693146763671,0.651270632535976
"darkred","X100507463_at",0.0136908592914203,0.762423197882359
"darkseagreen3","X6706_at",0.0232769586395665,0.607244220308319
"darkseagreen4","X55801_at",0.0862116519882416,0.0565135853071946
"darkslateblue","X58509_at",0.080229292877837,0.0760174596263342
"darkturquoise","X9221_at",0.111556857767845,0.0134801352801483
"darkviolet","X9491_at",0.0634198429986841,0.161009658897963
"firebrick4","X84146_at",0.0360942393328598,0.425335335822368
"floralwhite","X84294_at",0.0405800187397068,0.370064771289805
"green","X4998_at",0.15376370543106,0.000637016148474202
"greenyellow","X6036_at",0.0717350200926825,0.112759628646209
"grey60","X79574_at",0.166209088975775,0.000219424997252811
"honeydew","X144809_at",0.0236333715240869,0.601751274054483
"honeydew1","X29960_at",0.142295597779882,0.00158917695005461
"indianred4","X55140_at",0.0627920433804264,0.165203771529661
"ivory","X270_at",0.0698124139185961,0.122757956565017
"lavenderblush2","X84991_at",0.00945338109004717,0.834659236297005
"lavenderblush3","X23398_at",0.129350588365739,0.00413020358880797
"lightcoral","X55671_at",0.115468059750925,0.0105267699989185
"lightcyan","X5476_at",0.0123262933144603,0.785493153825375
"lightcyan1","X3735_at",0.086101892013276,0.0568298679209417
"lightgreen","X51747_at",-0.0256406792631964,0.571241437294412
"lightpink3","X79094_at",0.0708705150975961,0.117173245443039
"lightpink4","X25980_at",0.0199765362339575,0.659130386150238
"lightsteelblue","X8409_at",0.000354595116356574,0.99375322573353
"lightsteelblue1","X81556_at",0.13106990778655,0.00365503747077981
"lightyellow","X2993_at",-0.0181972264863012,0.687818518091551
"magenta","X26509_at",-0.0155001749317853,0.732158810914478
"magenta4","X7553_at",-0.0128258433017106,0.777024543149046
"maroon","X23172_at",0.077157775351924,0.0879816142673284
"mediumorchid","X5469_at",0.0275667956429866,0.542674097647202
"mediumpurple2","X498_at",0.0746609364106974,0.0987847558289389
"mediumpurple3","X157247_at",0.0297446369500647,0.511252078715708
"midnightblue","X79833_at",0.00629997411648025,0.889370275436504
"navajowhite1","X387694_at",-0.0343621247496443,0.447900706534203
"navajowhite2","X51634_at",0.0890887474762345,0.0487299018949921
"orange","X148266_at",-0.204421317448651,5.07263879044203e-06
"orangered3","X11011_at",0.0161686932106058,0.721077946407091
"orangered4","X1058_at",-0.0537420622570739,0.235049698656593
"paleturquoise","X6631_at",-0.0521602693437593,0.249135181549153
"palevioletred2","X6346_at",0.022032397133047,0.62659757465576
"palevioletred3","X741_at",0.0501448924778392,0.267919429960324
"pink","X400258_at",-0.0419814318608875,0.353753128787214
"plum","X9733_at",0.0295637002556406,0.513826088113903
"plum1","X3853_at",0.0480298711903222,0.28865191803229
"plum2","X6928_at",-0.127432061440683,0.00472583984231802
"plum3","X29093_at",-0.00510203726663304,0.910307491598315
"purple","X28727_at",-0.0780646297334738,0.0843013787844048
"red","X1995_at",-0.196881034828987,1.133208211826e-05
"royalblue","X54870_at",0.0662304931528219,0.143210945475703
"saddlebrown","X4068_at",-0.0381310262941801,0.399666606806865
"salmon","X333_at",-0.200215952345646,7.9714888500382e-06
"salmon2","X3576_at",0.0538221712119378,0.234351612986228
"salmon4","X7323_at",0.134728152990653,0.00280484848503292
"sienna3","X221302_at",0.0257344144906742,0.569834836170424
"skyblue","X80308_at",0.00294030960376641,0.948237349622167
"skyblue1","X58493_at",0.0410590734026139,0.364437190200808
"skyblue2","X7562_at",-0.113522818314999,0.0119150428752416
"skyblue3","X149998_at",-0.0102379537191572,0.821159513250972
"steelblue","X5536_at",0.03896661300187,0.389410640874399
"tan","X338_at",0.0944572962720685,0.0365965569047334
"thistle","X134218_at",0.0433104444430594,0.338709637408759
"thistle1","X51193_at",-0.0407335644316874,0.368255196897002
"thistle2","X4654_at",-0.0145969603353456,0.747218301179906
"thistle3","X55660_at",0.0263056108737359,0.561299192954661
"turquoise","X10320_at",0.0157868691373859,0.72739980270819
"violet","X4250_at",0.00900426514253948,0.842409124921873
"white","X65993_at",0.0549674376918292,0.224531328165193
"yellow","X6692_at",0.0473346611218655,0.295696088483789
"yellow4","X6122_at",0.117838796254309,0.00903008180754996
"yellowgreen","X84811_at",0.129009883180291,0.00423074829853298
