"","Cp","AICc","GCV","BIC"
"(Intercept)",1.0912656420401,0.884507560402944,0.778601564432012,0.702558711934686
"X683665",0,0,0,0
"X684055",0.086632185668605,0.86632185668605,0.86632185668605,0
"X684057",0.77379445923792,2.4181076851185,2.4181076851185,0
"X684059",0,1.3612196398877,1.3612196398877,0
"X684062",0,0,0,0
"X684072",0.0897855484002242,1.52635432280381,1.52635432280381,0
"X684681",1.64869157304789,5.22085664798499,5.22085664798499,0.457969881402192
"X687448",0.261869235555559,0.261869235555559,0.261869235555559,0.261869235555559
"X687562",0,0.779052946837458,0.779052946837458,0
"X687568",0,2.25496495313158,2.25496495313158,0
"X687590",0.84825445811004,2.77610549926922,2.77610549926922,0.308456166585469
"X687600",0.380381859568998,1.04605011381474,1.04605011381474,0.0950954648922495
"X687799",-1.53475772043512,-6.65061678855221,-6.65061678855221,-0.803920710704113
"X687804",0,0,0,0
"X687807",0,0.399788684279164,0.399788684279164,0
"X687814",0.58462978161681,1.88380707409861,1.88380707409861,0.06495886462409
"X687983",1.42085839208952,2.51382638600453,2.62312318539604,0
"X687997",0.0670152911807215,0.134030582361443,0.134030582361443,0.0670152911807215
"X688001",1.03009082014655,1.26780408633421,1.26780408633421,0.475426532375329
"X688006",0,0.617670046827403,0.617670046827403,0
"X688007",0,0,0,0
"X688010",0,0,0,0
"X688013",-0.158660260962948,-2.77655456685159,-2.77655456685159,0
"X688014",0,0,0,0
"X688018",0.2426039785795,0.889547921458167,0.889547921458167,0
"X688021",0.517498478905246,0.887140249551851,0.887140249551851,0.295713416517284
"X688023",0.304594669774009,1.31991023568737,1.31991023568737,0.203063113182672
"X688025",0,-1.16898179943095,-1.16898179943095,0
"X688026",0,-1.55193022298136,-1.55193022298136,0
"X688027",0.163338391341019,1.55171471773968,1.55171471773968,0
"X688031",0,-2.47906753122978,-2.47906753122978,0
"X688086",-0.151685933452731,-2.42697493524369,-2.42697493524369,0
"X688121",0,3.93239558344951,3.93239558344951,0
"X713878",0.0751464852835776,3.15615238191026,3.15615238191026,0
"X724859",0.611491082220509,1.83447324666153,1.83447324666153,0
"X724863",0,-1.025304439645,-1.025304439645,0
"X724866",-0.499797643001714,-1.66599214333905,-1.66599214333905,-0.0832996071669523
"X724872",0,0.840016570886668,0.945018642247501,0
"X735784",-1.00504019259089,-0.921286843208315,-0.921286843208315,-0.753780144443167
"X749711",1.85285491013865,2.11754846872988,2.11754846872988,0.661733896478089
"X749713",0.220079278390477,1.4305153095381,1.4305153095381,0
"X749715",0,1.0612023107636,1.0612023107636,0
"X749716",0.77488723101396,1.54977446202792,1.54977446202792,0.096860903876745
"X753531",-0.621975211045298,-3.93917633662022,-3.93917633662022,-0.276433427131243
"X753532",0,-0.258127737173197,-0.258127737173197,0
"X753546",0,-1.14589221444811,-1.14589221444811,0
"X753547",-0.952974605240394,-2.68565570567747,-2.68565570567747,0
"X753548",0,0,0,0
"X753549",0,-0.651373717814929,-0.651373717814929,0
"X753551",0,-1.38209272429388,-1.38209272429388,0
"X753552",0,2.59245458534193,2.59245458534193,0
"X753555",0,4.83816459955719,4.83816459955719,0
"X753558",0,3.64885491455607,3.64885491455607,0
"X753563",0,0,0,0
"X753564",0,0.571854993736869,0.571854993736869,0
"X753565",0.333870496298092,0.333870496298092,0.333870496298092,0
"X753577",-0.151619000498882,-0.151619000498882,-0.151619000498882,-0.0758095002494408
"X753578",-1.12518110083852,-2.03939074526983,-2.03939074526983,-0.492266731616854
"X753579",0,-4.40140165405529,-4.40140165405529,0
"X753581",0,-0.540569445166142,-0.540569445166142,0
"X753582",0,-0.950709980290831,-0.950709980290831,0
"X753583",0.25033824251274,1.00135297005096,1.00135297005096,0
"X753584",0,-1.16510550788976,-1.16510550788976,0
"X753585",-2.59504170987748,-8.02103801234857,-8.02103801234857,-0.786376275720447
"X753588",0.451380709031774,0.601840945375698,0.601840945375698,0.225690354515887
"X753589",0.694484279380175,1.774793158416,1.774793158416,0.154329839862261
"X753592",0,2.21960609383114,2.21960609383114,0
"X753594",-0.287874643764093,-1.53533143340849,-1.53533143340849,0
"X753595",0,0.337043153570891,0.337043153570891,0
"X753596",0.0909660447876492,0.363864179150597,0.363864179150597,0.0909660447876492
"X753605",0,0,0,0
"X753612",1.12061736020976,3.13772860858733,3.13772860858733,0
"X753614",-0.723415005934826,0.940439507715273,0.940439507715273,-0.651073505341343
"X753616",0,-0.0766705197763223,-0.0766705197763223,0
"X753618",0,0.670903401274764,0.670903401274764,0
"X753620",0,2.95108595487447,2.95108595487447,0
"X753621",-2.06437068421833,-7.13928194958839,-7.13928194958839,-0.602108116230346
"X753622",-0.490334543968766,1.22583635992191,1.22583635992191,-0.408612119973971
"X753623",0,-0.336017683211824,-0.336017683211824,0
"X905938",0,0,0,0
"X905940",0,0,0,0
"X905941",0.854192776022261,3.18380943790115,3.18380943790115,0
"X905942",0,0,0,0
"X905952",-0.218555984526574,-0.291407979368765,-0.291407979368765,0
"X905955",0.902234129960723,1.60397178659684,1.60397178659684,0.902234129960723
"X905958",-0.0754749465598632,-0.150949893119726,-0.150949893119726,0
"X905965",0,0,0,0
"X905967",0,-0.583271580145248,-0.583271580145248,0
"X905970",-1.38179906647681,-4.87265986599718,-4.87265986599718,-0.363631333283371
"X905971",0.195586405861787,1.66248444982519,1.66248444982519,0
"X905972",0,0,0,0
"X905974",1.12680043285484,-2.61703810339094e-17,-2.61703810339094e-17,0.780092607361045
"X905977",0,0.918445643772166,0.918445643772166,0
"X905978",0.488944337867985,2.72411845383592,2.72411845383592,0
"X905980",-1.22637462132901,-5.47151754131406,-5.47151754131406,-0.188673018666002
"X905982",0.125964088319018,1.57455110398773,1.57455110398773,0.062982044159509
"X905984",0.221748428546581,0.295664571395441,0.295664571395441,0
"X905986",0.405782466291342,0.405782466291342,0.405782466291342,0.0811564932582683
"X905989",0.857960494278444,1.17969567963286,1.17969567963286,0
"X905990",-1.59004864836597,-4.02812324252713,-4.02812324252713,-0.318009729673194
"X906746",0,-1.54060485647476,-1.54060485647476,0
"X906763",0,0,0,0
"X906765",0,0.220956714000952,0.220956714000952,0
"X906794",-0.531112225704225,-0.531112225704225,-0.531112225704225,-0.379365875503018
"X906800",-0.884228510739879,-3.85845168322856,-3.93883609329583,-0.643075280538094
"X906803",0.172470014848187,0.172470014848187,0.172470014848187,0.172470014848187
"X906808",0.242971665888167,0.404952776480278,0.404952776480278,0.161981110592111
"X906812",0.595088449601364,1.78526534880409,1.78526534880409,0.119017689920273
"X906813",0,0.957379209715341,0.957379209715341,0
"X906831",0,0,0,0
"X906834",0,1.04961258710132,1.04961258710132,0
"X906836",0,0.346312743232086,0.346312743232086,0
"X906838",0,0,0,0
"X906841",0,0,0,0
"X906842",0,-0.791299572839798,-0.791299572839798,0
"X906844",1.1423940187198,2.44798718297101,2.44798718297101,0.815995727657002
"X906846",0,0.193021375355897,0.193021375355897,0
"X906847",0,2.42331857644826,2.42331857644826,0
"X906849",-6.76891902580929,-11.9316538760028,-11.9316538760028,-3.09764091011611
"X906850",0.51368153503002,0.51368153503002,0.51368153503002,0.51368153503002
