"","x"
"1",0.238403654095074
"2",0.204698712326113
"3",0.206493338279841
"4",0.214233840394494
"5",0.23172143385258
"6",0.235097266754032
"7",0.251585257810101
"8",0.224082841293696
"9",0.235205012089169
"10",0.228471417201937
"11",0.231264345029775
"12",0.235408188625579
"13",0.232451167461857
"14",0.229236120012569
"15",0.233739830703532
"16",0.233515321665574
"17",0.232984903960015
"18",0.259441614801257
"19",0.228795599782922
"20",0.198220975132382
"21",0.223476840912217
"22",0.206807193167777
"23",0.195635428908504
"24",0.204594404766917
"25",0.203354954408718
"26",0.206220134565889
"27",0.24867113603347
"28",0.240125063223231
"29",0.196926473002506
"30",0.207369512108235
"31",0.198680715589451
"32",0.243611476647931
"33",0.263681194898784
"34",0.225278188695514
"35",0.228828424554297
"36",0.228535128817218
"37",0.202230020543995
"38",0.236001510653208
"39",0.227681325891002
"40",0.232247837234686
"41",0.200186681105663
"42",0.228120533629077
"43",0.235079150649485
"44",0.246394174135232
"45",0.241645242404329
"46",0.240392071793402
