"","X","COSMIC_ID","DRUG_ID","IC50_Normal","cc_predict...2.","cc_real...2."
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",1,"X1303897",1,0.368488555157596,0.198155574290887,0.368488555157596
"4",2,"X1327771",1,0.128555804348318,0.206427558097338,0.128555804348318
"5",3,"X1327774",1,-0.166443888180737,0.204123860829845,-0.166443888180737
"6",4,"X688014",1,0.436726466519097,0.2465560438455,0.436726466519097
"7",5,"X753531",1,-1.4489799372053,0.201016796987621,-1.4489799372053
"8",6,"X753589",1,0.6837032519777,0.243230469372814,0.6837032519777
"9",7,"X905952",1,0.0459899063711974,0.205727478659205,0.0459899063711974
"10",8,"X905970",1,-1.14998506026932,0.208942302372376,-1.14998506026932
"11",9,"X906794",1,-0.652944481278592,0.209303885578161,-0.652944481278592
"12",10,"X906808",1,0.537128776533549,0.237315164389352,0.537128776533549
"13",11,"X906813",1,0.411471979235547,0.217033798239564,0.411471979235547
"14",12,"X906841",1,-0.377239611788701,0.203238125873242,-0.377239611788701
"15",13,"X906854",1,0.77420640374761,0.194903140433404,0.77420640374761
"16",14,"X906872",1,0.20795095911404,0.220727403722797,0.20795095911404
"17",15,"X907277",1,-0.030592502272445,0.205500013722984,-0.030592502272445
"18",16,"X908151",1,0.278834275645406,0.210866953308872,0.278834275645406
"19",17,"X908159",1,0.109942985569282,0.198782569934512,0.109942985569282
"20",18,"X908448",1,0.39573416662065,0.195504033511401,0.39573416662065
"21",19,"X908483",1,0.301626561165938,0.23933769987239,0.301626561165938
"22",20,"X909723",1,0.0881987859662692,0.217042190950417,0.0881987859662692
"23",21,"X909769",1,0.490806274348287,0.204961405396936,0.490806274348287
"24",22,"X909773",1,0.314092362855922,0.197861342261465,0.314092362855922
"25",23,"X910554",1,0.370581641702716,0.206248005134226,0.370581641702716
"26",24,"X910697",1,-0.795143184253382,0.20115698966658,-0.795143184253382
"27",25,"X910919",1,0.244768359239061,0.204063364840378,0.244768359239061
"28",26,"X910933",1,0.526221238390002,0.210744178323612,0.526221238390002
"29",27,"X910948",1,0.478430522479372,0.213877378971683,0.478430522479372
"30",28,"X949173",1,0.201500615534026,0.243876601275483,0.201500615534026
