"","x"
"1",-0.63432621433659
"2",-0.738060174393253
"3",0.0768910659504572
"4",0.0187309435806023
"5",-0.569321991036121
"6",-0.1244479361811
"7",-0.566892967815985
"8",-0.543717461595291
"9",-0.371747762643784
"10",-0.710334326644947
"11",-0.199383075103793
"12",-0.711833171591889
"13",-0.456131215502942
"14",-0.214158658941603
"15",-0.0957826693315146
"16",-0.188843904951732
"17",0.359070123568118
"18",-0.288116405039465
"19",0.167262016866046
"20",-0.081767758307767
"21",-0.232536639130628
"22",-0.109691396226181
