"","x"
"1",-2.57787922304393
"2",-0.79893554133159
"3",0.119431881543798
"4",-0.611757833980013
"5",-2.23252604347477
"6",-0.84256585648393
"7",0.336352057132395
"8",-0.106873912248656
"9",0.788100269749489
"10",-0.209153519566905
"11",0.978049705494546
"12",-1.90972625561254
"13",-2.57991961579322
"14",-0.306585907336482
"15",-0.221317180847441
"16",-0.159188509324546
"17",-1.11764899386836
"18",-1.63425503679087
"19",0.726450490646247
"20",0.302353111839541
"21",-1.44850223086716
"22",-1.88328275301894
