"","drugs.i.","a"
"3","X1",0.396373097734845
"4","X1001",0.311815491144305
"5","X1003",0.512264578657335
"6","X1004",0.564612926314509
"7","X1006",0.410629253727883
"8","X1007",0.290254335474795
"9","X1008",0.598553606987308
"10","X1009",0.48837424350804
"11","X1010",0.317470778710983
"12","X1011",0.32691217868883
"13","X1012",0.532918468156038
"14","X1013",0.561428269977938
"15","X1014",0.503098367858869
"16","X1015",0.540413236896606
"17","X1016",0.409592781330038
"18","X1017",0.569431829901681
"19","X1018",0.592766946413357
"20","X1019",0.467046089367346
"21","X1020",0.568330030386489
"22","X1021",0.471045784128419
"23","X1022",0.525615661066452
"24","X1023",0.277796169261387
"25","X1024",0.460352189954455
"26","X1025",0.404662207068237
"27","X1026",0.169189920483163
"28","X1028",0.567586598911066
"29","X1029",0.233062291381616
"30","X1030",0.398159626818718
"31","X1031",0.389940116657257
"32","X1032",0.449107199431425
"33","X1033",0.50385238542267
"34","X1036",0.565362847754684
"35","X1038",0.409044600695906
"36","X1039",0.459003134410054
"37","X104",0.330730451376461
"38","X1042",0.288612664840096
"39","X1043",0.40916583292879
"40","X1047",0.467026904401242
"41","X1049",0.513810936143141
"42","X1050",0.55311414919334
"43","X1052",0.255386736523991
"44","X1053",0.265283686561851
"45","X1054",0.427614988815476
"46","X1057",0.35278470273791
"47","X1058",0.40798548202799
"48","X1059",0.62356346053754
"49","X1060",0.334280636756953
"50","X1061",0.406911625234092
"51","X1062",0.246778991526818
"52","X1066",0.320782571330582
"53","X1067",0.347941122450275
"54","X1069",0.262034512609645
"55","X1072",0.351854791618789
"56","X1091",0.252109528325222
"57","X11",0.589775070706259
"58","X110",0.577240201050416
"59","X111",0.247531238149949
"60","X1129",0.381651738285725
"61","X1133",0.401901783575819
"62","X1164",0.450187305234606
"63","X1170",0.495955963379619
"64","X1175",0.450482783617982
"65","X119",-0.164592041701598
"66","X1192",0.344750810758149
"67","X1194",0.273452193843632
"68","X1199",0.452267927040406
"69","X1218",0.179152229672443
"70","X1219",0.452562415661983
"71","X1230",0.406376389053587
"72","X1236",0.443871304838396
"73","X1239",0.570807184885805
"74","X1241",0.452706642810809
"75","X1242",0.621833205720349
"76","X1243",0.607884845498648
"77","X1248",0.560344823908997
"78","X1259",0.491551783660072
"79","X1262",0.438634479487308
"80","X1264",0.591552639925359
"81","X1268",0.316216787809448
"82","X127",0.351828795037146
"83","X133",0.712352060243427
"84","X134",0.432935100957339
"85","X135",0.505910707539834
"86","X136",0.462952322736791
"87","X1371",0.432162112051055
"88","X1372",0.436735742168736
"89","X1373",0.232331529495693
"90","X1375",0.445403175009464
"91","X1377",0.237559706070391
"92","X140",0.387634396224774
"93","X147",0.302570363943368
"94","X1494",0.501364215945767
"95","X1495",0.590753631539387
"96","X1498",0.329704906847987
"97","X150",0.621454962536843
"98","X1502",0.380339449295011
"99","X151",0.512794278725534
"100","X152",0.672470688634692
"101","X1526",0.48562058376697
"102","X1527",0.325057482044069
"103","X1529",0.429541434811273
"104","X153",0.533344942241448
"105","X154",0.408227629893656
"106","X155",0.512279552379278
"107","X156",0.345961144894065
"108","X157",0.577091666826034
"109","X158",0.594159984337365
"110","X159",0.662870340531785
"111","X163",0.313353298863319
"112","X165",0.39796587234941
"113","X166",0.482604003901281
"114","X167",0.514257353570258
"115","X17",0.440664898929627
"116","X170",0.434679022351402
"117","X171",0.37286888669197
"118","X172",0.389345334489835
"119","X173",0.167635908154412
"120","X175",0.31935946908482
"121","X176",0.465841541282843
"122","X177",0.561444920709525
"123","X178",0.627777684906155
"124","X179",0.635765434781432
"125","X180",0.397270456238394
"126","X182",0.45735342060115
"127","X184",0.328842942976677
"128","X185",0.345685255735192
"129","X186",0.542917473180543
"130","X190",0.321780766587529
"131","X192",0.531131043098227
"132","X193",0.395520295400571
"133","X194",0.51004022635211
"134","X196",0.289701126391988
"135","X197",0.227655738156997
"136","X199",0.397088376622847
"137","X200",0.605815287720245
"138","X201",0.616908801208814
"139","X202",0.501396521133407
"140","X203",0.633503291308342
"141","X204",0.426577409168989
"142","X205",0.454226923059236
"143","X206",0.635058929839993
"144","X207",0.375813212600822
"145","X208",0.53826018981048
"146","X219",0.587957968140865
"147","X221",0.657836635168173
"148","X222",0.622831337170784
"149","X223",0.505888403307531
"150","X224",0.430550750678327
"151","X226",0.666715338451879
"152","X228",0.560871799075232
"153","X229",0.376230399222777
"154","X230",0.566066047177236
"155","X231",0.508569671917382
"156","X238",0.46940768236181
"157","X245",0.586850344856667
"158","X249",0.606745194279887
"159","X254",0.635260775010263
"160","X255",0.684724924331957
"161","X258",0.610926249906616
"162","X260",0.496428075756242
"163","X262",0.548506596064301
"164","X263",0.486252863585118
"165","X265",0.552442635042146
"166","X266",0.762007224097541
"167","X268",0.386514530316155
"168","X269",0.435964273445429
"169","X272",0.462769902358087
"170","X273",0.523332668480271
"171","X274",0.414449497125414
"172","X275",0.363986049216189
"173","X276",0.436963926687227
"174","X277",0.22548445136903
"175","X279",0.424500596307189
"176","X281",0.481891353853257
"177","X282",0.465397706792009
"178","X283",0.603067991801655
"179","X288",0.448249834370168
"180","X29",0.504054077209352
"181","X290",0.156462743585874
"182","X292",0.574977036861045
"183","X293",0.350429517550296
"184","X295",0.531887162953873
"185","X298",0.700476308568132
"186","X299",0.346735070432442
"187","X3",0.321338027756243
"188","X30",0.519957957451948
"189","X300",0.669399908267468
"190","X301",0.725413003328748
"191","X302",0.775104631819214
"192","X303",0.520182776980715
"193","X305",0.57233083515628
"194","X306",0.54799373108603
"195","X308",0.568995307511405
"196","X309",0.598164075996784
"197","X310",0.651175298786561
"198","X312",0.522440309933027
"199","X32",0.632247883616445
"200","X326",0.592191116564614
"201","X328",0.586696162096294
"202","X333",0.546744261662624
"203","X34",0.391138721117466
"204","X341",0.46763983141607
"205","X345",0.624361913355924
"206","X35",0.353457268557461
"207","X37",0.639624996714275
"208","X38",0.552655513699872
"209","X41",0.463868018624363
"210","X45",0.568561266935179
"211","X5",0.706939455738615
"212","X51",0.533851763498219
"213","X52",0.506272294873101
"214","X53",0.634850544838235
"215","X54",0.553383815680682
"216","X55",0.539866213603805
"217","X56",0.154347833617697
"218","X6",0.582149233712981
"219","X60",0.668702439801659
"220","X62",0.582737235343198
"221","X63",0.43034733138394
"222","X64",0.498031538273015
"223","X71",0.551710289449784
"224","X86",0.176925076264742
"225","X87",0.73951949796756
"226","X88",0.200847363804196
"227","X89",0.353682473680737
"228","X9",0.481248415360668
"229","X91",0.507846541280183
"230","X94",0.279587080612698
