,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.09204655,0.318880779,0.038440961,0.384670476,0.345478443,0.474980991,0.396373098,0.290583433,0.312028567,-0.126015592,0.25274677,0.462027901
2,X1001,0.335423286,0.435499817,0.470341338,0.343373049,0.276656752,0.324275903,0.311815491,0.362693715,0.29002478,0.464928494,0.361503263,
3,X1003,0.570830261,0.627996411,0.440214609,0.505672069,0.431198015,0.416745603,0.512264579,0.453980719,0.560328116,0.445297511,0.496452789,
4,X1004,0.504594747,0.508398857,0.533594537,0.519925866,0.547999422,0.48110303,0.564612926,0.525087194,0.568125421,0.500003067,0.525344507,
5,X1006,0.49339881,0.42518345,0.404067809,0.523161461,0.425831018,0.463181296,0.410629254,0.447114926,0.25437166,0.442006798,0.428894648,
6,X1007,0.417534016,0.3799433,0.482567159,0.214136845,0.201811356,0.361886328,0.290254335,0.464354444,0.18139494,0.359384334,0.335326706,
7,X1008,0.489266995,0.529711385,0.538149832,0.503281394,0.508038911,0.419413965,0.598553607,0.601848004,0.608423997,0.544514358,0.534120245,
8,X1009,0.448255642,0.382897529,0.254511449,0.493720822,0.1809087,0.325651177,0.488374244,0.274632478,0.264425583,0.461439477,0.35748171,
9,X1010,0.294430727,0.428022862,0.268307142,0.280389391,0.346480857,0.199649771,0.317470779,0.330758828,0.329517481,0.417645754,0.321267359,
10,X1011,0.38251284,0.313015917,0.208706019,0.293780454,0.481902168,0.282719157,0.326912179,0.398586631,0.253618923,0.486168471,0.342792276,
11,X1012,0.624405005,0.499435895,0.568407927,0.39018666,0.38782055,0.530657317,0.532918468,0.312084106,0.521599699,0.543180256,0.491069588,
12,X1013,0.428187588,0.472412365,0.383533061,0.51621732,0.451027547,0.457070383,0.56142827,0.280881429,0.489630856,0.547703285,0.45880921,
13,X1014,0.622734206,0.60022497,0.595278231,0.546689124,0.280569071,0.385927366,0.503098368,0.606875221,0.509105749,0.598776642,0.524927895,
14,X1015,0.602331402,0.411893168,0.625057203,0.565628375,0.538441462,0.492655908,0.540413237,0.68639445,0.525950082,0.50861557,0.549738086,
15,X1016,0.406856362,0.543291025,0.379055014,0.135848975,0.312688608,0.391492357,0.409592781,0.412250906,0.36504863,0.230061761,0.358618642,
16,X1017,0.50991045,0.51203581,0.439839652,0.583928049,0.530682608,0.641827137,0.56943183,0.543070308,0.591061705,0.654025739,0.557581329,
17,X1018,0.249455066,0.469462274,0.419711231,0.550876828,0.392103511,0.503767064,0.592766946,0.512323004,0.553296997,0.450241952,0.469400487,
18,X1019,0.478086175,0.51348412,0.557631382,0.609338916,0.414175355,0.534220715,0.467046089,0.571973496,0.460656233,0.476098126,0.508271061,
19,X1020,0.706790021,0.652798608,0.492661537,0.511234897,0.422694617,0.485699864,0.56833003,0.482281302,0.217570057,0.519238528,0.505929946,
20,X1021,0.503765394,0.63269657,0.529472,0.568276443,0.455595495,0.628121501,0.471045784,0.425146768,0.540772182,0.569462902,0.532435504,
21,X1022,0.413323301,0.634527455,0.466692863,0.539896249,0.47849684,0.593383533,0.525615661,0.628127886,0.288257956,0.423363178,0.499168492,
22,X1023,0.340570894,0.38023658,0.135014203,0.394161823,0.143504259,0.253823144,0.277796169,0.220047348,0.117889329,0.261385032,0.252442878,
23,X1024,0.612437507,0.335721275,0.500559048,0.429337775,0.195032629,0.523286986,0.46035219,0.621483967,0.399475957,0.512559123,0.459024646,
24,X1025,0.298641562,0.462362828,0.449685509,0.261382023,0.319207022,0.361587077,0.404662207,0.608242438,0.219962308,0.328348247,0.371408122,
25,X1026,0.022577723,-0.072133486,0.094028746,0.197075406,0.097495895,-0.023726383,0.16918992,-0.023274538,0.209068458,0.168345368,0.083864711,
26,X1028,0.51180085,0.496396985,0.41408848,0.521318383,0.657968514,0.550106055,0.567586599,0.506794862,0.602499826,0.536626219,0.536518677,
27,X1029,0.315339392,0.18472773,0.26067979,0.30432827,0.261712982,0.279984674,0.233062291,0.075423013,0.255783678,0.40435244,0.257539426,
28,X1030,0.519758474,0.514351126,0.542594195,0.647884137,0.625477544,0.659293896,0.398159627,0.596053248,0.674219056,0.630703833,0.580849514,
29,X1031,0.260527209,0.279640376,0.250756525,0.303135984,0.362201135,0.278473239,0.389940117,0.395847956,0.447725025,0.169508358,0.313775592,
30,X1032,0.249775421,0.379002225,0.236352882,0.256073865,0.418820002,0.149570008,0.449107199,0.127304641,0.099683593,0.38775879,0.275344862,
31,X1033,0.617014639,0.512740562,0.712609583,0.634244425,0.608185365,0.440345184,0.503852385,0.495726749,0.469774263,0.465081656,0.545957481,
32,X1036,0.581610212,0.458139813,0.506090989,0.532651316,0.548009419,0.473794796,0.565362848,0.557466223,0.501274281,0.54395896,0.526835886,
33,X1038,0.406139442,0.492251724,0.61313682,0.499017481,0.519137778,0.424562439,0.409044601,0.531963601,0.477344457,0.337259329,0.470985767,
34,X1039,0.451265087,0.508756275,0.250823204,0.498526353,0.613514301,0.457661478,0.459003134,0.610782041,0.450922693,0.484015226,0.478526979,
35,X104,0.60078026,0.592173953,0.53077263,0.224954667,0.389253062,0.31806098,0.330730451,0.241981352,0.26463482,0.40626019,0.389960237,
36,X1042,0.271156838,-0.000969765,0.24729137,0.110042532,0.162898428,0.144727923,0.288612665,0.391149963,0.262403703,0.344650055,0.222196371,
37,X1043,0.345242159,0.397274638,0.369171214,0.465049394,0.258428282,0.418406622,0.409165833,0.357368956,0.45747216,0.395078394,0.387265765,
38,X1047,0.434135219,0.458646004,0.188372337,0.443305336,0.346712834,0.449832942,0.467026904,0.290553522,0.389260591,0.412245851,0.388009154,
39,X1049,0.342003709,0.488362517,0.330960528,0.341832165,0.290164523,0.459469908,0.513810936,0.446971193,0.409992492,0.450882148,0.407445012,
40,X1050,0.476102512,0.437819667,0.565473923,0.390946878,0.474663708,0.501863254,0.553114149,0.404868636,0.507912991,0.526724398,0.483949011,
41,X1052,0.429701681,0.036882499,0.378348359,0.430193033,0.350306896,0.26749151,0.255386737,0.266039192,0.454197145,0.337719563,0.320626661,
42,X1053,0.422634048,0.465367767,0.462820718,0.476605498,0.293211455,0.434787538,0.265283687,0.438209927,0.313332887,0.33315429,0.390540781,
43,X1054,0.517616152,0.38127851,0.277004229,0.35428314,0.49380329,0.317010319,0.427614989,0.534727024,0.443255688,0.372607851,0.411920119,
44,X1057,0.329778309,0.322129572,0.489949361,0.462253343,0.190514662,0.224668671,0.352784703,0.424084543,0.300578572,0.43350036,0.35302421,
45,X1058,0.173124777,0.1364906,0.213080831,0.306722526,0.273985289,0.440264815,0.407985482,0.422148983,0.339918782,0.296520784,0.301024287,
46,X1059,0.513838269,0.420732376,0.596027632,0.503193682,0.518152341,0.487082792,0.623563461,0.592276561,0.560069573,0.36200455,0.517694124,
47,X1060,0.399183811,0.535831465,0.264543778,0.406323036,0.358928797,0.410932344,0.334280637,0.450271658,0.400956748,0.233562613,0.379481488,
48,X1061,0.340298815,0.415641539,0.270643339,0.420400415,0.42401783,0.438351582,0.406911625,0.351628747,0.266567647,0.170531621,0.350499316,
49,X1062,0.53049175,0.393316936,0.461834584,0.524004229,0.520903162,0.297054235,0.246778992,0.399210431,0.349270024,0.384123237,0.410698758,
50,X1066,0.343553004,0.450151843,0.283394426,0.403643915,0.277298387,0.297953761,0.320782571,0.424833282,0.221908005,0.518108297,0.354162749,
51,X1067,0.489753104,0.391823832,0.367669985,0.487283998,0.437938803,0.408824083,0.347941122,0.452568503,0.212963991,0.357673341,0.395444076,
52,X1069,0.296075229,0.373196857,0.348520141,0.342471171,0.472939063,0.3207648,0.262034513,0.41916677,0.278437738,0.334878952,0.344848523,
53,X1072,0.2553391,0.308081628,0.320231959,0.274946634,0.261575237,0.366839806,0.351854792,0.304902379,0.299042441,0.438680563,0.318149454,
54,X1091,0.408567602,0.177103704,0.440229292,0.222018022,0.261594375,0.31806776,0.252109528,0.42260597,0.293996849,0.33536264,0.313165574,
55,X11,0.590693819,0.642687435,0.627871405,0.510155373,0.524256821,0.619580049,0.589775071,0.585258874,0.256755961,0.640741525,0.558777633,
56,X110,0.430092523,0.452223956,0.464568103,0.627978963,0.554610612,0.163775692,0.577240201,0.514618566,0.524510905,0.580097363,0.488971688,
57,X111,0.539344977,0.426528201,0.213326053,0.642289594,0.495030702,0.385098992,0.247531238,0.687382038,0.495131796,0.625503024,0.475716662,
58,X1129,0.329436879,0.447978331,0.214822712,0.464937959,0.473923325,0.252120352,0.381651738,0.416182921,0.384659806,0.291488464,0.365720249,
59,X1133,0.296119232,0.374418412,0.362354834,0.316791358,0.432262083,0.158168714,0.401901784,0.429301548,0.348844717,0.339800528,0.345996321,
60,X1164,0.659077881,0.588204933,0.280180414,0.343227797,0.39597753,0.417561444,0.450187305,0.356985408,0.321538282,0.496723516,0.430966451,
61,X1170,0.586902603,0.580202464,0.459187613,0.469466993,0.423268309,0.495129797,0.495955963,0.5656343,0.458645819,0.45334836,0.498774222,
62,X1175,0.476926438,0.475981914,0.394904358,0.39706364,0.32261641,0.500233864,0.450482784,0.497636204,0.538343432,0.189855329,0.424404437,
63,X119,0.272824628,0.445379,0.565847946,0.213324721,0.326144291,-0.044015652,-0.164592042,0.465607815,0.391810646,0.394026973,0.286635833,
64,X1192,0.405415461,0.403645852,0.25986496,0.317768766,0.393693042,0.351898393,0.344750811,0.418711605,0.48106719,0.25225673,0.362907281,
65,X1194,0.513493936,0.379505832,0.507381765,0.494517911,0.536519638,0.414637251,0.273452194,0.401767501,0.415873367,0.478389815,0.441553921,
66,X1199,0.466071937,0.535631577,0.380594691,0.565425963,0.583608116,0.306468261,0.452267927,0.628110996,0.597505502,0.598470593,0.511415556,
67,X1218,0.221055689,0.443332945,0.416651915,0.437800489,0.335041113,0.436226574,0.17915223,0.371222994,0.551089127,0.449803237,0.384137631,
68,X1219,0.388737935,0.387571501,0.480047459,0.533922701,0.259374302,0.415588643,0.452562416,0.505709497,0.641182791,0.55918753,0.462388477,
69,X1230,0.396415854,0.238476731,0.346942948,0.35165834,0.470803213,0.527089061,0.406376389,0.116085239,0.361880164,0.425367016,0.364109496,
70,X1236,0.299024742,0.481490852,0.528886824,0.411239992,0.467410333,0.377811402,0.443871305,0.568570447,0.442861257,0.445727786,0.446689494,
71,X1239,0.581010135,0.642943562,0.471760735,0.451819043,0.516631179,0.475398758,0.570807185,0.609755571,0.61913707,0.471150797,0.541041403,
72,X1241,0.436391074,0.382342581,0.543905854,0.314205584,0.45296618,0.155902521,0.452706643,0.374537197,0.3966517,0.533051426,0.404266076,
73,X1242,0.401991546,0.499539462,0.591767937,0.564663103,0.476799991,0.514852393,0.621833206,0.43323394,0.416811851,0.470119917,0.499161334,
74,X1243,0.562478245,0.43299356,0.57683634,0.576199753,0.352944331,0.475949586,0.607884845,0.495589426,0.476273149,0.652160142,0.520930938,
75,X1248,0.343018652,0.652517861,0.374979167,0.465137319,0.500588099,0.385134047,0.560344824,0.289670523,0.408475184,0.436998977,0.441686465,
76,X1259,0.350626538,0.389213391,0.402559127,0.342869477,0.482179871,0.588264693,0.491551784,0.360342854,0.208700262,0.485780687,0.410208868,
77,X1262,0.482114648,0.55194571,0.461030045,0.393082877,0.493649856,0.584262065,0.438634479,0.494139026,0.589025129,0.584074307,0.507195814,
78,X1264,0.647205155,0.57810313,0.447882728,0.493440916,0.461453454,0.61392952,0.59155264,0.437643777,0.455850311,0.544530839,0.527159247,
79,X1268,0.175740842,0.297094356,0.379697727,0.222054364,0.34041373,0.439372726,0.316216788,0.260620156,0.405388386,0.297388957,0.313398803,
80,X127,0.277091709,0.376935663,0.4633453,0.722075061,0.359622412,0.482449166,0.351828795,0.384230183,0.48222919,0.280719706,0.418052718,
81,X133,0.701045544,0.665240078,0.607492068,0.577451397,0.651900672,0.702358102,0.71235206,0.665296087,0.596912302,0.617770247,0.649781856,
