"","drugs.i.","a"
"3","X1",-0.0698348319202012
"4","X1001",0.247467083246145
"5","X1003",0.560360513421768
"6","X1004",0.579455815299572
"7","X1006",0.452540934040113
"8","X1007",0.3457149013862
"9","X1008",0.338042661077846
"10","X1009",0.408637916228695
"11","X1010",0.581097898709845
"12","X1011",0.195121655626648
"13","X1012",0.489585586810926
"14","X1013",0.540315800427801
"15","X1014",0.72972443761686
"16","X1015",0.74153497434278
"17","X1016",0.241676414046181
"18","X1017",0.658042850494878
"19","X1018",0.495530965371897
"20","X1019",0.363777926101938
"21","X1020",0.548624986734001
"22","X1021",0.57611621523329
"23","X1022",0.617684293801709
"24","X1023",0.220351142613865
"25","X1024",0.53936966059472
"26","X1025",0.402704310500189
"27","X1026",0.0710326642816903
"28","X1028",0.510076269095507
"29","X1029",0.244978824099556
"30","X1030",0.705162916338972
"31","X1031",0.253705486069087
"32","X1032",0.494132219259694
"33","X1033",0.452462525073422
"34","X1036",0.489218702343727
"35","X1038",0.458787340737076
"36","X1039",0.414609826096237
"37","X104",0.212400279709861
"38","X1042",0.0831136776277708
"39","X1043",0.297885080854438
"40","X1047",0.455853867411432
"41","X1049",0.395093767429799
"42","X1050",0.550243727162294
"43","X1052",0.333957879573636
"44","X1053",0.265011525392924
"45","X1054",0.307862808305951
"46","X1057",0.184887197473167
"47","X1058",0.537369670525382
"48","X1059",0.482283674348353
"49","X1060",0.736293885401206
"50","X1061",0.384184514067316
"51","X1062",0.40869983889791
"52","X1066",0.373174914928879
"53","X1067",0.320327198543987
"54","X1069",0.387663685031695
"55","X1072",0.250989033380548
"56","X1091",0.413776882828273
"57","X11",0.721001394218952
"58","X110",0.20722133251401
"59","X111",0.340023052934116
"60","X1129",0.21752487066603
"61","X1133",0.265470142733783
"62","X1164",0.349677049158851
"63","X1170",0.418609940011711
"64","X1175",0.4995466165851
"65","X119",0.339231661181724
"66","X1192",0.270485510377141
"67","X1194",0.4182821960078
"68","X1199",0.379600348245202
"69","X1218",0.291651164777924
"70","X1219",0.416857142006145
"71","X1230",0.528415636937089
"72","X1236",0.433584226211604
"73","X1239",0.284400668253563
"74","X1241",0.204127238120366
"75","X1242",0.403322481845063
"76","X1243",0.469954203520114
"77","X1248",0.519765676814974
"78","X1259",0.43748073844853
"79","X1262",0.567193155850132
"80","X1264",0.504519159933735
"81","X1268",0.375699755813346
"82","X127",0.469149686413902
"83","X133",0.672301335613193
"84","X134",0.595199679120615
"85","X135",0.392650789114795
"86","X136",0.554832252108128
"87","X1371",0.450635559884577
"88","X1372",0.462007989022881
"89","X1373",0.341081552242668
"90","X1375",0.478751766655069
"91","X1377",0.697005184362805
"92","X140",0.469693801738072
"93","X147",0.284114404370375
"94","X1494",0.628390156905837
"95","X1495",0.608645655627736
"96","X1498",0.499187970422032
