,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.057421428,0.180145555,-0.083128988,0.327646281,0.268489797,-0.069834832,0.252432738,0.139598437,0.300120745,-0.316611319,0.105627984,0.455815234
2,X1001,0.378409849,0.363890255,0.394622148,0.382863667,0.184568449,0.247467083,0.311351288,0.239615722,0.236610871,0.409977811,0.314937714,
3,X1003,0.683393119,0.714094684,0.556632998,0.669954512,0.65716532,0.560360513,0.601783021,0.619965674,0.533062954,0.710046711,0.630645951,
4,X1004,0.457982145,0.587618185,0.444050995,0.614837554,0.628154088,0.579455815,0.507589147,0.615599818,0.509404634,0.510957925,0.545565031,
5,X1006,0.473225578,0.190976441,0.381512445,0.45232723,0.305119476,0.452540934,0.300316087,0.340925587,0.283995948,0.321615319,0.350255504,
6,X1007,0.516648592,0.473696523,0.485586267,0.325347884,0.228043889,0.345714901,0.475829971,0.494112727,0.23422059,0.500465034,0.407966638,
7,X1008,0.477929674,0.491449005,0.434523072,0.388232971,0.503443906,0.338042661,0.542200664,0.549508987,0.501299375,0.540263319,0.476689364,
8,X1009,0.448084702,0.47223869,0.321805722,0.44862206,0.229174285,0.408637916,0.393818282,0.390598582,0.329100881,0.501657782,0.39437389,
9,X1010,0.449075234,0.53199607,0.430983689,0.433899826,0.525475473,0.581097899,0.505569052,0.487169673,0.321050555,0.590273546,0.485659102,
10,X1011,0.124953081,0.139676587,0.231402428,0.154465122,0.447854705,0.195121656,0.178680349,0.290655124,0.146692837,0.237376516,0.21468784,
11,X1012,0.553603697,0.533817575,0.565358451,0.401309326,0.382987566,0.489585587,0.408636839,0.379907731,0.450160024,0.461521211,0.462688801,
12,X1013,0.588550338,0.580897014,0.534328831,0.593084568,0.582519671,0.5403158,0.62685589,0.391329624,0.529754548,0.612769048,0.558040533,
13,X1014,0.818609375,0.795002519,0.84594212,0.765060853,0.740944943,0.729724438,0.819630141,0.836312446,0.803965877,0.8321727,0.798736541,
14,X1015,0.764028593,0.704945587,0.754121805,0.700157142,0.695836117,0.741534974,0.720460195,0.645734587,0.690690969,0.825588295,0.724309827,
15,X1016,0.241047056,0.428027886,0.227635453,0.140403559,0.354918042,0.241676414,0.392257159,0.402839534,0.384044409,0.028556262,0.284140577,
16,X1017,0.587083355,0.674198816,0.594303256,0.658874363,0.6421656,0.65804285,0.6174638,0.6092169,0.58207749,0.63437861,0.625780504,
17,X1018,0.257348275,0.397016946,0.414841503,0.563215321,0.417966718,0.495530965,0.576000012,0.511689626,0.521824625,0.440107902,0.459554189,
18,X1019,0.337021814,0.322722322,0.534489695,0.539941247,0.14153377,0.363777926,0.376694392,0.422269238,0.357369845,0.322521646,0.371834189,
19,X1020,0.629954115,0.643560478,0.413284775,0.563964636,0.42116486,0.548624987,0.522264421,0.526893752,0.273995445,0.546671664,0.509037913,
20,X1021,0.457527463,0.513205323,0.470276613,0.531250878,0.433831178,0.576116215,0.491364962,0.473561038,0.52371292,0.577770873,0.504861746,
21,X1022,0.4345092,0.667551169,0.515107269,0.614727445,0.537254866,0.617684294,0.544285415,0.563982915,0.265510512,0.418360168,0.517897325,
