"","X","DRUG_ID","COSMIC_ID","IC50_Normal","dd_predict...2.","dd_real...2."
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",1,"X1014",683665,-0.367381330864354,-0.309443020233575,-0.367381330864354
"4",2,"X1020",683665,0.640919824890641,-0.355924069038711,0.640919824890641
"5",3,"X1030",683665,0.179344986054263,-0.368137266425747,0.179344986054263
"6",4,"X1033",683665,0.87824491083092,0.461684704251843,0.87824491083092
"7",5,"X1043",683665,0.562383766331385,-0.255708321423642,0.562383766331385
"8",6,"X1054",683665,-0.513376418421556,-0.846462761761001,-0.513376418421556
"9",7,"X1236",683665,0.0731088583694594,-0.318842602806615,0.0731088583694594
"10",8,"X1243",683665,-0.351858542634477,-0.477668481908023,-0.351858542634477
"11",9,"X127",683665,0.384764649251851,-0.373770949579058,0.384764649251851
"12",10,"X135",683665,-2.3895267481403,-0.62993908117476,-2.3895267481403
"13",11,"X166",683665,-0.353497219551557,-0.355171441290247,-0.353497219551557
"14",12,"X176",683665,-0.129567350253154,0.0415781647522047,-0.129567350253154
"15",13,"X185",683665,-0.0148816369861376,-0.779461774620039,-0.0148816369861376
"16",14,"X230",683665,0.742244403808241,-0.758040753119472,0.742244403808241
"17",15,"X260",683665,-0.300065137857261,-0.120948836596268,-0.300065137857261
"18",16,"X272",683665,-1.55393292791528,-0.601631621573003,-1.55393292791528
"19",17,"X274",683665,-1.28969464001721,-0.107875643424164,-1.28969464001721
"20",18,"X306",683665,-0.989244962053362,0.158789648910034,-0.989244962053362
"21",19,"X52",683665,0.133133092436303,0.0742752163145637,0.133133092436303
"22",1,"X1004",683667,-2.7294886071226,-1.41593568250668,-2.7294886071226
"23",2,"X1007",683667,-3.10415374059403,-1.51612664350188,-3.10415374059403
"24",3,"X1017",683667,0.0477470177765932,-0.471615047445348,0.0477470177765932
"25",4,"X1021",683667,-0.4758545006574,-0.0546471489799146,-0.4758545006574
"26",5,"X1033",683667,0.912315852380125,0.299103911968219,0.912315852380125
"27",6,"X1059",683667,-0.844874455148524,-0.0342090434900528,-0.844874455148524
"28",7,"X133",683667,-1.14086848673624,-0.334312618687658,-1.14086848673624
