"","x"
"1",1
"2",0
"3",0
"4",11
"5",5
"6",11
"7",3
"8",3
"9",0
"10",5
"11",0
"12",8
"13",8
"14",0
"15",0
"16",19
"17",3
"18",27
"19",0
"20",9
"21",1
"22",3
"23",6
"24",6
"25",0
"26",2
"27",1
"28",4
"29",11
"30",18
"31",4
"32",4
"33",13
"34",18
"35",1
"36",1
"37",1
"38",4
"39",5
"40",0
"41",22
"42",29
"43",1
"44",27
"45",4
"46",0
"47",11
"48",8
"49",1
"50",4
"51",5
"52",22
"53",1
"54",0
"55",27
"56",2
"57",2
"58",70
"59",0
"60",17
"61",4
"62",15
"63",13
"64",0
"65",0
"66",62
"67",21
"68",0
"69",0
"70",37
"71",6
"72",1
"73",4
"74",0
"75",1
"76",0
"77",27
"78",11
"79",4
"80",3
"81",26
"82",21
"83",5
"84",40
"85",3
"86",3
"87",14
"88",4
"89",1
"90",0
"91",9
"92",17
"93",0
"94",8
"95",0
"96",3
"97",0
"98",27
"99",9
"100",0
"101",4
"102",26
"103",1
"104",1
"105",1
"106",0
"107",3
"108",0
"109",4
"110",16
"111",21
"112",7
"113",0
"114",0
"115",0
"116",2
"117",4
"118",0
"119",2
"120",11
"121",4
"122",7
"123",11
"124",1
"125",2
"126",1
"127",1
"128",0
"129",70
"130",0
"131",5
"132",2
"133",3
"134",4
"135",6
"136",0
"137",6
"138",0
"139",14
"140",0
"141",3
"142",7
"143",5
"144",3
"145",15
"146",19
"147",14
"148",5
"149",9
"150",16
"151",0
"152",11
"153",1
"154",0
"155",0
"156",0
"157",37
"158",18
"159",3
"160",0
"161",7
"162",0
"163",16
"164",7
"165",21
"166",2
"167",4
"168",0
"169",1
"170",37
"171",55
"172",0
"173",0
"174",2
"175",0
"176",11
"177",9
"178",19
"179",1
"180",1
"181",1
"182",48
"183",10
"184",2
"185",3
"186",4
"187",4
"188",2
"189",0
"190",2
"191",6
"192",12
"193",34
"194",0
"195",0
"196",19
"197",5
"198",0
"199",4
"200",3
"201",0
"202",13
"203",1
"204",1
"205",4
"206",71
"207",7
"208",3
"209",0
"210",4
"211",6
"212",9
"213",4
"214",13
"215",6
"216",1
"217",28
"218",3
"219",51
"220",2
"221",3
"222",9
"223",0
"224",4
"225",4
"226",44
"227",51
"228",3
"229",1
"230",10
"231",13
"232",27
"233",3
"234",13
"235",13
"236",2
"237",19
"238",34
"239",1
"240",1
"241",5
"242",19
"243",5
"244",0
"245",20
"246",57
"247",32
"248",8
"249",0
"250",0
"251",6
"252",5
"253",6
"254",12
"255",9
"256",8
"257",22
"258",9
"259",4
"260",48
"261",0
"262",19
"263",3
"264",2
"265",0
"266",1
"267",3
"268",0
"269",4
"270",1
"271",2
"272",34
"273",34
"274",3
"275",14
"276",2
"277",10
"278",22
"279",11
"280",62
"281",4
"282",0
"283",16
"284",26
"285",62
"286",0
"287",37
"288",5
"289",4
"290",18
"291",22
"292",9
"293",3
"294",10
"295",4
"296",0
"297",14
"298",2
"299",5
"300",3
"301",1
"302",11
"303",17
"304",4
"305",0
"306",5
"307",0
"308",1
"309",3
"310",1
"311",4
"312",0
"313",1
"314",0
"315",0
"316",51
"317",0
"318",2
"319",5
"320",22
"321",0
"322",0
"323",4
"324",4
"325",0
"326",6
"327",5
"328",0
"329",1
"330",0
"331",10
"332",8
"333",23
"334",0
"335",3
"336",2
"337",3
"338",3
"339",3
"340",33
"341",5
"342",28
"343",5
"344",53
"345",6
"346",60
"347",0
"348",0
"349",3
"350",8
"351",1
"352",1
"353",51
"354",1
"355",19
"356",0
"357",5
"358",2
"359",5
"360",4
"361",0
"362",4
"363",6
"364",19
"365",13
"366",0
"367",3
"368",1
"369",2
"370",0
"371",1
"372",2
"373",0
"374",4
"375",4
"376",2
"377",3
"378",0
"379",0
"380",2
"381",8
"382",25
"383",6
"384",3
"385",59
"386",3
"387",7
"388",18
"389",14
"390",1
"391",0
"392",16
"393",2
"394",13
"395",0
"396",3
"397",11
"398",5
"399",18
"400",4
"401",2
"402",0
"403",5
"404",0
"405",17
"406",41
"407",0
"408",48
"409",1
"410",0
"411",43
"412",0
"413",53
"414",0
"415",23
"416",9
"417",29
"418",20
"419",0
"420",1
"421",28
"422",22
"423",11
"424",31
"425",0
"426",0
"427",0
"428",0
"429",0
"430",9
"431",4
"432",0
"433",1
"434",14
"435",5
"436",0
"437",3
"438",3
"439",0
"440",6
"441",2
"442",5
"443",0
"444",0
"445",0
"446",6
"447",11
"448",20
"449",1
"450",1
"451",1
"452",20
"453",6
"454",2
"455",0
"456",3
"457",29
"458",1
"459",11
"460",0
"461",1
"462",28
"463",41
"464",0
"465",0
"466",5
"467",11
"468",21
"469",0
"470",37
"471",20
"472",5
"473",1
"474",2
"475",3
"476",6
"477",11
"478",2
"479",5
"480",16
"481",3
"482",23
"483",10
"484",4
"485",13
"486",0
"487",3
"488",27
"489",5
"490",21
"491",0
"492",0
"493",0
"494",0
"495",41
"496",14
"497",4
"498",4
"499",64
"500",3
"501",0
"502",11
"503",0
"504",0
"505",21
"506",6
"507",0
"508",3
"509",5
"510",0
"511",9
"512",8
"513",1
"514",1
"515",8
"516",0
"517",0
"518",13
"519",12
"520",0
"521",4
"522",65
"523",0
"524",9
"525",2
"526",0
"527",34
"528",0
"529",0
"530",0
"531",4
"532",1
"533",26
"534",1
"535",48
"536",10
"537",9
"538",14
"539",11
"540",0
"541",6
"542",45
"543",6
"544",15
"545",0
"546",13
"547",3
"548",43
"549",53
"550",0
"551",0
"552",5
"553",47
"554",17
"555",59
"556",0
"557",37
"558",13
"559",0
"560",6
"561",41
"562",21
"563",26
"564",20
"565",14
"566",34
"567",21
"568",23
"569",4
"570",7
"571",0
"572",39
"573",5
"574",4
"575",3
"576",50
"577",7
"578",0
"579",1
"580",6
"581",0
"582",4
"583",0
"584",9
"585",34
"586",13
"587",0
"588",0
"589",3
"590",9
"591",4
"592",13
"593",42
"594",6
"595",0
"596",23
"597",15
"598",0
"599",35
"600",1
"601",45
"602",0
"603",47
"604",3
"605",1
"606",5
"607",0
"608",0
"609",3
"610",55
"611",26
"612",1
"613",0
"614",7
"615",50
"616",3
"617",0
"618",7
"619",39
"620",0
"621",3
"622",8
"623",1
"624",11
"625",1
"626",1
"627",1
"628",4
"629",0
"630",65
"631",3
"632",0
"633",9
"634",4
"635",5
"636",2
"637",6
"638",45
"639",14
"640",4
"641",3
"642",0
"643",13
"644",11
"645",44
"646",7
"647",14
"648",0
"649",5
"650",3
"651",0
"652",1
"653",7
"654",0
"655",42
"656",45
"657",4
"658",3
"659",14
"660",6
"661",0
"662",5
"663",3
"664",10
"665",4
"666",0
"667",13
"668",29
"669",0
"670",17
"671",3
"672",0
"673",16
"674",3
"675",5
