"","pathways","Freq"
"1","GO:0000018",2
"2","GO:0000054",1
"3","GO:0000075",1
"4","GO:0000082",1
"5","GO:0000086",1
"6","GO:0000226",1
"7","GO:0000245",1
"8","GO:0000302",1
"9","GO:0000460",1
"10","GO:0000819",1
"11","GO:0000920",1
"12","GO:0000959",1
"13","GO:0001325",1
"14","GO:0001508",2
"15","GO:0001523",1
"16","GO:0001541",2
"17","GO:0001654",1
"18","GO:0001656",1
"19","GO:0001657",1
"20","GO:0001658",1
"21","GO:0001704",1
"22","GO:0001774",1
"23","GO:0001818",1
"24","GO:0001894",1
"25","GO:0001895",1
"26","GO:0001909",1
"27","GO:0001947",1
"28","GO:0001958",1
"29","GO:0001960",1
"30","GO:0001977",1
"31","GO:0002027",1
"32","GO:0002070",1
"33","GO:0002200",1
"34","GO:0002204",1
"35","GO:0002208",1
"36","GO:0002228",1
"37","GO:0002230",1
"38","GO:0002279",2
"39","GO:0002283",1
"40","GO:0002312",1
"41","GO:0002320",1
"42","GO:0002323",1
"43","GO:0002367",3
"44","GO:0002374",1
"45","GO:0002381",1
"46","GO:0002440",1
"47","GO:0002446",1
"48","GO:0002448",3
"49","GO:0002449",1
"50","GO:0002521",1
"51","GO:0002551",1
"52","GO:0002562",1
"53","GO:0002566",1
"54","GO:0002637",1
"55","GO:0002639",1
"56","GO:0002683",2
"57","GO:0002690",1
"58","GO:0002695",1
"59","GO:0002697",2
"60","GO:0002698",2
"61","GO:0002699",1
"62","GO:0002700",2
"63","GO:0002701",1
"64","GO:0002702",2
"65","GO:0002708",1
"66","GO:0002712",1
"67","GO:0002714",1
"68","GO:0002718",2
"69","GO:0002719",1
"70","GO:0002720",1
"71","GO:0002739",1
"72","GO:0002791",3
"73","GO:0002792",1
"74","GO:0002821",1
"75","GO:0002824",1
"76","GO:0002831",1
"77","GO:0002832",1
"78","GO:0002886",1
"79","GO:0002889",1
"80","GO:0002891",1
"81","GO:0003007",1
"82","GO:0003012",1
"83","GO:0003013",2
"84","GO:0003015",1
"85","GO:0003071",1
"86","GO:0003093",1
"87","GO:0003094",1
"88","GO:0003143",1
"89","GO:0003352",1
"90","GO:0005980",1
"91","GO:0006026",1
"92","GO:0006027",1
"93","GO:0006029",1
"94","GO:0006066",1
"95","GO:0006206",1
"96","GO:0006213",1
"97","GO:0006220",1
"98","GO:0006244",1
"99","GO:0006260",1
"100","GO:0006261",1
"101","GO:0006270",1
"102","GO:0006275",1
"103","GO:0006284",1
"104","GO:0006285",1
"105","GO:0006302",1
"106","GO:0006310",1
"107","GO:0006333",1
"108","GO:0006364",1
"109","GO:0006403",2
"110","GO:0006405",2
"111","GO:0006406",2
"112","GO:0006409",2
"113","GO:0006413",2
"114","GO:0006417",1
"115","GO:0006446",2
"116","GO:0006465",1
"117","GO:0006470",1
"118","GO:0006479",1
"119","GO:0006505",1
"120","GO:0006506",1
"121","GO:0006582",2
"122","GO:0006584",1
"123","GO:0006590",2
"124","GO:0006611",2
"125","GO:0006626",1
"126","GO:0006638",2
"127","GO:0006639",2
"128","GO:0006641",2
"129","GO:0006644",3
"130","GO:0006650",3
"131","GO:0006654",1
"132","GO:0006656",1
"133","GO:0006687",1
"134","GO:0006695",1
"135","GO:0006720",1
"136","GO:0006721",1
"137","GO:0006735",1
"138","GO:0006749",1
"139","GO:0006813",1
"140","GO:0006814",2
"141","GO:0006816",2
"142","GO:0006817",1
"143","GO:0006855",1
"144","GO:0006862",1
"145","GO:0006869",1
"146","GO:0006874",1
"147","GO:0006875",1
"148","GO:0006893",1
"149","GO:0006936",1
"150","GO:0006937",1
"151","GO:0006941",2
"152","GO:0006942",1
"153","GO:0006957",1
"154","GO:0006983",1
"155","GO:0006984",1
"156","GO:0006986",1
"157","GO:0006997",1
"158","GO:0006998",1
"159","GO:0006999",1
"160","GO:0007018",1
"161","GO:0007059",1
"162","GO:0007062",1
"163","GO:0007067",2
"164","GO:0007077",2
"165","GO:0007080",1
"166","GO:0007099",1
"167","GO:0007176",1
"168","GO:0007204",1
"169","GO:0007205",1
"170","GO:0007210",1
"171","GO:0007249",1
"172","GO:0007252",1
"173","GO:0007260",1
"174","GO:0007272",1
"175","GO:0007292",1
"176","GO:0007422",1
"177","GO:0007431",1
"178","GO:0007435",1
"179","GO:0007507",1
"180","GO:0007584",1
"181","GO:0007586",1
"182","GO:0007596",1
"183","GO:0007599",1
"184","GO:0007608",2
"185","GO:0007616",1
"186","GO:0007625",1
"187","GO:0007628",1
"188","GO:0007632",1
"189","GO:0008015",2
"190","GO:0008016",1
"191","GO:0008045",1
"192","GO:0008156",1
"193","GO:0008202",1
"194","GO:0008203",1
"195","GO:0008211",1
"196","GO:0008213",1
"197","GO:0008228",1
"198","GO:0008306",1
"199","GO:0008333",1
"200","GO:0008360",1
"201","GO:0008366",1
"202","GO:0008542",1
"203","GO:0008544",1
"204","GO:0008585",1
"205","GO:0008593",1
"206","GO:0008625",1
"207","GO:0008643",1
"208","GO:0008645",1
"209","GO:0008654",3
"210","GO:0008655",1
"211","GO:0009112",1
"212","GO:0009163",1
"213","GO:0009164",1
"214","GO:0009166",1
"215","GO:0009219",1
"216","GO:0009223",1
"217","GO:0009247",1
"218","GO:0009251",1
"219","GO:0009262",1
"220","GO:0009264",1
"221","GO:0009266",1
"222","GO:0009306",3
"223","GO:0009394",1
"224","GO:0009395",1
"225","GO:0009408",1
"226","GO:0009615",1
"227","GO:0009620",1
"228","GO:0009712",1
"229","GO:0009713",1
"230","GO:0009755",1
"231","GO:0009896",1
"232","GO:0009913",1
"233","GO:0009914",2
"234","GO:0009991",1
"235","GO:0010001",1
"236","GO:0010463",1
"237","GO:0010466",1
"238","GO:0010470",1
"239","GO:0010501",1
"240","GO:0010517",1
"241","GO:0010518",1
"242","GO:0010522",1
"243","GO:0010528",1
"244","GO:0010529",1
"245","GO:0010591",1
"246","GO:0010608",1
"247","GO:0010623",1
"248","GO:0010640",1
"249","GO:0010644",1
"250","GO:0010761",1
"251","GO:0010762",1
"252","GO:0010763",1
"253","GO:0010766",1
"254","GO:0010803",1
"255","GO:0010804",2
"256","GO:0010817",2
"257","GO:0010821",1
"258","GO:0010822",1
"259","GO:0010824",1
"260","GO:0010827",2
"261","GO:0010837",1
"262","GO:0010863",1
"263","GO:0010872",1
"264","GO:0010876",1
"265","GO:0010880",1
"266","GO:0010881",1
"267","GO:0010882",1
"268","GO:0010896",1
"269","GO:0010927",2
"270","GO:0010934",1
"271","GO:0010935",1
"272","GO:0010951",1
"273","GO:0010952",1
"274","GO:0010959",1
"275","GO:0010971",1
"276","GO:0010998",1
"277","GO:0014037",1
"278","GO:0014044",1
"279","GO:0014068",1
"280","GO:0014074",1
"281","GO:0014808",1
"282","GO:0015074",1
"283","GO:0015698",1
"284","GO:0015711",3
"285","GO:0015721",1
"286","GO:0015747",1
"287","GO:0015748",2
"288","GO:0015749",1
"289","GO:0015758",1
"290","GO:0015791",1
"291","GO:0015849",2
"292","GO:0015850",1
"293","GO:0015865",1
"294","GO:0015867",1
"295","GO:0015868",1
"296","GO:0015893",1
"297","GO:0015914",1
"298","GO:0015918",1
"299","GO:0015931",2
"300","GO:0016024",1
"301","GO:0016042",1
"302","GO:0016072",2
"303","GO:0016101",1
"304","GO:0016125",1
"305","GO:0016126",1
"306","GO:0016254",1
"307","GO:0016338",1
"308","GO:0016444",1
"309","GO:0016445",1
"310","GO:0016446",1
"311","GO:0016447",1
"312","GO:0016458",2
"313","GO:0016556",1
"314","GO:0016570",1
"315","GO:0016571",1
"316","GO:0016925",2
"317","GO:0017145",1
"318","GO:0017187",1
"319","GO:0018022",1
"320","GO:0018027",1
"321","GO:0018108",2
"322","GO:0018146",1
"323","GO:0018200",2
"324","GO:0018205",2
"325","GO:0018206",1
"326","GO:0018212",2
"327","GO:0018214",1
"328","GO:0018958",2
"329","GO:0019058",1
"330","GO:0019068",1
"331","GO:0019076",1
"332","GO:0019079",1
"333","GO:0019080",1
"334","GO:0019083",1
"335","GO:0019216",1
"336","GO:0019217",1
"337","GO:0019218",1
"338","GO:0019226",1
"339","GO:0019228",1
"340","GO:0019336",1
