From	To
ENSG00000103326	6650
ENSG00000126773	64430
ENSG00000170619	28991
ENSG00000126775	22863
ENSG00000183878	7404
ENSG00000170613	153745
ENSG00000159692	1487
ENSG00000126777	3895
ENSG00000126778	6495
ENSG00000170615	375611
ENSG00000156973	5147
ENSG00000151247	1977
ENSG00000183888	149563
ENSG00000198324	144717
ENSG00000151240	22982
ENSG00000156976	100302143
ENSG00000103335	100616167
ENSG00000196092	5079
ENSG00000196091	4604
ENSG00000196090	11122
ENSG00000126785	57381
ENSG00000170608	3171
ENSG00000124523	23408
ENSG00000170605	441639
ENSG00000170606	3308
ENSG00000170604	26145
ENSG00000126787	9787
ENSG00000068438	24140
ENSG00000156983	7862
ENSG00000157423	54768
ENSG00000077616	10003
ENSG00000159685	84303
ENSG00000226210	100288778
ENSG00000152700	51128
ENSG00000198315	7745
ENSG00000119487	79109
ENSG00000157426	132949
ENSG00000183891	130502
ENSG00000196099	390261
ENSG00000126759	5199
ENSG00000103342	2935
ENSG00000170634	98
ENSG00000062716	406991
ENSG00000126756	8409
ENSG00000170638	80305
ENSG00000126752	6756
ENSG00000076513	88455
ENSG00000078898	80341
ENSG00000151229	114134
ENSG00000159674	10417
ENSG00000151224	4143
ENSG00000119471	84263
ENSG00000196083	3556
ENSG00000215021	11331
ENSG00000156959	375323
ENSG00000198301	55153
ENSG00000141736	2064
ENSG00000156958	2585
ENSG00000196071	284521
ENSG00000124507	29993
ENSG00000124508	10385
ENSG00000103353	56061
ENSG00000103356	124454
ENSG00000215018	340267
ENSG00000103355	260429
ENSG00000126767	2002
ENSG00000011201	3730
ENSG00000126768	10245
ENSG00000062725	10513
ENSG00000170624	6444
ENSG00000170629	349152
ENSG00000170627	121355
ENSG00000151239	5756
ENSG00000140153	91833
ENSG00000170633	80196
ENSG00000170632	83787
ENSG00000151233	283464
ENSG00000170631	7564
ENSG00000188803	388336
ENSG00000157404	3815
ENSG00000103351	23059
ENSG00000156966	93010
ENSG00000196074	10388
ENSG00000196072	282991
ENSG00000188800	127391
ENSG00000140157	81614
ENSG00000124557	696
ENSG00000157470	145773
ENSG00000119457	57864
ENSG00000182393	282618
ENSG00000182397	196968
ENSG00000125285	11166
ENSG00000124568	6568
ENSG00000151208	9231
ENSG00000124562	6631
ENSG00000170647	83935
ENSG00000124564	10786
ENSG00000119446	92400
ENSG00000174099	253827
ENSG00000170653	11016
ENSG00000155495	9947
ENSG00000124535	56897
ENSG00000157450	54778
ENSG00000152705	347732
ENSG00000124532	57380
ENSG00000125266	1948
ENSG00000068400	56850
ENSG00000077684	79960
