"","x"
"1","GO:0000018"
"2","GO:0000054"
"3","GO:0000075"
"4","GO:0000082"
"5","GO:0000086"
"6","GO:0000226"
"7","GO:0000245"
"8","GO:0000302"
"9","GO:0000460"
"10","GO:0000819"
"11","GO:0000920"
"12","GO:0000959"
"13","GO:0001325"
"14","GO:0001508"
"15","GO:0001523"
"16","GO:0001541"
"17","GO:0001654"
"18","GO:0001656"
"19","GO:0001657"
"20","GO:0001658"
"21","GO:0001704"
"22","GO:0001774"
"23","GO:0001818"
"24","GO:0001894"
"25","GO:0001895"
"26","GO:0001909"
"27","GO:0001947"
"28","GO:0001958"
"29","GO:0001960"
"30","GO:0001977"
"31","GO:0002027"
"32","GO:0002070"
"33","GO:0002200"
"34","GO:0002204"
"35","GO:0002208"
"36","GO:0002228"
"37","GO:0002230"
"38","GO:0002279"
"39","GO:0002283"
"40","GO:0002312"
"41","GO:0002320"
"42","GO:0002323"
"43","GO:0002367"
"44","GO:0002374"
"45","GO:0002381"
"46","GO:0002440"
"47","GO:0002446"
"48","GO:0002448"
"49","GO:0002449"
"50","GO:0002521"
"51","GO:0002551"
"52","GO:0002562"
"53","GO:0002566"
"54","GO:0002637"
"55","GO:0002639"
"56","GO:0002683"
"57","GO:0002690"
"58","GO:0002695"
"59","GO:0002697"
"60","GO:0002698"
"61","GO:0002699"
"62","GO:0002700"
"63","GO:0002701"
"64","GO:0002702"
"65","GO:0002708"
"66","GO:0002712"
"67","GO:0002714"
"68","GO:0002718"
"69","GO:0002719"
"70","GO:0002720"
"71","GO:0002739"
"72","GO:0002791"
"73","GO:0002792"
"74","GO:0002821"
"75","GO:0002824"
"76","GO:0002831"
"77","GO:0002832"
"78","GO:0002886"
"79","GO:0002889"
"80","GO:0002891"
"81","GO:0003007"
"82","GO:0003012"
"83","GO:0003013"
"84","GO:0003015"
"85","GO:0003071"
"86","GO:0003093"
"87","GO:0003094"
"88","GO:0003143"
"89","GO:0003352"
"90","GO:0005980"
"91","GO:0006026"
"92","GO:0006027"
"93","GO:0006029"
"94","GO:0006066"
"95","GO:0006206"
"96","GO:0006213"
"97","GO:0006220"
"98","GO:0006244"
"99","GO:0006260"
"100","GO:0006261"
"101","GO:0006270"
"102","GO:0006275"
"103","GO:0006284"
"104","GO:0006285"
"105","GO:0006302"
"106","GO:0006310"
"107","GO:0006333"
"108","GO:0006364"
"109","GO:0006403"
"110","GO:0006405"
"111","GO:0006406"
"112","GO:0006409"
"113","GO:0006413"
"114","GO:0006417"
"115","GO:0006446"
"116","GO:0006465"
"117","GO:0006470"
"118","GO:0006479"
"119","GO:0006505"
"120","GO:0006506"
"121","GO:0006582"
"122","GO:0006584"
"123","GO:0006590"
"124","GO:0006611"
"125","GO:0006626"
"126","GO:0006638"
"127","GO:0006639"
"128","GO:0006641"
"129","GO:0006644"
"130","GO:0006650"
"131","GO:0006654"
"132","GO:0006656"
"133","GO:0006687"
"134","GO:0006695"
"135","GO:0006720"
"136","GO:0006721"
"137","GO:0006735"
"138","GO:0006749"
"139","GO:0006813"
"140","GO:0006814"
"141","GO:0006816"
"142","GO:0006817"
"143","GO:0006855"
"144","GO:0006862"
"145","GO:0006869"
"146","GO:0006874"
"147","GO:0006875"
"148","GO:0006893"
"149","GO:0006936"
"150","GO:0006937"
"151","GO:0006941"
"152","GO:0006942"
"153","GO:0006957"
"154","GO:0006983"
"155","GO:0006984"
"156","GO:0006986"
"157","GO:0006997"
"158","GO:0006998"
"159","GO:0006999"
"160","GO:0007018"
"161","GO:0007059"
"162","GO:0007062"
"163","GO:0007067"
"164","GO:0007077"
"165","GO:0007080"
"166","GO:0007099"
"167","GO:0007176"
"168","GO:0007204"
"169","GO:0007205"
"170","GO:0007210"
"171","GO:0007249"
"172","GO:0007252"
"173","GO:0007260"
"174","GO:0007272"
"175","GO:0007292"
"176","GO:0007422"
"177","GO:0007431"
"178","GO:0007435"
"179","GO:0007507"
"180","GO:0007584"
"181","GO:0007586"
"182","GO:0007596"
"183","GO:0007599"
"184","GO:0007608"
"185","GO:0007616"
"186","GO:0007625"
"187","GO:0007628"
"188","GO:0007632"
"189","GO:0008015"
"190","GO:0008016"
"191","GO:0008045"
"192","GO:0008156"
"193","GO:0008202"
"194","GO:0008203"
"195","GO:0008211"
"196","GO:0008213"
"197","GO:0008228"
"198","GO:0008306"
"199","GO:0008333"
"200","GO:0008360"
"201","GO:0008366"
"202","GO:0008542"
"203","GO:0008544"
"204","GO:0008585"
"205","GO:0008593"
"206","GO:0008625"
"207","GO:0008643"
"208","GO:0008645"
"209","GO:0008654"
"210","GO:0008655"
"211","GO:0009112"
