"","x"
"1",-0.142885110262979
"2",-0.0503233874050096
"3",-0.259350758633466
"4",-0.112094418960271
"5",-0.0328105421034495
"6",-0.357332509227484
"7",-0.248581725789985
"8",-0.121417672848914
"9",-0.257709785015971
"10",-0.50298715769284
"11",-0.106095907580705
"12",-0.31022207817125
"13",-0.258776041115559
"14",0.036772842247264
"15",-0.250303844949788
"16",-0.205738427914049
"17",0.255345538175572
"18",-0.242780300294209
"19",-0.346877279977655
"20",-0.543138233825399
"21",-0.183919496267924
"22",-0.595398418446703
"23",-0.551796285161119
"24",-0.427037797179776
"25",-0.267988312781473
"26",-0.267988312781473
"27",-0.391860703668901
"28",-0.267988312781473
"29",-0.267988312781473
"30",-0.49809918788666
"31",-0.179368102276622
"32",-0.326728753852794
"33",-0.25852055066059
"34",-0.0487290647425492
