"","drugs.i.","a"
"3","X1",0.398372381743246
"4","X1001",0.423438380637682
"5","X1003",0.680248681371948
"6","X1004",0.589860704882921
"7","X1005",0.462744826834417
"8","X1006",0.590863223597533
"9","X1007",0.637702940972056
"10","X1008",0.433915121055748
"11","X1009",0.570505713153871
"12","X1010",0.425969572948639
"13","X1011",0.399595389197191
"14","X1012",0.662081435735404
"15","X1013",0.65993452729448
"16","X1014",0.355645382694067
"17","X1015",0.532769924737575
"18","X1016",0.283066172237356
"19","X1017",0.600602176677872
"20","X1018",0.403325961354818
"21","X1019",0.561298459678316
"22","X1020",0.720197133112525
"23","X1021",0.630180622666686
"24","X1022",0.576769427389318
"25","X1023",0.456067503524067
"26","X1024",0.685714997691046
"27","X1025",0.420800889406449
"28","X1026",0.283625915817662
"29","X1028",0.509184876764688
"30","X1029",0.402663510600227
"31","X1030",0.54258344195899
"32","X1031",0.163558857518636
"33","X1032",-0.0251325717084209
"34","X1033",0.656178907106176
"35","X1036",0.630066784283234
"36","X1037",0.619551477187011
"37","X1038",0.514673986910371
"38","X1039",0.520001363710829
"39","X104",0.630454502851252
"40","X1042",0.274795745533998
"41","X1043",0.584892562977534
"42","X1046",0.660440306643751
"43","X1047",0.521677593684119
"44","X1049",0.481939046272814
"45","X1050",0.597401116962358
"46","X1052",0.662101330667364
"47","X1053",0.387123204233179
"48","X1054",0.748310822988116
"49","X1057",0.508367091609619
"50","X1058",0.407472133121552
"51","X1059",0.557988503415464
"52","X106",0.390676627483232
"53","X1060",0.356488848945853
"54","X1061",0.426571194461044
"55","X1062",0.30980842565698
"56","X1066",0.321186024670379
"57","X1067",0.425923618045463
"58","X1069",0.371802521164779
"59","X1072",0.286013741702321
"60","X1091",0.5048565011054
"61","X11",0.593141953382419
"62","X110",0.384761201980454
"63","X111",0.634123073415483
"64","X1114",0.168418814618399
"65","X1129",0.407432660864322
"66","X1133",0.447307271895069
"67","X1142",0.803779146810934
"68","X1143",0.526262094524408
"69","X1149",0.467548130561107
"70","X1158",0.697363845872901
"71","X1161",0.590629866188897
"72","X1164",0.711886274822568
"73","X1166",0.59914590161039
"74","X1170",0.626711532882801
"75","X1175",0.559792705846834
"76","X119",0.376186479672888
"77","X1192",0.509101812503905
"78","X1194",0.57816894673435
"79","X1199",0.443758378349698
"80","X1203",0.598911451598397
"81","X1218",0.366026384189498
"82","X1219",0.704350478080457
"83","X1230",0.424363196286882
"84","X1236",0.33387983666894
"85","X1239",0.667829011501539
"86","X1241",0.48974654642962
"87","X1242",0.405358281621004
"88","X1243",0.532529755078481
"89","X1248",0.368507726332904
"90","X1259",0.670245687392125
"91","X1261",0.0514101294511254
"92","X1262",0.553662017832364
"93","X1264",0.625810426563235
"94","X1268",0.330769359265968
"95","X127",0.528672991743133
"96","X133",0.756315910232548
"97","X134",0.674832567531608
"98","X135",0.725681134823088
"99","X136",0.546280465720138
"100","X1371",0.489187638223276
"101","X1372",0.343215880188281
"102","X1373",0.291531204867076
"103","X1375",0.576542423244167
"104","X1377",0.18585957579859
"105","X1378",0.386846469803021
"106","X140",0.749341717434101
"107","X147",0.394745037554487
"108","X1494",0.436723723200907
"109","X1495",0.502600989213341
"110","X1498",0.279259172449196
"111","X150",0.432182136264266
"112","X1502",0.386451837537499
"113","X151",0.608249690375402
"114","X152",0.679252393819454
"115","X1526",0.209399930076924
"116","X1527",0.368595293772417
"117","X1529",0.637271557511075
"118","X153",0.493599549922828
"119","X154",0.379225572236678
"120","X155",0.522942841097885
"121","X156",0.574494469434166
"122","X157",0.555387497821066
"123","X158",0.577121277325761
"124","X159",0.656316373323308
"125","X163",0.407023287794886
"126","X164",0.458112555236278
"127","X165",0.451240872703623
"128","X166",0.494903829815959
"129","X167",0.687566499243431
"130","X17",0.508652582658282
"131","X170",0.566380074238552
"132","X171",0.572449817785955
"133","X172",0.520066866466826
"134","X173",0.397712537461769
"135","X175",0.682955037194885
"136","X176",0.56314897152519
