,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.398372382,0.523881981,0.354036081,0.650120866,0.566146389,0.419879506,0.572215257,0.495736671,0.266077724,0.282234771,0.452870163,0.573881021
2,X1001,0.423438381,0.451319772,0.55851688,0.417703819,0.501477528,0.303586018,0.427485107,0.568896817,0.300764004,0.555560668,0.450874899,
3,X1003,0.680248681,0.646736694,0.482897137,0.64078947,0.441098232,0.537364215,0.695178058,0.526072606,0.654220117,0.570674785,0.587527999,
4,X1004,0.589860705,0.66030159,0.572200932,0.429377183,0.644608687,0.601248378,0.674259075,0.681984895,0.714019438,0.67365252,0.62415134,
5,X1005,0.462744827,0.751279625,0.724004966,0.581266857,0.604849299,0.662306083,0.694836957,0.613027554,0.531863943,0.561894229,0.618807434,
6,X1006,0.590863224,0.537712209,0.640436814,0.633572294,0.634082634,0.603503218,0.50454567,0.628913649,0.382495816,0.531086706,0.568721223,
7,X1007,0.637702941,0.612874819,0.662553252,0.52304229,0.441589944,0.526830075,0.540970259,0.534669664,0.504871401,0.604439938,0.558954458,
8,X1008,0.433915121,0.474437921,0.407993277,0.364063303,0.527997096,0.340419274,0.419993153,0.505020077,0.497042889,0.498253971,0.446913608,
9,X1009,0.570505713,0.418570103,0.41432481,0.597544884,0.39080755,0.474928885,0.392188539,0.35020922,0.508621579,0.620507912,0.47382092,
10,X1010,0.425969573,0.368465316,0.396642151,0.242720698,0.397763972,0.143284553,0.363876112,0.32283994,0.339570363,0.447417963,0.344855064,
11,X1011,0.399595389,0.29626257,0.218242176,0.328232184,0.34885682,0.251324189,0.412187862,0.373283366,0.271591648,0.420196093,0.33197723,
12,X1012,0.662081436,0.566955466,0.656005427,0.593510459,0.429278105,0.466576087,0.677452392,0.462218132,0.676747489,0.63721628,0.582804127,
13,X1013,0.659934527,0.648071783,0.545516883,0.629177342,0.576112391,0.699177016,0.555572771,0.560777461,0.660576252,0.537723056,0.607263948,
14,X1014,0.355645383,0.286098363,0.346196902,0.420648573,0.183810149,0.299527676,0.410918148,0.379984553,0.44033442,0.290348192,0.341351236,
15,X1015,0.532769925,0.223356129,0.519204922,0.496539485,0.522693701,0.443365449,0.423543593,0.650756891,0.321412013,0.411528654,0.454517076,
16,X1016,0.283066172,0.639974704,0.475081903,0.421298976,0.489539016,0.507851398,0.58246771,0.475770584,0.504622505,0.43280851,0.481248148,
17,X1017,0.600602177,0.639727978,0.496180938,0.50503327,0.596556843,0.6586501,0.568699461,0.507717617,0.439128564,0.608309525,0.562060647,
18,X1018,0.403325961,0.583410432,0.442080819,0.552796103,0.536635208,0.601903654,0.687098413,0.574919687,0.537154767,0.625746964,0.554507201,
19,X1019,0.56129846,0.730480622,0.686681953,0.699098943,0.621275679,0.686958474,0.622819444,0.63813111,0.583114836,0.578168041,0.640802756,
20,X1020,0.720197133,0.590263151,0.523030346,0.530929768,0.369803271,0.526357518,0.542454156,0.475120763,0.285059917,0.51105543,0.507427145,
21,X1021,0.630180623,0.762536913,0.563765667,0.685403026,0.613633451,0.685774425,0.654798468,0.614202854,0.614073955,0.65373443,0.647810381,
22,X1022,0.576769427,0.591061877,0.593462132,0.498324411,0.572824024,0.675303622,0.568477762,0.624168924,0.479774682,0.520016837,0.57001837,
23,X1023,0.456067504,0.469719624,0.284576098,0.577176164,0.210720125,0.310439905,0.340814814,0.371133632,0.243559399,0.577763211,0.384197047,
24,X1024,0.685714998,0.545371352,0.633809523,0.604335182,0.395054736,0.635431249,0.634986387,0.635309901,0.553771639,0.623514168,0.594729914,
25,X1025,0.420800889,0.521878771,0.481397271,0.516388163,0.415623865,0.428413793,0.518061933,0.613710841,0.225726482,0.579996114,0.472199812,
26,X1026,0.283625916,0.352262857,0.301695389,0.429176805,0.271274296,0.307308109,0.385309018,0.192912311,0.255570976,0.306352081,0.308548776,
27,X1028,0.509184877,0.526107119,0.387719532,0.534132246,0.480683581,0.5336417,0.493482546,0.528632033,0.763250441,0.549602671,0.530643675,
28,X1029,0.402663511,0.589036927,0.429095489,0.465044106,0.554691479,0.463622613,0.508965623,0.417550455,0.497473614,0.51735014,0.484549396,
29,X1030,0.542583442,0.48600413,0.615941768,0.586065571,0.497805655,0.471418289,0.475156114,0.579397533,0.641072097,0.490754197,0.53861988,
30,X1031,0.163558858,0.330736998,0.313893257,0.23300785,0.267743245,0.235646143,0.335733602,0.268531528,0.260977939,0.055743623,0.246557304,
31,X1032,-0.025132572,0.305435236,0.123932408,0.122581457,0.270921729,0.032382459,0.06717211,-0.005381148,0.02461671,0.314026328,0.123055472,
32,X1033,0.656178907,0.606239635,0.659720695,0.556449868,0.596799694,0.513196291,0.525825054,0.455863482,0.543377721,0.410892106,0.552454345,
33,X1036,0.630066784,0.41318505,0.49332424,0.59220766,0.445604312,0.332831619,0.343735293,0.545889411,0.442233389,0.486210872,0.472528863,
34,X1037,0.619551477,0.773200846,0.648711537,0.73545316,0.794284294,0.663294288,0.751512618,0.702927633,0.733195845,0.77249743,0.719462913,
35,X1038,0.514673987,0.614719609,0.685161696,0.613710938,0.643991074,0.577475446,0.615642071,0.603305051,0.600795576,0.560724148,0.603019959,
36,X1039,0.520001364,0.548157496,0.424188278,0.588208904,0.639466984,0.513104727,0.518616483,0.480257063,0.438906358,0.594832898,0.526574056,
37,X104,0.630454503,0.765196288,0.531868488,0.376111901,0.430413456,0.536980871,0.450055565,0.555033785,0.521473724,0.556224949,0.535381353,
38,X1042,0.274795746,0.416157792,0.473166913,0.453914687,0.371308368,0.415895986,0.388642055,0.642581973,0.479957382,0.523971643,0.444039254,
39,X1043,0.584892563,0.433434528,0.57600287,0.436788201,0.42887792,0.547734434,0.514503043,0.511179955,0.416875811,0.512865756,0.496315508,
40,X1046,0.660440307,0.503750419,0.629833545,0.728182513,0.597953202,0.655988813,0.621672761,0.616982622,0.372726818,0.552099003,0.593963,
41,X1047,0.521677594,0.532764924,0.388550415,0.554246528,0.479561169,0.559352063,0.448999807,0.528022316,0.472007081,0.567507579,0.505268948,
42,X1049,0.481939046,0.521694275,0.330682854,0.386247447,0.460539441,0.529160819,0.591334618,0.546504065,0.523596464,0.523748893,0.489544792,
43,X1050,0.597401117,0.676842779,0.599614071,0.663200347,0.733881838,0.702539008,0.698271443,0.678790452,0.629264812,0.740136333,0.67199422,
44,X1052,0.662101331,0.432328718,0.619018791,0.468855149,0.503817885,0.466703277,0.477266765,0.433284385,0.561465183,0.404397689,0.502923917,
45,X1053,0.387123204,0.422530177,0.525439674,0.395708624,0.454149831,0.42313299,0.350621904,0.528606291,0.437811215,0.469222212,0.439434612,
46,X1054,0.748310823,0.64578257,0.589686205,0.509911517,0.71849878,0.696929552,0.569882103,0.72662255,0.653687779,0.55547772,0.64147896,
47,X1057,0.508367092,0.62801673,0.561197226,0.73398024,0.577785095,0.503016971,0.464214539,0.603299705,0.478090838,0.627485635,0.568545407,
48,X1058,0.407472133,0.331343358,0.479681243,0.574050316,0.503527438,0.58974442,0.615126539,0.520583598,0.588024504,0.505276846,0.511483039,
49,X1059,0.557988503,0.514802038,0.61380158,0.553261907,0.552058194,0.472797613,0.549940339,0.563802914,0.615130153,0.550380373,0.554396361,
50,X106,0.390676627,0.818074017,0.457768343,0.739769031,0.763402925,0.753075004,0.731503323,0.562677854,0.668323578,0.570637106,0.645590781,
51,X1060,0.356488849,0.353549546,0.214309358,0.220527443,0.26537488,0.265191697,0.256069828,0.339818979,0.268445893,0.106705548,0.264648202,
52,X1061,0.426571194,0.518371856,0.316382804,0.437226911,0.523080636,0.565030213,0.412520431,0.522240491,0.476970189,0.450394552,0.464878928,
53,X1062,0.309808426,0.43560908,0.381034338,0.496559917,0.552875648,0.448521148,0.398408484,0.443065217,0.477467012,0.357851243,0.430120051,
54,X1066,0.321186025,0.382204301,0.259901839,0.366577499,0.30463598,0.317177043,0.285543224,0.386460115,0.224811509,0.31232808,0.316082561,
55,X1067,0.425923618,0.468734031,0.371466349,0.403609068,0.463623682,0.493935015,0.371097924,0.542345426,0.344146994,0.45462651,0.433950862,
56,X1069,0.371802521,0.295175814,0.376003868,0.466152241,0.579122417,0.363490407,0.338812523,0.418185992,0.322494615,0.417077146,0.394831754,
57,X1072,0.286013742,0.407627681,0.333736645,0.340632218,0.349921594,0.348080238,0.371356418,0.265874264,0.374417251,0.49397946,0.357163951,
58,X1091,0.504856501,0.390099531,0.440913621,0.508486475,0.409830976,0.492851267,0.447841151,0.444841609,0.420544786,0.381657071,0.444192299,
59,X11,0.593141953,0.682638182,0.792367873,0.730676117,0.722869553,0.641687167,0.546270049,0.714388965,0.546822199,0.792278901,0.676314096,
60,X110,0.384761202,0.616240977,0.595743019,0.652971737,0.598582281,0.179710392,0.570248344,0.488823946,0.362031908,0.515794108,0.496490791,
61,X111,0.634123073,0.590650743,0.210790652,0.610921796,0.388845539,0.506793609,0.552908955,0.594908172,0.602793547,0.735653819,0.542838991,
62,X1114,0.168418815,0.064136611,0.286977142,0.153699839,0.196340695,0.105516541,0.262784381,0.011711264,0.204004235,0.386179885,0.183976941,
63,X1129,0.407432661,0.420105004,0.166861293,0.421253434,0.413757719,0.139737288,0.396036412,0.539229861,0.396777155,0.303083976,0.36042748,
