"","x"
"1",-0.350696198775717
"2",-0.338041897194
"3",-0.12205649407826
"4",-0.0995739766596618
"5",-0.407026956930954
"6",-0.180421661470224
"7",0.0620937785527793
"8",-0.321651486537703
"9",-0.237837534912349
"10",0.0310222082173003
"11",0.236807690497203
"12",0.149730789517098
"13",-0.431671584364457
"14",-0.414401888187188
"15",-0.544139776379745
"16",-0.527810752296363
"17",-0.438218800635738
"18",-0.0591011976613988
"19",-0.0591011976613988
"20",-0.193361148703619
"21",-0.53167840380207
"22",-0.147115744765252
"23",-0.0940679205010819
