"","Cp","AICc","GCV","BIC"
"1",-0.739664540437594,-0.739664540437594,-0.739664540437594,-0.564408837692168
"2",-0.166047951681815,-0.166047951681815,-0.166047951681815,-0.212675699893779
"3",-0.555650291878325,-0.555650291878325,-0.555650291878325,-0.494551258364524
"4",0.0976947777324473,0.0976947777324473,0.0976947777324473,-0.11521646894095
"5",-0.157919476331544,-0.157919476331544,-0.157919476331544,-0.226575836728463
"6",-0.174640626869417,-0.174640626869417,-0.174640626869417,-0.2445571669262
"7",-0.543196931508537,-0.543196931508537,-0.543196931508537,-0.540081787907489
"8",-0.148447295900458,-0.148447295900458,-0.148447295900458,-0.238406218454468
"9",-0.969075340973403,-0.969075340973403,-0.969075340973403,-0.622361763128029
"10",-1.01800925199661,-1.01800925199661,-1.01800925199661,-0.779275257675118
"11",-0.251458520748125,-0.251458520748125,-0.251458520748125,-0.30562659591807
"12",-0.955636689821932,-0.955636689821932,-0.955636689821932,-0.847012925754553
"13",-0.392606464025878,-0.392606464025878,-0.392606464025878,-0.383966079635417
"14",-0.556070829910332,-0.556070829910332,-0.556070829910332,-0.653050351074804
"15",-0.255983915497088,-0.255983915497088,-0.255983915497088,-0.416840356130212
"16",-0.195659110808172,-0.195659110808172,-0.195659110808172,-0.314833794191646
"17",-0.564141155066291,-0.564141155066291,-0.564141155066291,-0.527719965346035
"18",-0.220824585917635,-0.220824585917635,-0.220824585917635,-0.270554368731245
"19",-0.798801000663557,-0.798801000663557,-0.798801000663557,-0.541881857498269
"20",-0.163538413077225,-0.163538413077225,-0.163538413077225,-0.187587817568304
"21",-0.194631296973488,-0.194631296973488,-0.194631296973488,-0.344356470335499
"22",-0.163538413077225,-0.163538413077225,-0.163538413077225,-0.187587817568304
"23",-0.46343709876874,-0.46343709876874,-0.46343709876874,-0.433619851861054
"24",-0.226830060923532,-0.226830060923532,-0.226830060923532,-0.292453841899906
"25",-0.512294064964736,-0.512294064964736,-0.512294064964736,-0.498978815469852
"26",-0.302834177971428,-0.302834177971428,-0.302834177971428,-0.337302744938066
"27",-0.356674483257105,-0.356674483257105,-0.356674483257105,-0.322730133934096
"28",-0.356674483257105,-0.356674483257105,-0.356674483257105,-0.322730133934096
"29",0.332389348775006,0.332389348775006,0.332389348775006,0.164975559576696
"30",-0.139432164587407,-0.139432164587407,-0.139432164587407,-0.124578539508844
