"","drugs.i.","a"
"3","X1",0.378773934306726
"4","X1001",0.188320228100904
"5","X1003",0.561701992584452
"6","X1004",0.565992226049806
"7","X1005",0.492587813139745
"8","X1006",0.312532747827637
"9","X1007",0.513498205220262
"10","X1008",0.617140373370444
"11","X1009",0.457036113448021
"12","X1010",0.196530062571781
"13","X1011",0.230066641481539
"14","X1012",0.479289146280256
"15","X1013",0.633571713145453
"16","X1014",-0.00602380024352283
"17","X1015",0.110370498900972
"18","X1016",0.397278294582495
"19","X1017",0.353902042058177
"20","X1018",0.447119765702368
"21","X1019",0.505696462823332
"22","X1020",0.186050934253431
"23","X1021",0.528173213277836
"24","X1022",0.446923784729576
"25","X1023",0.146938603306094
"26","X1024",0.233811596827207
"27","X1025",0.100972697793283
"28","X1026",0.173754795326507
"29","X1028",0.529679590040726
"30","X1029",0.297610880645131
"31","X1030",0.578711975154425
"32","X1031",0.37658925125924
"33","X1032",-0.016623551287109
"34","X1033",0.446658559572644
"35","X1036",0.257953225493964
"36","X1037",0.591135474283549
"37","X1038",0.457522460444505
"38","X1039",0.434410278893847
"39","X104",0.460092726202179
"40","X1042",0.290019615834119
"41","X1043",-0.0504614557885447
"42","X1046",0.251806244611636
"43","X1047",0.42435433214113
"44","X1049",0.298748753713085
"45","X1050",0.497551305223636
"46","X1052",0.457699418007042
"47","X1053",0.231731158156047
"48","X1054",0.425685410446865
"49","X1057",0.483440018231634
"50","X1058",0.435873265418967
"51","X1059",0.52665066389459
"52","X106",0.56905517340475
"53","X1060",0.165570046975296
"54","X1061",0.259287406963587
"55","X1062",0.301512215829427
"56","X1066",0.171991509609124
"57","X1067",0.0554691142704293
"58","X1069",0.210133812695469
"59","X1072",0.276977072765347
"60","X1091",0.119424694159201
"61","X11",0.6552763043786
"62","X110",0.325455349508643
"63","X111",0.606917550851555
"64","X1114",0.00752520086347002
"65","X1129",0.0803508775325352
"66","X1133",0.362311582710616
"67","X1142",0.584160038026459
"68","X1143",0.438669838296102
"69","X1149",0.252437664386832
"70","X1158",0.411712267238916
"71","X1161",0.333865630113853
"72","X1164",0.459434604024927
"73","X1166",0.500804450190164
"74","X1170",0.386474271309868
"75","X1175",0.341107165184997
"76","X119",0.358044918256199
"77","X1192",0.235197857448016
"78","X1194",0.436641428126866
"79","X1199",0.686764422062642
"80","X1203",0.468539998296697
"81","X1218",0.330967182461518
"82","X1219",0.589724307324604
"83","X1230",0.36033393640975
"84","X1236",0.351588602454137
"85","X1239",0.313960723409947
"86","X1241",0.355703961629819
"87","X1242",0.268650242302826
"88","X1243",0.433910601265643
"89","X1248",0.0969772524547186
"90","X1259",0.417279850952783
"91","X1261",0.312889311733617
"92","X1262",0.622011489161277
"93","X1264",0.542513055928563
"94","X1268",0.38725731646799
"95","X127",0.375405760823146
"96","X133",0.624719512778882
"97","X134",0.769804429531206
"98","X135",0.637156150640058
"99","X136",0.514125496352724
"100","X1371",0.342387905412727
"101","X1372",0.21271433415294
"102","X1373",0.337821474802067
"103","X1375",0.487940378457593
"104","X1377",0.292233500628148
"105","X1378",0.466165236294373
"106","X140",0.724723874253812
"107","X147",0.264494374106768
"108","X1494",0.532165161026339
"109","X1495",0.47321696423289
"110","X1498",0.0981468520056636
"111","X150",0.457041048655979
"112","X1502",0.460423431978574
"113","X151",0.443443214323389
"114","X152",0.771517042435559
"115","X1526",0.282736725782344
"116","X1527",0.504903999200867
"117","X1529",0.393988572221974
"118","X153",0.49132798532477
"119","X154",0.369891646807666
"120","X155",0.523313026965032
"121","X156",0.251743047141899
"122","X157",0.657454320522975
"123","X158",0.388553507271216
"124","X159",0.277265308511478
"125","X163",0.511151938862104
"126","X164",0.70157765410473
"127","X165",0.510201100117756
"128","X166",0.418437090331317
"129","X167",0.558233275979585
"130","X17",0.754874670300125
"131","X170",0.283343894768247
"132","X171",0.387948194448982
"133","X172",0.325718636901182
"134","X173",0.318431506048568
"135","X175",0.573905013504627
"136","X176",0.469327075486115
"137","X177",0.704092732099097
"138","X178",0.708700207083146
"139","X179",0.667181198766153
"140","X180",0.459464108515365
"141","X182",0.50925919073211
"142","X184",0.246964597492124
"143","X185",0.323149304227601
"144","X186",0.371174921787162
"145","X190",0.633588115576256
"146","X192",0.163235433848282
"147","X193",0.539714703445366
"148","X194",0.690026890032593
"149","X196",0.234284156649883
"150","X197",0.352664745526826
"151","X199",0.278130915110681
"152","X200",0.417789281163111
"153","X201",0.560921482059984
"154","X202",0.25357849431697
"155","X203",0.580621600859255
"156","X204",0.598509890539868
"157","X205",0.614427250083331
"158","X206",0.683480118011588
"159","X207",0.615949935324901
"160","X208",0.700678201736486
"161","X211",0.719396351248075
"162","X219",0.533300598726583
"163","X221",0.731530125100364
"164","X222",0.706603655561046
"165","X223",0.625784006579611
"166","X224",0.430844633651093
"167","X225",0.774410309189578
"168","X226",0.341890356844774
"169","X228",0.701084535094881
"170","X229",0.564390111759753
"171","X230",0.466251756121586
"172","X231",0.309516657483918
"173","X235",0.69248916230644
"174","X238",0.620608417460621
"175","X245",0.390885145167914
"176","X249",0.747127994345271
"177","X252",0.684195396984018
"178","X253",0.809570303503551
"179","X254",0.545818221850679
"180","X255",0.491098939540809
"181","X256",0.780045759667889
"182","X257",0.839273252905723
"183","X258",0.55844392834173
"184","X260",0.850367575804833
"185","X261",0.820224275957189
"186","X262",0.463384812605604
"187","X263",0.685318757425451
"188","X265",0.618558315132054
"189","X266",0.588947099327408
"190","X268",0.472438885054332
"191","X269",0.415613559524376
"192","X271",0.523903707725917
"193","X272",0.578430115148869
"194","X273",0.65796887239253
"195","X274",0.591881577196074
"196","X275",0.746361274600414
"197","X276",0.411685969614127
"198","X277",0.656389305183209
"199","X279",0.878657330496591
"200","X281",0.591684473491791
"201","X282",0.41247676241892
"202","X283",0.729524190492745
"203","X286",0.762887958033991
"204","X287",0.666009022523411
"205","X288",0.60659708595013
"206","X29",0.343921568471845
"207","X290",0.766836002932715
"208","X291",0.773005601462687
"209","X292",0.659901768072398
"210","X293",0.385580867553899
"211","X294",0.609721940405854
"212","X295",0.815108713059222
"213","X298",0.706188585960965
"214","X299",0.445260902874952
"215","X3",0.342051788905185
"216","X30",0.40142329339506
"217","X300",0.673009016706044
"218","X301",0.827638234286191
"219","X302",0.576987434466369
"220","X303",0.843033327871555
"221","X304",0.575894620458907
"222","X305",0.866483630490851
"223","X306",0.787816036646285
"224","X308",0.523349362207054
"225","X309",0.748403845183468
"226","X310",0.806658278639303
"227","X312",0.650862815449395
"228","X32",0.760340656648741
"229","X326",0.589456133624601
"230","X328",0.620095026054509
"231","X329",0.753903220192041
"232","X330",0.759660516888804
"233","X331",0.637492883172635
"234","X332",0.696441345186712
"235","X333",0.540239069317891
"236","X34",0.389638469359996
"237","X341",0.473332691444092
"238","X344",0.43360560128715
"239","X345",0.675904007061406
"240","X346",0.65921082372263
"241","X35",0.413991325810786
"242","X37",0.720219617596925
"243","X38",0.669163952502
"244","X41",0.480522956809336
"245","X45",0.775533114851617
"246","X5",0.753635620647359
"247","X51",0.407995130148681
"248","X52",0.153120069900849
"249","X53",0.871661592369278
"250","X54",0.52476628509286
"251","X55",0.552864630326239
"252","X56",0.433812188963474
"253","X59",0.634135617991217
"254","X6",0.11808384520853
"255","X60",0.761477390267544
"256","X62",0.471808283864881
"257","X63",0.685850985550271
"258","X64",0.629413794625811
"259","X71",0.400454654645664
"260","X83",0.692206029258408
"261","X86",0.713947333641236
"262","X87",0.836784160773755
"263","X88",0.579692678176946
"264","X89",0.414416722896176
"265","X9",0.371171149969395
"266","X91",0.409815998522684
"267","X94",0.416253003153064
