,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.133075796,0.257525202,0.103202352,0.201299387,0.518034937,0.334115862,0.120348718,0.301056458,0.378773934,-0.05445523,0.229297742,0.494685491
2,X1001,0.492511613,0.384909914,0.597265505,0.459719626,0.435043726,0.212320343,0.283183421,0.319927709,0.188320228,0.439771105,0.381297319,
3,X1003,0.612452551,0.523922846,0.426786437,0.456096215,0.376674129,0.509446808,0.482016132,0.404925714,0.561701993,0.530128199,0.488415102,
4,X1004,0.564827095,0.633517849,0.622256233,0.511076658,0.580330454,0.583552034,0.653504587,0.677481947,0.565992226,0.64288073,0.603541981,
5,X1005,0.254471848,0.358105551,0.453516514,0.468651938,0.511876484,0.408285673,0.473737435,0.383759573,0.492587813,0.393379622,0.419837245,
6,X1006,0.550317919,0.445340138,0.427559216,0.418300635,0.461070601,0.489881727,0.403664889,0.660008859,0.312532748,0.396368247,0.456504498,
7,X1007,0.612020177,0.502486928,0.68524518,0.494254405,0.381854915,0.347462954,0.405920631,0.364667113,0.513498205,0.374257543,0.468166805,
8,X1008,0.404428573,0.31678009,0.472117936,0.427363747,0.414905368,0.461462054,0.3971341,0.475787328,0.617140373,0.371998861,0.435911843,
9,X1009,0.504959973,0.432313017,0.286343397,0.593517731,0.241641435,0.43178271,0.358649303,0.377993441,0.457036113,0.555979239,0.424021636,
10,X1010,0.288106055,0.392850747,0.299107608,0.158964619,0.35348888,0.008244252,0.275549491,0.384945323,0.196530063,0.230955886,0.258874292,
11,X1011,0.404135238,0.392766662,0.190746483,0.233774079,0.482070846,0.120048192,0.309232693,0.265151776,0.230066641,0.434337142,0.306232975,
12,X1012,0.562959474,0.391361533,0.638509103,0.496726568,0.30608954,0.467655018,0.592363732,0.410278451,0.479289146,0.588333869,0.493356643,
13,X1013,0.524490806,0.590326644,0.391061238,0.583842558,0.364570658,0.646307672,0.39922986,0.420596469,0.633571713,0.440805783,0.49948034,
