"","pathways","Freq"
"1","hsa00020",1
"2","hsa00220",1
"3","hsa00230",1
"4","hsa00310",1
"5","hsa00330",1
"6","hsa00500",1
"7","hsa00510",2
"8","hsa00514",1
"9","hsa00515",1
"10","hsa00532",1
"11","hsa00533",1
"12","hsa00534",1
"13","hsa00565",2
"14","hsa00590",1
"15","hsa00591",1
"16","hsa00592",1
"17","hsa00601",1
"18","hsa00970",1
"19","hsa03008",1
"20","hsa03013",2
"21","hsa03018",2
"22","hsa03020",1
"23","hsa03022",1
"24","hsa03060",1
"25","hsa03320",1
"26","hsa03410",1
"27","hsa03440",1
"28","hsa03460",1
"29","hsa04010",3
"30","hsa04014",2
"31","hsa04015",2
"32","hsa04020",3
"33","hsa04022",2
"34","hsa04024",1
"35","hsa04060",1
"36","hsa04066",1
"37","hsa04072",1
"38","hsa04110",1
"39","hsa04145",1
"40","hsa04146",1
"41","hsa04151",2
"42","hsa04260",2
"43","hsa04261",2
"44","hsa04270",2
"45","hsa04371",1
"46","hsa04514",1
"47","hsa04520",1
"48","hsa04530",2
"49","hsa04540",2
"50","hsa04550",1
"51","hsa04610",1
"52","hsa04611",1
"53","hsa04614",1
"54","hsa04630",1
"55","hsa04640",2
"56","hsa04670",1
"57","hsa04713",3
"58","hsa04720",1
"59","hsa04723",2
"60","hsa04724",1
"61","hsa04725",2
"62","hsa04726",2
"63","hsa04727",2
"64","hsa04728",2
"65","hsa04730",1
"66","hsa04740",3
"67","hsa04742",1
"68","hsa04810",1
"69","hsa04911",2
"70","hsa04912",1
"71","hsa04916",1
"72","hsa04919",1
"73","hsa04921",2
"74","hsa04924",2
"75","hsa04925",1
"76","hsa04926",1
"77","hsa04927",1
"78","hsa04930",3
"79","hsa04934",1
"80","hsa04950",1
"81","hsa04970",1
"82","hsa04975",1
"83","hsa04978",1
"84","hsa04979",1
"85","hsa05010",1
"86","hsa05016",1
"87","hsa05031",1
"88","hsa05032",1
"89","hsa05130",1
"90","hsa05132",1
"91","hsa05133",1
"92","hsa05140",1
"93","hsa05142",1
"94","hsa05145",1
"95","hsa05146",1
"96","hsa05152",1
"97","hsa05160",2
"98","hsa05164",1
"99","hsa05166",1
"100","hsa05168",1
"101","hsa05212",1
"102","hsa05218",1
"103","hsa05221",1
"104","hsa05222",1
"105","hsa05224",2
"106","hsa05226",2
"107","hsa05230",1
"108","hsa05340",1
"109","hsa05410",2
"110","hsa05412",1
"111","hsa05414",2
"112","hsa05416",1
