"","x"
"1","hsa00020"
"2","hsa00220"
"3","hsa00230"
"4","hsa00310"
"5","hsa00330"
"6","hsa00500"
"7","hsa00510"
"8","hsa00514"
"9","hsa00515"
"10","hsa00532"
"11","hsa00533"
"12","hsa00534"
"13","hsa00565"
"14","hsa00590"
"15","hsa00591"
"16","hsa00592"
"17","hsa00601"
"18","hsa00970"
"19","hsa03008"
"20","hsa03013"
"21","hsa03018"
"22","hsa03020"
"23","hsa03022"
"24","hsa03060"
"25","hsa03320"
"26","hsa03410"
"27","hsa03440"
"28","hsa03460"
"29","hsa04010"
"30","hsa04014"
"31","hsa04015"
"32","hsa04020"
"33","hsa04022"
"34","hsa04024"
"35","hsa04060"
"36","hsa04066"
"37","hsa04072"
"38","hsa04110"
"39","hsa04145"
"40","hsa04146"
"41","hsa04151"
"42","hsa04217"
"43","hsa04260"
"44","hsa04261"
"45","hsa04270"
"46","hsa04371"
"47","hsa04514"
"48","hsa04520"
"49","hsa04530"
"50","hsa04540"
"51","hsa04550"
"52","hsa04610"
"53","hsa04611"
"54","hsa04614"
"55","hsa04630"
"56","hsa04640"
"57","hsa04670"
"58","hsa04713"
"59","hsa04720"
"60","hsa04723"
"61","hsa04724"
"62","hsa04725"
"63","hsa04726"
"64","hsa04727"
"65","hsa04728"
"66","hsa04730"
"67","hsa04740"
"68","hsa04742"
"69","hsa04810"
"70","hsa04911"
"71","hsa04912"
"72","hsa04916"
"73","hsa04919"
"74","hsa04921"
"75","hsa04924"
"76","hsa04925"
"77","hsa04926"
"78","hsa04927"
"79","hsa04930"
"80","hsa04934"
"81","hsa04950"
"82","hsa04970"
"83","hsa04975"
"84","hsa04978"
"85","hsa04979"
"86","hsa05010"
"87","hsa05016"
"88","hsa05031"
"89","hsa05032"
"90","hsa05130"
"91","hsa05132"
"92","hsa05133"
"93","hsa05140"
"94","hsa05142"
"95","hsa05145"
"96","hsa05146"
"97","hsa05152"
"98","hsa05160"
"99","hsa05162"
"100","hsa05164"
"101","hsa05166"
"102","hsa05168"
"103","hsa05169"
"104","hsa05203"
"105","hsa05212"
"106","hsa05218"
"107","hsa05221"
"108","hsa05222"
"109","hsa05224"
"110","hsa05226"
"111","hsa05230"
"112","hsa05340"
"113","hsa05410"
"114","hsa05412"
"115","hsa05414"
"116","hsa05416"
"117","hsa00062"
"118","hsa00240"
"119","hsa00350"
"120","hsa00512"
"121","hsa00563"
"122","hsa00630"
"123","hsa01040"
"124","hsa01210"
"125","hsa01212"
"126","hsa01522"
"127","hsa02010"
"128","hsa03015"
"129","hsa04064"
"130","hsa04068"
"131","hsa04136"
"132","hsa04137"
"133","hsa04140"
"134","hsa04141"
"135","hsa04144"
"136","hsa04150"
"137","hsa04210"
"138","hsa04211"
"139","hsa04213"
"140","hsa04216"
"141","hsa04218"
"142","hsa04310"
"143","hsa04350"
"144","hsa04380"
"145","hsa04390"
"146","hsa04612"
"147","hsa04620"
"148","hsa04621"
"149","hsa04622"
"150","hsa04623"
"151","hsa04657"
"152","hsa04658"
"153","hsa04659"
"154","hsa04662"
"155","hsa04668"
"156","hsa04672"
"157","hsa04918"
"158","hsa04933"
"159","hsa04940"
"160","hsa04971"
"161","hsa04977"
"162","hsa05034"
"163","hsa05110"
"164","hsa05120"
"165","hsa05131"
"166","hsa05143"
"167","hsa05144"
"168","hsa05150"
"169","hsa05161"
"170","hsa05202"
"171","hsa05205"
"172","hsa05210"
"173","hsa05211"
"174","hsa05219"
"175","hsa05220"
"176","hsa05225"
"177","hsa05310"
"178","hsa05320"
"179","hsa05321"
"180","hsa05322"
"181","hsa05323"
"182","hsa05330"
"183","hsa05332"
"184","hsa00564"
"185","hsa00730"
"186","hsa01521"
"187","hsa01524"
"188","hsa04012"
"189","hsa04142"
"190","hsa04972"
"191","hsa05213"
"192","hsa05215"
"193","hsa05223"
"194","hsa00030"
"195","hsa01200"
"196","hsa01230"
"197","hsa03040"
"198","hsa04062"
"199","hsa04080"
"200","hsa04115"
"201","hsa04360"
"202","hsa04964"
"203","hsa04974"
"204","hsa04976"
"205","hsa05033"
"206","hsa00450"
"207","hsa03010"
"208","hsa03420"
"209","hsa04120"
"210","hsa00480"
"211","hsa00980"
"212","hsa00982"
"213","hsa00983"
"214","hsa05204"
"215","hsa05418"
"216","hsa04510"
"217","hsa04928"
"218","hsa05163"
"219","hsa05165"
"220","hsa05167"
"221","hsa05206"
"222","hsa00010"
"223","hsa00051"
"224","hsa00052"
"225","hsa00760"
"226","hsa04152"
"227","hsa04625"
"228","hsa04714"
"229","hsa05012"
"230","hsa00061"
"231","hsa00190"
"232","hsa04932"
"233","hsa00280"
"234","hsa00410"
"235","hsa00640"
"236","hsa00910"
"237","hsa04650"
"238","hsa04913"
"239","hsa04915"
"240","hsa05014"
"241","hsa00650"
"242","hsa00071"
"243","hsa04070"
"244","hsa04920"
"245","hsa05100"
"246","hsa00250"
"247","hsa00561"
"248","hsa03030"
"249","hsa04071"
"250","hsa04910"
"251","hsa00520"
"252","hsa03050"
"253","hsa04922"
"254","hsa04721"
"255","hsa04931"
"256","hsa01523"
"257","hsa00562"
"258","hsa00790"
"259","hsa04114"
"260","hsa05134"
"261","hsa00140"
"262","hsa03450"
"263","hsa00830"
"264","hsa03430"
"265","hsa04330"
"266","hsa04917"
"267","hsa04961"
"268","hsa00770"
"269","hsa04750"
"270","hsa05020"
"271","hsa04130"
"272","hsa00600"
"273","hsa04973"
"274","hsa04966"
"275","hsa04664"
"276","hsa04370"
"277","hsa04666"
"278","hsa04660"
"279","hsa00270"
"280","hsa04710"
"281","hsa04962"
"282","hsa05030"
"283","hsa00620"
"284","hsa04914"
"285","hsa00900"
"286","hsa04340"
"287","hsa04923"
"288","hsa00260"
"289","hsa00860"
"290","hsa05231"
