"","x"
"1",-0.398413041227318
"2",-0.306005697326251
"3",-0.384394609235756
"4",-0.082729438634051
"5",-0.0905302055270892
"6",-0.282164309861186
"7",-0.362882407772336
"8",-0.140171933430463
"9",-0.132407734522707
"10",-0.292379561953115
"11",-0.0604661744844411
"12",-0.380588439311606
"13",-0.402631942757997
"14",-0.0213024758145482
"15",-0.181671672901259
"16",-0.273584170486705
"17",-0.241708990971754
"18",-0.202304508421013
"19",-0.469216137943376
"20",-0.148979211898626
"21",-0.244391928066125
"22",-0.435492245664167
"23",-0.395318078699984
"24",-0.155196229442713
"25",-0.259158321213083
"26",-0.259158321213083
"27",-0.252779041114357
"28",-0.259158321213083
"29",-0.259158321213083
"30",-0.372392241784175
"31",-0.290591988083864
"32",-0.277166933812238
"33",-0.266038302973833
"34",0.10759020565523
