"","drugs.i.","a"
"3","X1",0.502182424972377
"4","X1001",0.329877782379077
"5","X1003",0.627684219173911
"6","X1004",0.664670868228246
"7","X1005",0.573903640616777
"8","X1006",0.472441107706601
"9","X1007",0.33485441440624
"10","X1008",0.496702688898
"11","X1009",0.407047495664086
"12","X1010",0.296966642977899
"13","X1011",0.375540354228696
"14","X1012",0.697800793561024
"15","X1013",0.511465541560147
"16","X1014",0.409928964419285
"17","X1015",0.343485231728872
"18","X1016",0.561649989825988
"19","X1017",0.672505023002362
"20","X1018",0.714153144871487
"21","X1019",0.584128768045851
"22","X1020",0.577249266022591
"23","X1021",0.560218162058796
"24","X1022",0.555249552186369
"25","X1023",0.201980446304701
"26","X1024",0.717327158352104
"27","X1025",0.510962921769146
"28","X1026",0.273251460871239
"29","X1028",0.56667226971396
"30","X1029",0.434900340698989
"31","X1030",0.530123547925209
"32","X1031",0.471841737674847
"33","X1032",0.224083280409573
"34","X1033",0.54630760419315
"35","X1036",0.34868686817681
"36","X1037",0.663216831894388
"37","X1038",0.586516294562441
"38","X1039",0.540127310251617
"39","X104",0.411090292387323
"40","X1042",0.355318984994773
"41","X1043",0.572046543640972
"42","X1046",0.471662608326036
"43","X1047",0.464007815537524
"44","X1049",0.550371165645024
"45","X1050",0.598849020551896
"46","X1052",0.478117707346361
"47","X1053",0.368949870292803
"48","X1054",0.455200122283215
"49","X1057",0.539429381093203
"50","X1058",0.433048959158295
"51","X1059",0.541589280303053
"52","X106",0.725404644916869
"53","X1060",-0.0686242998089757
"54","X1061",0.555409665723764
"55","X1062",0.259349255857649
"56","X1066",0.202942057759408
"57","X1067",0.435679802900911
"58","X1069",0.248421598650753
"59","X1072",0.41052698753913
"60","X1091",0.521313678097143
"61","X11",0.56302458647692
"62","X110",0.589907889239311
"63","X111",0.675121110228022
"64","X1114",0.0835910711908945
"65","X1129",0.378511683304374
"66","X1133",0.530863121042519
"67","X1142",0.640073378999588
"68","X1143",0.404759313587332
"69","X1149",0.610667074930432
"70","X1158",0.60969212002944
"71","X1161",0.47670669094838
"72","X1164",0.547285257142528
"73","X1166",0.449603438771757
"74","X1170",0.58162124829589
"75","X1175",0.581005022535872
"76","X119",0.0108819384951996
"77","X1192",0.370779327910566
"78","X1194",0.231532558587276
"79","X1199",0.47175150630067
"80","X1203",0.318445504287987
"81","X1218",0.197157317988225
"82","X1219",0.523654859517294
"83","X1230",0.39541844256478
"84","X1236",0.270034698354927
"85","X1239",0.444908837612631
"86","X1241",0.473315995444394
"87","X1242",0.438580726520063
"88","X1243",0.563937776765639
"89","X1248",0.424247539252164
"90","X1259",0.425389666968189
"91","X1261",0.319190541302751
"92","X1262",0.41562806571394
"93","X1264",0.560814010977931
"94","X1268",0.329481855572878
"95","X127",0.333735736161466
"96","X133",0.66769238747321
"97","X134",0.684093769278936
"98","X135",0.503993796915068
"99","X136",0.599799801686625
"100","X1371",0.307231603196714
"101","X1372",0.267617359791932
"102","X1373",0.163548194118518
"103","X1375",0.480870732205661
"104","X1377",0.1044847765702
"105","X1378",0.467075295937793
"106","X140",0.533318544143134
"107","X147",0.282286266709895
"108","X1494",0.507491276714786
"109","X1495",0.614332632988728
"110","X1498",0.168437685761605
"111","X150",0.591851952012871
"112","X1502",0.264088714416856
"113","X151",0.552093590299475
"114","X152",0.570054011092366
"115","X1526",0.222619668005882
"116","X1527",0.473896114367371
