,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.350775365,0.344262753,0.186813981,0.461944583,0.550068824,0.435582677,0.502182425,0.514329884,0.131625667,0.238011775,0.371559793,0.539193015
2,X1001,0.44787375,0.299205223,0.562029457,0.383742984,0.409351934,0.174456874,0.329877782,0.461815174,0.257589699,0.529486541,0.385542942,
3,X1003,0.622196218,0.718946483,0.613129241,0.748149727,0.484730939,0.54131433,0.627684219,0.60227408,0.676770921,0.579988665,0.621518482,
4,X1004,0.581297715,0.672807456,0.611695974,0.52590484,0.637354605,0.599845798,0.664670868,0.68362097,0.704410295,0.678685036,0.636029356,
5,X1005,0.439639061,0.629541966,0.686293213,0.602301987,0.613496739,0.564857065,0.573903641,0.570081327,0.506392263,0.474221844,0.566072911,
6,X1006,0.598428842,0.467454703,0.653615743,0.626262078,0.562188908,0.620830654,0.472441108,0.581218286,0.433606607,0.472153237,0.548820017,
7,X1007,0.539579784,0.498549424,0.44300455,0.330317847,0.294270347,0.329840075,0.334854414,0.490390339,0.295236423,0.432388722,0.398843193,
8,X1008,0.426290274,0.493150048,0.416824653,0.353527677,0.459932692,0.336822969,0.496702689,0.553943092,0.47188759,0.581512273,0.459059396,
9,X1009,0.50570777,0.428849978,0.37090553,0.577446305,0.318303937,0.49746373,0.407047496,0.320101039,0.471875841,0.577150137,0.447485176,
10,X1010,0.371573937,0.316019109,0.382024066,0.189576739,0.346137656,0.12096617,0.296966643,0.216934809,0.275334751,0.270004941,0.278553882,
11,X1011,0.458484629,0.304823767,0.275223309,0.34493255,0.345530538,0.308506491,0.375540354,0.330193751,0.259966315,0.409709366,0.341291107,
12,X1012,0.670140585,0.530862487,0.702377864,0.557772349,0.333676108,0.549057336,0.697800794,0.424234503,0.62298233,0.638308376,0.572721273,
13,X1013,0.546701973,0.587364238,0.432638798,0.594767928,0.484403927,0.487362905,0.511465542,0.343124285,0.501067483,0.51081275,0.499970983,
14,X1014,0.292017568,0.21790995,0.246802289,0.361179169,0.173669311,0.197416712,0.409928964,0.271767669,0.306899837,0.239535536,0.271712701,
15,X1015,0.446862055,0.217684174,0.45059232,0.493533581,0.356492208,0.340049875,0.343485232,0.609814154,0.200232847,0.277959184,0.373670563,
