"","x"
"1",-0.524610708674144
"2",-0.515289156119875
"3",-0.487913001042138
"4",-0.427217451795046
"5",-0.366078388262015
"6",-0.305156658040117
"7",-0.270894073118194
"8",-0.256539070445868
"9",-0.143577264747334
"10",-0.379685688295403
"11",0.0103121634061739
"12",-0.292724660238153
"13",-0.311141304064414
"14",-0.170926391340832
"15",-0.336234401852509
"16",-0.426771187958693
"17",-0.0847649891351596
"18",-0.14553320017287
"19",-0.14553320017287
"20",-0.471138106179926
"21",-0.287658576871958
"22",-0.147376247799656
"23",-0.0147161397859579
