"","drugs.i.","a"
"3","X1",0.0509050707181498
"4","X1001",0.153241395788646
"5","X1003",0.62167598265081
"6","X1004",0.639083503113087
"7","X1005",0.501104660129678
"8","X1006",0.24586991376525
"9","X1007",0.101214818660445
"10","X1008",0.255041103720363
"11","X1009",0.536960095200141
"12","X1010",0.253116072910299
"13","X1011",0.408931812257043
"14","X1012",0.631161537724672
"15","X1013",0.565362263521575
"16","X1014",0.341695610749762
"17","X1015",0.140316646843806
"18","X1016",0.561828912455504
"19","X1017",0.459984176045318
"20","X1018",0.632506055477465
"21","X1019",0.540580711314852
"22","X1020",0.254462975545045
"23","X1021",0.55905147953238
"24","X1022",0.48604024012765
"25","X1023",0.186913894558894
"26","X1024",0.619438630363551
"27","X1025",0.272723503195841
"28","X1026",0.171440022213866
"29","X1028",0.657507292013113
"30","X1029",0.276004526247147
"31","X1030",0.625769997127923
"32","X1031",0.396875096165794
"33","X1032",0.0824439497003758
"34","X1033",0.45599827519314
"35","X1036",0.512623585999162
"36","X1037",0.702084449086254
"37","X1038",0.50389893517029
"38","X1039",0.329828455674413
"39","X104",0.587599336417577
"40","X1042",0.120420713563678
"41","X1043",0.45912431908159
"42","X1046",0.308121759512289
"43","X1047",0.392727895348535
"44","X1049",0.330886803889678
"45","X1050",0.638700122399031
"46","X1052",0.466615365961493
"47","X1053",0.159665126097402
"48","X1054",0.519977514057261
"49","X1057",0.448080060502023
"50","X1058",0.250744423360767
"51","X1059",0.420713623574077
"52","X106",0.465830151712835
"53","X1060",0.0103594075592129
"54","X1061",0.31683031480612
"55","X1062",0.319280194159754
"56","X1066",0.0681417975003853
"57","X1067",0.203021068723621
"58","X1069",0.311304852529995
"59","X1072",0.317337547240541
"60","X1091",0.00121739940007197
"61","X11",0.62864277419295
"62","X110",0.404849896001682
"63","X111",0.610187763244009
"64","X1114",0.0571880578596394
"65","X1129",0.296576468971583
"66","X1133",0.276402162347351
"67","X1142",0.325308696903954
"68","X1143",0.359579520617928
"69","X1149",0.460696730142232
"70","X1158",0.607164322555639
"71","X1161",0.469905380908138
"72","X1164",0.253220911130449
"73","X1166",0.440515722731674
"74","X1170",0.43472212432541
"75","X1175",0.487216765200395
"76","X119",0.321213842881711
"77","X1192",0.36242606099761
"78","X1194",0.471068240448706
"79","X1199",0.621424563298687
"80","X1203",0.388401747765492
"81","X1218",0.554786883668263
"82","X1219",0.636906785636085
"83","X1230",0.226261831402137
"84","X1236",0.272741401296469
"85","X1239",0.451631406442224
"86","X1241",0.42558227732843
"87","X1242",0.422039625619485
"88","X1243",0.355931232232718
"89","X1248",0.335634526826612
"90","X1259",0.215529179859774
"91","X1261",0.303060584905794
"92","X1262",0.499106090978794
"93","X1264",0.48533643100679
"94","X1268",0.423572156947081
"95","X127",0.398282706584362
"96","X133",0.7229068096331
"97","X134",0.699757619918575
"98","X135",0.680001997218889
"99","X136",0.589296464873946
"100","X1371",0.365941570719139
"101","X1372",0.253326500382237
"102","X1373",0.221547455904566
"103","X1375",0.566041834771958
"104","X1377",0.21904645346163
"105","X1378",0.383142807529084
"106","X140",0.708879666906838
"107","X147",0.327844204690484
"108","X1494",0.587006909794579
"109","X1495",0.372113132082152
"110","X1498",0.0474548454510293
"111","X150",0.471611871934716
"112","X1502",0.635165540608869
"113","X151",0.550712738282355
"114","X152",0.652468003475335
"115","X1526",0.215493009270528
"116","X1527",0.325698550692411
"117","X1529",0.358828590994978
"118","X153",0.557549359775556
"119","X154",0.460438128591878
"120","X155",0.346956060027067
"121","X156",0.162112449615706
"122","X157",0.587112059381804
"123","X158",0.623572929536962
"124","X159",0.504791546015555
"125","X163",0.485396681879576
"126","X164",0.59781582212524
"127","X165",0.481668791446677
"128","X166",0.448974363440152
"129","X167",0.660523324833847
"130","X17",0.642765082222531
"131","X170",0.365958901293945
"132","X171",0.464047923851287
"133","X172",0.493727358238885
"134","X173",0.471829324200046
"135","X175",0.602385454474229
"136","X176",0.592641869365002
"137","X177",0.5620477083166
"138","X178",0.697303100370215
"139","X179",0.738220729640467
"140","X180",0.468958883444116
"141","X182",0.657445893349795
"142","X184",0.307177734632936
"143","X185",0.177420986643536
"144","X186",0.515937678012016
"145","X190",0.532272869708439
"146","X192",0.503349468301012
"147","X193",0.525900903313137
"148","X194",0.608371331658283
"149","X196",0.318882499070657
"150","X197",0.408235522065205
"151","X199",0.390970033804215
"152","X200",0.477511167408829
"153","X201",0.586995264582264
"154","X202",0.339378427081751
"155","X203",0.500414847546646
"156","X204",0.507509487961535
"157","X205",0.613732924993248
"158","X206",0.670087936447092
"159","X207",0.649665564004964
"160","X208",0.726012816457547
"161","X211",0.708889530199673
"162","X219",0.688546358423103
"163","X221",0.714642981083325
"164","X222",0.619922336905708
"165","X223",0.621338572718809
"166","X224",0.554072627306642
"167","X225",0.806306643306776
"168","X226",0.701200626962409
"169","X228",0.673242913876929
"170","X229",0.502985072551217
"171","X230",0.588567503981747
"172","X231",0.46083428657068
"173","X235",0.622928301743714
"174","X238",0.612316955557428
"175","X245",0.585596787360862
"176","X249",0.749676425196035
"177","X252",0.683435199809245
"178","X253",0.792889944302768
"179","X254",0.449074255387321
"180","X255",0.501463452960751
"181","X256",0.799441206458419
"182","X257",0.830943573449665
"183","X258",0.582374252799843
"184","X260",0.839507906829299
"185","X261",0.806175495166029
"186","X262",0.461620633286724
"187","X263",0.70054299593169
"188","X265",0.539377801351803
"189","X266",0.572127446563184
"190","X268",0.523349561688845
"191","X269",0.47155431786212
"192","X271",0.539729294722549
"193","X272",0.628383614463777
"194","X273",0.70197576675173
"195","X274",0.473709542215216
"196","X275",0.723058464497938
"197","X276",0.631569340778033
"198","X277",0.643440086541809
"199","X279",0.862872779382676
"200","X281",0.525106000872515
"201","X282",0.494202823258022
"202","X283",0.748763143549575
"203","X286",0.763440608584745
"204","X287",0.595470190751652
"205","X288",0.610843658056451
"206","X29",0.437156217931648
"207","X290",0.740072401154009
"208","X291",0.784323691346744
"209","X292",0.684595900257763
"210","X293",0.292791431649337
"211","X294",0.485552462508352
"212","X295",0.808315160482477
"213","X298",0.66676029384478
"214","X299",0.511104150529989
"215","X3",0.556035447947838
"216","X30",0.257578944309933
"217","X300",0.62260909898906
"218","X301",0.846136673416041
"219","X302",0.654727766413614
"220","X303",0.836135356669182
"221","X304",0.465554320451827
"222","X305",0.858066495126692
"223","X306",0.790859773643561
"224","X308",0.53610766063986
"225","X309",0.749979917790619
"226","X310",0.798505902666222
"227","X312",0.567928447353031
"228","X32",0.688927911293776
"229","X326",0.58895341157795
"230","X328",0.657491957944767
"231","X329",0.760582580389624
"232","X330",0.821933770763661
"233","X331",0.584790820553248
"234","X332",0.682534098429027
"235","X333",0.591701118958631
"236","X34",0.429642268139468
"237","X341",0.361296582984063
"238","X344",0.482731695907593
"239","X345",0.676791146243059
"240","X346",0.708498661961169
"241","X35",0.451666788140326
"242","X37",0.694632568044084
"243","X38",0.66828051707623
"244","X41",0.642909927316059
"245","X45",0.786214742240127
"246","X5",0.761090885864649
"247","X51",0.408448199935921
"248","X52",0.077875791600379
"249","X53",0.873133529904335
"250","X54",0.58106782406414
"251","X55",0.559327370591718
"252","X56",0.626919270623112
"253","X59",0.661638823181291
"254","X6",0.272549978486573
"255","X60",0.621200560250925
"256","X62",0.435432091633981
"257","X63",0.655929119438177
"258","X64",0.622002937341301
"259","X71",0.203605882703296
"260","X83",0.592651423385638
"261","X86",0.714559566110051
"262","X87",0.827690828666767
"263","X88",0.655698949841652
"264","X89",0.511234918782838
"265","X9",0.312873776134218
"266","X91",0.397108939554847
"267","X94",0.414203129377898
