,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
1,X1,0.183743838,0.183268678,0.185611042,0.39173259,0.398945244,0.021176278,0.427856373,0.389738617,0.050905071,0.201456237,0.243443397,0.513073925
2,X1001,0.367872331,0.310352602,0.385166529,0.33982062,0.340738364,0.092278321,0.275911266,0.391329701,0.153241396,0.413734625,0.307044575,
3,X1003,0.614842548,0.678212548,0.575930896,0.586387042,0.50860764,0.530420272,0.610125119,0.582664479,0.621675983,0.641844461,0.595071099,
4,X1004,0.593977904,0.716350674,0.614108895,0.659122975,0.664974382,0.613145891,0.735442236,0.711121722,0.639083503,0.648725586,0.659605377,
5,X1005,0.37689794,0.407235608,0.556197237,0.548383006,0.585358005,0.453178002,0.553679722,0.432557757,0.50110466,0.393314281,0.480790622,
6,X1006,0.62347369,0.489150547,0.527265544,0.586949952,0.492494385,0.533961524,0.480563322,0.596655912,0.245869914,0.435424063,0.501180885,
7,X1007,0.353776766,0.346623939,0.201794267,0.143234185,0.093420356,0.123499517,0.099668521,0.306304972,0.101214819,0.258068887,0.202760623,
8,X1008,0.334075115,0.297722865,0.227752761,0.250476117,0.135746511,0.293349186,0.328289097,0.454208353,0.255041104,0.374918564,0.295157967,
9,X1009,0.56325223,0.443804912,0.281729207,0.589818588,0.307365331,0.48923058,0.463706383,0.328804771,0.536960095,0.580667843,0.458533994,
10,X1010,0.314452481,0.345725758,0.302114635,0.218845923,0.347864966,0.142036018,0.358815476,0.196746005,0.253116073,0.307736934,0.278745427,
11,X1011,0.480821895,0.405603398,0.349569365,0.439976873,0.45383371,0.423102676,0.412022668,0.320789975,0.408931812,0.533925001,0.422857737,
12,X1012,0.631980872,0.508708186,0.702183969,0.601798081,0.442227456,0.536780397,0.64170055,0.468255174,0.631161538,0.660472586,0.582526881,
13,X1013,0.437842998,0.580152621,0.406901954,0.56774898,0.404881487,0.50520838,0.453894589,0.427495566,0.565362264,0.51141269,0.486090153,
14,X1014,0.314562301,0.203868856,0.33686493,0.413291348,0.275993418,0.212814703,0.412820246,0.241227414,0.341695611,0.090348008,0.284348684,
15,X1015,0.359727946,0.193038139,0.345107237,0.455317741,0.346643086,0.322358107,0.386212791,0.527627814,0.140316647,0.228346476,0.330469598,
16,X1016,0.354535938,0.582766938,0.524531836,0.384988719,0.528194333,0.446153826,0.607221373,0.461578211,0.561828912,0.397471065,0.484927115,
17,X1017,0.582809347,0.61874092,0.557560379,0.592679023,0.647605425,0.61077212,0.678079926,0.593121001,0.459984176,0.513686629,0.585503895,
18,X1018,0.378386342,0.562873803,0.495220098,0.576193904,0.475558289,0.580512448,0.623027463,0.450454422,0.632506055,0.54089939,0.531563222,
19,X1019,0.536087522,0.638416066,0.659382745,0.67822649,0.578498791,0.626406804,0.609455888,0.601881279,0.540580711,0.621410007,0.60903463,
20,X1020,0.706491607,0.585450691,0.535834552,0.568509094,0.525597081,0.412176297,0.593168762,0.552479296,0.254462976,0.499339468,0.523350982,
