"","X","DRUG_ID","COSMIC_ID","IC50_Normal","dd_predict...2.","dd_real...2."
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",1,"X1005",683665,0.276843820253297,-1.1035725081876,0.276843820253297
"4",2,"X1014",683665,-0.367381330864354,-0.70682105142627,-0.367381330864354
"5",3,"X1020",683665,0.640919824890641,-0.807727988838575,0.640919824890641
"6",4,"X1030",683665,0.179344986054263,-0.656216215022296,0.179344986054263
"7",5,"X1033",683665,0.87824491083092,-0.798239506726131,0.87824491083092
"8",6,"X1037",683665,-0.395394344456501,-0.46995318440475,-0.395394344456501
"9",7,"X1043",683665,0.562383766331385,-0.348393498448373,0.562383766331385
"10",8,"X1054",683665,-0.513376418421556,-0.515587642527192,-0.513376418421556
"11",9,"X1143",683665,0.493924889092423,-0.163485766343678,0.493924889092423
"12",10,"X1236",683665,0.0731088583694594,-0.496158103152491,0.0731088583694594
"13",11,"X1243",683665,-0.351858542634477,-0.00841325534797832,-0.351858542634477
"14",12,"X127",683665,0.384764649251851,-0.416276883867559,0.384764649251851
"15",13,"X135",683665,-2.3895267481403,-0.735435729045441,-2.3895267481403
"16",14,"X166",683665,-0.353497219551557,-0.551027092429023,-0.353497219551557
"17",15,"X176",683665,-0.129567350253154,-0.448954768148328,-0.129567350253154
"18",16,"X185",683665,-0.0148816369861376,-0.652244621300365,-0.0148816369861376
"19",17,"X230",683665,0.742244403808241,-0.174827509517823,0.742244403808241
"20",18,"X257",683665,-0.935435588199146,-0.126723243559503,-0.935435588199146
"21",19,"X260",683665,-0.300065137857261,-0.126723243559503,-0.300065137857261
"22",20,"X272",683665,-1.55393292791528,-0.791200369026638,-1.55393292791528
"23",21,"X274",683665,-1.28969464001721,-0.777430959376027,-1.28969464001721
"24",22,"X306",683665,-0.989244962053362,-0.318836611294977,-0.989244962053362
"25",23,"X52",683665,0.133133092436303,-0.550815199249974,0.133133092436303
"26",1,"X1004",683667,-2.7294886071226,0.106885533639246,-2.7294886071226
"27",2,"X1005",683667,-0.111019370596851,0.106885533639246,-0.111019370596851
"28",3,"X1007",683667,-3.10415374059403,-0.430547382258674,-3.10415374059403
