,x,,,,DRUG,zhang,lm
X1,0.612354061,0.632040832,,Erlotinib,1,0.53,0.612354061
X1001,0.543657351,,,Rapamycin,3,0.43,0.443183809
X1003,0.663122422,,,Sunitinib,5,0.6,0.696327274
X1004,0.640588627,,,PHA-665752,6,0.3,0.561404165
X1006,0.620454168,,,Sorafenib,30,0.34,0.657215819
X1007,0.669276639,,,Imatinib,34,0.36,0.674046736
X1008,0.719227274,,,NVP-TAE684,35,0.55,0.652585518
X1009,0.603669398,,,PF-2341066,37,0.53,0.676257746
X1010,0.552523636,,,Dasatinib,51,0.62,0.711974332
X1011,0.639094095,,,BMS-536924,62,0.57,0.611041019
X1012,0.706930359,,,A-443654,86,0.5,0.533664954
X1013,0.651781949,,,Lapatinib,119,0.52,0.571578105
X1014,0.764307429,,,Midostaurin,153,0.48,0.652120179
X1015,0.717016512,,,AZD6482,156,0.35,0.605462524
X1016,0.625372761,,,AKT inhibitor VIII,171,0.34,0.566504059
X1017,0.665198781,,,BAY-61-3606,178,0.54,0.723767754
X1018,0.616316991,,,BMS-754807,184,0.5,0.611976103
X1019,0.685358151,,,OSI-906,185,0.4,0.549021028
X1020,0.645292445,,,Pazopanib,199,0.43,0.530987391
X1021,0.70251492,,,Gefitinib,1010,0.49,0.552523636
X1022,0.638954951,,,Temsirolimus,1016,0.42,0.625372761
X1023,0.41248934,,,Axitinib,1021,0.42,0.70251492
X1024,0.674241839,,,CEP-701,1024,0.5,0.674241839
X1025,0.529229771,,,AMG-706,1029,0.3,0.516113311
X1026,0.627363954,,,BIBW2992,1032,0.47,0.530010858
X1028,0.650194099,,,PD173074,1049,0.42,0.640230022
X1029,0.516113311,,,GDC0941,1527,0.34,0.497588989
X1030,0.640379204,,,,,,0.606669219
X1031,0.469263791,,,,,,
X1032,0.530010858,,,94,TGX221,0.633319956,
X1033,0.68391876,,,223,ZSTK474,0.675399709,
X1036,0.601195618,,,224,AS605240,0.595695397,
X1038,0.621222117,,,228,AKT inhibitor VIII,0.764474945,
X1039,0.567188091,,,238,Idelalisib,0.695566451,
X104,0.519247186,,,283,Omipalisib,0.668592987,
X1042,0.437385516,,,299,OSI-027,0.698534722,
X1043,0.57367219,,,302,PI-103,0.697389596,
X1047,0.678495864,,,303,PIK-93,0.784939476,
X1049,0.640230022,,,326,GSK690693,0.716775673,
X1050,0.695278609,,,1053,MK-2206,0.548589022,
X1052,0.562846324,,,1057,Dactolisib,0.625153517,
X1053,0.548589022,,,1058,Pictilisib,0.556139997,
X1054,0.713880666,,,1059,AZD8055,0.623454143,
X1057,0.625153517,,,1066,AZD6482,0.498604608,
X1058,0.556139997,,,1129,PF-4708671,0.478074468,
X1059,0.623454143,,,,,,
X1060,0.578931972,,,,,,
X1061,0.63743712,,,,,,
X1062,0.587251202,,,,,,
X1066,0.498604608,,,,,,
X1067,0.460394766,,,,,,
X1069,0.429135372,,,,,,
X1072,0.436438029,,,,,,
X1091,0.524697955,,,,,,
X11,0.595283092,,,,,,
X110,0.569009161,,,,,,
X111,0.581464178,,,,,,
X1129,0.478074468,,,,,,
X1133,0.619334155,,,,,,
X1164,0.682944518,,,,,,
X1170,0.597326184,,,,,,
X1175,0.627369331,,,,,,
X119,0.571578105,,,,,,
X1192,0.607484419,,,,,,
X1194,0.601391023,,,,,,
X1199,0.538174246,,,,,,
X1218,0.508928777,,,,,,
X1219,0.66682068,,,,,,
X1230,0.478808253,,,,,,
X1236,0.587378908,,,,,,
X1239,0.663862876,,,,,,
X1241,0.535525339,,,,,,
X1242,0.703577521,,,,,,
X1243,0.599756073,,,,,,
X1248,0.578717168,,,,,,
X1259,0.628545438,,,,,,
X1262,0.707203845,,,,,,
X1264,0.579385172,,,,,,
X1268,0.530635058,,,,,,
X127,0.591701607,,,,,,
X133,0.690991827,,,,,,
X134,0.705382953,,,,,,
X135,0.599851664,,,,,,
X136,0.579128716,,,,,,
X1371,0.626063935,,,,,,
X1372,0.748473491,,,,,,
X1373,0.68545671,,,,,,
X1375,0.661040501,,,,,,
X1377,0.590221344,,,,,,
X140,0.661247717,,,,,,
X147,0.461231017,,,,,,
X1494,0.61497603,,,,,,
X1495,0.614106496,,,,,,
X1498,0.665266548,,,,,,
X150,0.633239262,,,,,,
X1502,0.548472288,,,,,,
X151,0.63737353,,,,,,
X152,0.728032119,,,,,,
X1526,0.694109626,,,,,,
X1527,0.497588989,,,,,,
X1529,0.611742813,,,,,,
X153,0.652120179,,,,,,
X154,0.544518417,,,,,,
X155,0.652513985,,,,,,
X156,0.605462524,,,,,,
X157,0.597993465,,,,,,
X158,0.622554534,,,,,,
X159,0.693214713,,,,,,
X163,0.550882939,,,,,,
X165,0.572760874,,,,,,
X166,0.505217655,,,,,,
X167,0.649458857,,,,,,
X17,0.548181781,,,,,,
X170,0.54608176,,,,,,
X171,0.566504059,,,,,,
X172,0.537127617,,,,,,
X173,0.52834639,,,,,,
X175,0.641636204,,,,,,
X176,0.669745196,,,,,,
X177,0.685763446,,,,,,
X178,0.723767754,,,,,,
X179,0.767262399,,,,,,
X180,0.534899783,,,,,,
X182,0.624581394,,,,,,
X184,0.611976103,,,,,,
X185,0.549021028,,,,,,
X186,0.557811389,,,,,,
X190,0.624012694,,,,,,
X192,0.515601929,,,,,,
X193,0.539449821,,,,,,
X194,0.610611135,,,,,,
X196,0.568749039,,,,,,
X197,0.373107064,,,,,,
X199,0.530987391,,,,,,
X200,0.625774131,,,,,,
X201,0.689072079,,,,,,
X202,0.564330762,,,,,,
X203,0.781389731,,,,,,
X204,0.6296984,,,,,,
X205,0.686787444,,,,,,
X206,0.69588568,,,,,,
X207,0.611197474,,,,,,
X208,0.709889288,,,,,,
X219,0.725106647,,,,,,
X221,0.732610849,,,,,,
X222,0.797541142,,,,,,
X223,0.675399709,,,,,,
X224,0.595695397,,,,,,
X226,0.782461618,,,,,,
X228,0.764474945,,,,,,
X229,0.593969193,,,,,,
X230,0.736056922,,,,,,
X231,0.645129662,,,,,,
X238,0.695566451,,,,,,
X245,0.707376732,,,,,,
X249,0.699497448,,,,,,
X254,0.622738753,,,,,,
X255,0.549029813,,,,,,
X258,0.707710487,,,,,,
X260,0.799710331,,,,,,
X262,0.699284309,,,,,,
X263,0.733633622,,,,,,
X265,0.74779847,,,,,,
X266,0.674531667,,,,,,
X268,0.476470596,,,,,,
X269,0.613353858,,,,,,
X272,0.604475241,,,,,,
X273,0.658695791,,,,,,
X274,0.618620616,,,,,,
X275,0.758139297,,,,,,
X276,0.699932082,,,,,,
X277,0.600610712,,,,,,
X279,0.847412218,,,,,,
X281,0.666668535,,,,,,
X282,0.676493951,,,,,,
X283,0.668592987,,,,,,
X288,0.64264728,,,,,,
X29,0.663004027,,,,,,
X290,0.794743131,,,,,,
X292,0.76043407,,,,,,
X293,0.486852096,,,,,,
X295,0.816983246,,,,,,
X298,0.672081136,,,,,,
X299,0.698534722,,,,,,
X3,0.443183809,,,,,,
X30,0.657215819,,,,,,
X300,0.759562192,,,,,,
X301,0.769746084,,,,,,
X302,0.697389596,,,,,,
X303,0.784939476,,,,,,
X305,0.810068857,,,,,,
X306,0.77710261,,,,,,
X308,0.621584221,,,,,,
X309,0.74246833,,,,,,
X310,0.75719635,,,,,,
X312,0.671954633,,,,,,
X32,0.630487737,,,,,,
X326,0.716775673,,,,,,
X328,0.718099567,,,,,,
X333,0.713578259,,,,,,
X34,0.674046736,,,,,,
X341,0.663950307,,,,,,
X345,0.740790283,,,,,,
X35,0.652585518,,,,,,
X37,0.676257746,,,,,,
X38,0.654194035,,,,,,
X41,0.664083356,,,,,,
X45,0.71527828,,,,,,
X5,0.696327274,,,,,,
X51,0.711974332,,,,,,
X52,0.547319709,,,,,,
X53,0.615242767,,,,,,
X54,0.739089816,,,,,,
X55,0.699679588,,,,,,
X56,0.657615116,,,,,,
X6,0.561404165,,,,,,
X60,0.637753738,,,,,,
X62,0.611041019,,,,,,
X63,0.685780521,,,,,,
X64,0.648174493,,,,,,
X71,0.61320429,,,,,,
X86,0.533664954,,,,,,
X87,0.642367441,,,,,,
X88,0.630646922,,,,,,
X89,0.634757547,,,,,,
X9,0.582727843,,,,,,
X91,0.487295471,,,,,,
X94,0.633319956,,,,,,
