"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"214","X1240150","X263",1.1433103926682,0.7908811205843
"275","X1240157","X263",1.0889684829943,0.897658725423024
"633","X1240206","X263",0.766044947294164,0.593559255636969
"874","X1290769","X263",1.49200672957829,1.02663881403298
"1020","X1290908","X263",1.37172069042595,0.705764535162067
"1413","X1298475","X263",0.64414939552813,0.592321600051526
"1442","X1298531","X263",1.10407915408524,0.609199928602013
"1553","X1299070","X263",0.469986135703045,0.501762162571718
"1648","X1303912","X263",1.66606041172935,0.990434728911097
"1656","X1322218","X263",0.99761768199776,0.41929480823068
"1805","X1330942","X263",0.86666453192305,0.473592499615508
"2077","X1331040","X263",0.916198030192007,0.41961791840464
"2168","X1479994","X263",1.2837203590922,0.602245419832093
"2246","X1503361","X263",0.853508685744361,0.741345636967371
"2292","X1503368","X263",0.696987993070762,0.627662333700211
"2517","X684072","X263",0.774561607448691,0.44431259366229
"2953","X688014","X263",1.29321317911209,0.921441902721514
"2987","X688023","X263",1.27036984405203,0.659128884465974
"3096","X713885","X263",1.28157375108065,0.730467366199029
"3214","X724863","X263",1.18980810606619,0.644211810612025
"3406","X753533","X263",1.42141924246813,0.831715536825617
"3693","X753573","X263",0.609860218675415,0.619411665819324
"3725","X753577","X263",1.1960408646553,0.628557651302776
"3983","X753616","X263",1.12030627890131,0.796004089801609
"4310","X905964","X263",0.808283438282533,0.512397962166028
"4435","X905976","X263",1.21742775073622,0.978903253821207
"4925","X906833","X263",1.04253573065266,0.688240501606361
"5078","X906848","X263",1.19566997585757,0.672864287290393
"5637","X907173","X263",1.04527605559822,0.814973226148504
"5854","X907290","X263",0.864428032973631,0.542708607048018
"6245","X908130","X263",1.28181018405224,0.843250437919769
"6386","X908151","X263",1.11459496756297,0.71651588608368
"6603","X908460","X263",1.60793788385876,1.07149703099566
"7225","X909737","X263",1.34920489122157,0.676211059286089
"7422","X909771","X263",0.369112578137012,0.167989281946457
"7718","X910567","X263",0.616332961090738,0.720195449595247
"7938","X910903","X263",0.986458698268328,0.658774819087244
"8252","X917486","X263",0.916914704242914,0.599529515711255
"8505","X925342","X263",0.611524243004277,0.309625233490352
"8731","X946370","X263",1.48805849330754,0.895253061331858
"8793","X949093","X263",1.85030977619826,1.26172297696737
"8932","X949164","X263",0.58102254219027,0.318687475845769
"9086","X971773","X263",0.470603614911868,0.283289802004485
